SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite_min	Nitrite_first_quartile	Nitrite_median	Nitrite_third_quartile	Nitrite_max	Phosphate_min	Phosphate_first_quartile	Phosphate_median	Phosphate_third_quartile	Phosphate_max	Nitrate and Nitrite_min	Nitrate and Nitrite_first_quartile	Nitrate and Nitrite_median	Nitrate and Nitrite_third_quartile	Nitrate and Nitrite_max	Silicate_min	Silicate_first_quartile	Silicate_median	Silicate_third_quartile	Silicate_max
TARA_Y100000114	SAMEA2620413	ERS489324	TARA_048	TARA_20100419T0756Z_048_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_048_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100419T0756Z_048_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000114	"tara_20100419t0755z_048_event_cast,tara_20100419t1337z_048_event_cast"	0.087724-21.262	P00DT00H01M	2	0.001	0.001	0.0055	0.01	0.01	0.081	0.081	0.0825	0.084	0.084	0.057	0.057	0.07475	0.0925	0.0925	2.118	2.118	2.22425	2.3305	2.3305
TARA_Y100000052	SAMEA2620198	ERS489047	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_041_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100330T0247Z_041_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000052	"tara_20100330t0257z_041_event_cast,tara_20100330t0848z_041_event_cast"	1.2227-6.2798	P00DT00H09M	2	0.003	0.003	0.007	0.011	0.011	0.144	0.144	0.1565	0.169	0.169	0.026	0.026	0.057	0.088	0.088	1.305	1.305	1.3865	1.468	1.468
TARA_Y100000034	SAMEA2620106	ERS488945	TARA_039	TARA_20100320T0817Z_039_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	270	262	280	0.1	0.22	TARA_039_MES_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100320T0817Z_039_Combined-EVENTS_CAST_MES_(270m)_SEQ-(dry)_W0.1-0.22_Y100000034	"tara_20100320t0817z_039_event_cast,tara_20100318t0956z_039_event_cast"	0.005826-20.854	P00DT00H00M	1	2.074	2.074	2.074	2.074	2.074	2.64	2.64	2.64	2.64	2.64	21.22	21.22	21.22	21.22	21.22	38.62	38.62	38.62	38.62	38.62
TARA_Y100000033	SAMEA2620065	ERS488879	TARA_039	TARA_20100318T0427Z_039_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_039_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100318T0427Z_039_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000033	"tara_20100318t0441z_039_event_cast,tara_20100318t0956z_039_event_cast"	9.9009-14.5118	P00DT00H14M	2	0.005	0.005	0.0065	0.008	0.008	0.233	0.233	0.2335	0.234	0.234	0.034	0.034	0.0425	0.051	0.051	1.435	1.435	1.515	1.595	1.595
TARA_Y100000296	SAMEA2620039	ERS488853	TARA_038	TARA_20100316T0614Z_038_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	340	332	350	0.1	0.22	TARA_038_MES_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100316T0614Z_038_Combined-EVENTS_CAST_MES_(340m)_SEQ-(dry)_W0.1-0.22_Y100000296	"tara_20100316t0859z_038_event_cast,tara_20100315t0936z_038_event_cast,tara_20100315t0345z_038_event_cast"	1.7801-7.3775	P00DT02H44M	1	0.691	0.691	0.691	0.691	0.691	2.639	2.639	2.639	2.639	2.639	23.43	23.43	23.43	23.43	23.43	38.94	38.94	38.94	38.94	38.94
TARA_Y100000289	SAMEA2620004	ERS488803	TARA_038	TARA_20100315T0335Z_038_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_038_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100315T0335Z_038_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000289	"tara_20100315t0345z_038_event_cast,tara_20100315t0936z_038_event_cast,tara_20100316t0859z_038_event_cast"	0.2594-13.8812	P00DT00H09M	2	0.014	0.014	0.107	0.2	0.2	0.319	0.319	0.337	0.355	0.355	0.059	0.059	0.4195	0.78	0.78	1.178	1.178	1.278	1.378	1.378
TARA_Y100000310	SAMEA2619974	ERS488773	TARA_037	TARA_20100313T0507Z_037_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	600	596	605	0.1	0.22	TARA_037_MES_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100313T0507Z_037_Combined-EVENTS_CAST_MES_(600m)_SEQ-(dry)_W0.1-0.22_Y100000310	"tara_20100312t1036z_036_event_cast,tara_20100312t0620z_036_event_cast"	8.1998-8.8914	P00DT06H33M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000015	SAMEA2619935	ERS488722	TARA_036	TARA_20100312T0606Z_036_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_036_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100312T0606Z_036_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000015	"tara_20100312t0620z_036_event_cast,tara_20100312t1036z_036_event_cast"	0.006379-0.77483	P00DT00H13M	2	0.045	0.045	0.0455	0.046	0.046	0.348	0.348	0.3575	0.367	0.367	0.131	0.131	0.1415	0.152	0.152	1.087	1.087	1.143	1.199	1.199
TARA_Y100000004	SAMEA2619888	ERS488658	TARA_034	TARA_20100120T0427Z_034_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_034_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100120T0427Z_034_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000004	tara_20100120t0747z_034_event_cast	1.4175	P00DT03H17M	2	0.0055	0.0055	0.011	0.0165	0.0165	0.103	0.103	0.144	0.185	0.185	0.029	0.029	0.029	0.029	0.029	1.372	1.372	2.6405	3.909	3.909
TARA_X000001036	SAMEA2619548	ERS488147	TARA_009	TARA_20090928T1659Z_009_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	55	50	60	0.22	1.6	TARA_009_DCM_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090928T1659Z_009_EVENT_PUMP_DCM_(55m)_SEQ-(dry)_W0.22-1.6_X000001036	tara_20090923t1506z_007_event_cast	416.5024	P05DT01H52M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
