Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	MP biome	OS region	BG province	Sea ice conc	Sea ice free period start DOY	Sea Ice free period	Sea ice free period end DOY	Season at sampling date	Season (early, middle, late)	Moon phase nominal	Moon phase proportion	Time of day	SSD	PAR day at sampling date	PAR day AMODIS for a 8 days period	PAR day  GlobColour for a 8 days period	PAR day  AMODIS for a 30 days period	SST grad h	Fe tot	Fe std dev	NH4+	NH4+ std dev	NO2-	NO2- std dev	NO3-	NO3 std dev	Sea surface fluorescence, CDOM	Sea surface Chl a	Chl a conc	Sea surface phi sat	Net primary production of carbon - UQAR-TAKUVIC model	Net primary production of carbon - VGPM	Suspended matter, total	POC	PIC	Bathy depth	Latitude (of the closest geographic coordinate on a coast)	Longitude  (of the closest geographic coordinate on a coast)	Distance  (of the closest geographic coordinate on a coast)	SST grad h_1	SSM index	Geostrophic velocity, longitudinal	Geostrophic velocity, latidunal	Okubo-Weiss parameter	Maximum Lyapunov exponent	Residence time of water mass	Latitude (of the continental shelf <500m where sampled water originated)	Longitude (of the continental shelf <500m where sampled  water originated)	Age (days since water mass left continental shelf)	Latitude (of the geographic coordinate where water mass originated 45 days before sampling)	Longitude (of the geographic coordinate where water mass originated 45 days before sampling)
TARA_20100715T1539Z_066_Combined-EVENTS_CAST	SV Tara	TARA_20100624Z	TARA_066	Rosette Vertical Sampling System	2010-07-15 15:36:00	-34.8901	18.0459	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	0	1	365	365	winter	early	ascending	0.19	day	602	23.1491	21.697466	20.70622253	21.093563	15.84917725	0.000311999	0.000119807	0.019386057	0.005438739	0.1846933	0.048639923	1.545722415	0.714454241	NA	0.396198288	23.3045	1.385249384	NA	724.197	0.497054815	99.62840652	0.000233923	-1880	-34.3452	18.4333	70.2779	1.2642	NA	-8.003876	9.877117	0.143048	0.098545	0	19.070249	-35.480734	9	-36.23729	20.233921
TARA_20100715T1222Z_066_EVENT_PUMP	SV Tara	TARA_20100624Z	TARA_066	High Volume Peristaltic Pump	2010-07-15 12:22:00	-34.9449	17.9189	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	0	1	365	365	winter	early	ascending	0.19	day	601	23.239454	21.103888	21.22094727	20.475779	15.6952015	0.000311999	0.000119807	0.019386057	0.005438739	0.1846933	0.048639923	1.545722415	0.714454241	NA	0.442454249	32.4091	1.385249384	NA	810.68	0.381616652	108.1238098	0.000263462	-2031	-34.3452	18.4333	79.9944	1.2322	NA	-8.003876	9.877117	0.143048	0.098545	0	19.070249	-35.480734	9	-36.23729	20.233921
TARA_20100629T1500Z_058_EVENT_PUMP	SV Tara	TARA_20100624Z	TARA_058	High Volume Peristaltic Pump	2010-06-29 15:00:00	-17.2855	42.2866	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0	1	365	365	winter	early	descending	0.91	night	666	37.632797	37.212322	35.53820229	37.085766	26.77016275	0.001000181	0.000129941	0.011099947	0.001074178	0.00756411	0.001625872	0.013670703	0.005546918	NA	0.173731528	21.7602	1.15526445	NA	317.4385	0.146150172	56.24668884	0.000147175	-2179	-17.5667	43.9259	176.4077	0.90723	7.1647e-05	38.139888	7.132594	0.557628	0.197237	0	43.286004	-16.971292	49	NA	NA
TARA_20100629T0412Z_058_EVENT_PUMP	SV Tara	TARA_20100624Z	TARA_058	High Volume Peristaltic Pump	2010-06-29 04:12:00	-17.5869	42.1893	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0	1	365	365	winter	early	descending	0.91	day	665	37.513466	36.72639	35.12086678	36.80913	26.7090385	0.001000181	0.000129941	0.011099947	0.001074178	0.00756411	0.001625872	0.013670703	0.005546918	NA	0.157995492	15.6699	1.15526445	NA	NA	0.1594638	52.24298859	0.000125465	-2115	-17.5667	43.9259	182.7374	0.57095	0.00016656	38.139888	7.132594	0.557628	0.197237	0	43.286004	-16.971292	49	NA	NA
TARA_20100627T1205Z_057_EVENT_PUMP	SV Tara	TARA_20100624Z	TARA_057	High Volume Peristaltic Pump	2010-06-27 12:05:00	-17.0248	42.7401	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	0	1	365	365	winter	early	descending	0.99	day	667	37.9074	37.874107	35.45547104	36.79908	26.93148775	0.001009452	0.00010558	0.010739017	0.001235874	0.00596926	0.001869768	0.011677063	0.003350517	0.6178	0.212121069	3.1613	1.176020927	NA	374.343	NA	73.72459793	0.000830253	-79	-17.4667	43.9417	136.7873	0.30546	8.474e-06	17.006721	5.963291	-0.1419	NA	2	NA	NA	120	NA	NA
TARA_20100415T0201Z_046_EVENT_PUMP	SV Tara	TARA_20100410Z	TARA_046	High Volume Peristaltic Pump	2010-04-15 02:01:00	-0.6625	73.161	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	0	1	365	365	autumn	early	ascending	0.01	day	726	55.522	49.67818	47.31238937	50.402718	30.80992	0.001279924	6.5911e-05	0.016438504	0.003607148	0.009120126	0.001270994	0.00839148	0.004484083	NA	0.260524586	12.9179	1.47058249	NA	236.284	1.091881961	50.64792252	0.000243189	-23	-0.66667	73.1497	1.3428	0.6748	5.903e-05	47.180842	9.45967	0.04222	0.059455	3.5	73.16195	-0.65855	0	-2.866497	63.098082
TARA_20110808T1733Z_125_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_125	High Volume Peristaltic Pump	2011-08-08 17:33:00	-8.9111	-142.5571	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0	1	365	365	winter	middle	ascending	0.72	day	706	NA	48.73371	47.03262138	47.947315	26.692906	2.359e-06	7.57e-07	0.01748565	0.007774534	0.02433348	0.019917744	6.146822453	0.969613415	NA	0.175588056	43.5563	2.225130098	NA	433.979	0.096621972	55.34723282	8.75e-05	-4403	-8	-140.7145	227.3463	0.19558	8.21e-07	1.05962	-2.544526	-0.004254	0.014455	0	NA	NA	120	-9.370126	-144.070024
TARA_20110804T1833Z_124_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_124	High Volume Peristaltic Pump	2011-08-04 18:33:00	-9.1504	-140.5216	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0	1	365	365	winter	middle	ascending	0.28	day	704	47.973	46.261963	45.19358635	46.332516	26.5398265	2.459e-06	1.357e-06	0.023188621	0.01037204	0.052577804	0.044793732	6.232079824	0.832724257	NA	0.262448326	40.0394	2.509824984	NA	524.257	0.121346612	73.13096237	0.000165428	-2640	-8.9333	-140.2178	36.1359	0.096513	2.46e-06	-2.752385	-2.994587	9.6e-05	0.043603	2.777778	-140.084231	-9.321803	37	-9.422621	-139.848337
TARA_20110731T1720Z_123_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_123	High Volume Peristaltic Pump	2011-07-31 17:20:00	-8.9068	-140.283	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0	1	365	365	winter	middle	ascending	0.01	day	703	NA	46.940914	45.23600388	45.790096	26.73019	2.277e-06	1.026e-06	0.02508309	0.011750256	0.054778114	0.047892909	6.231764158	0.853389076	4.91362	0.307092309	42.7934	3.432005557	NA	478.135	0.133895822	77.0915184	0.000143744	-966	-8.9	-140.2276	2.4728	NA	1.077e-06	-4.286042	2.890793	-0.011503	0.053774	1.083333	NA	NA	120	-8.878592	-137.774399
TARA_20110726T1710Z_122_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_122	High Volume Peristaltic Pump	2011-07-26 17:10:00	-8.9971	-139.1963	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0	1	365	365	winter	early	descending	0.2	day	701	46.163494	45.464985	44.12584686	43.031143	26.68448125	2.316e-06	9.42e-07	0.030111594	0.010566702	0.087558472	0.075328548	6.207147837	0.843939838	NA	0.095593981	39.197	2.844539859	NA	300.345	0.080369987	41.59049606	0.000125815	-3444	-8.9333	-139.4926	4.603	0.27504	4.056e-06	-13.524453	5.403076	0.007751	0.028977	15.833333	NA	NA	120	-11.599533	-137.896881
