SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite	Nitrite_1	Nitrite_2	Nitrite_3	Nitrite_4	Phosphate	Phosphate_1	Phosphate_2	Phosphate_3	Phosphate_4	Nitrate and Nitrite	Nitrate and Nitrite_1	Nitrate and Nitrite_2	Nitrate and Nitrite_3	Nitrate and Nitrite_4	Silicate	Silicate_1	Silicate_2	Silicate_3	Silicate_4
TARA_B100000408	SAMEA2620815	ERS489987	TARA_064	TARA_20100707T1217Z_064_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	1000	998	1002	0.22	3	TARA_064_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100707T1217Z_064_Combined-EVENTS_CAST_MES_(1000m)_SEQ-(100L)_W0.22-3_B100000408	"tara_20100707t0919z_064_event_cast,tara_20100707t0455z_064_event_cast"	1.3181-2.9615	P00DT02H58M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100000401	SAMEA2620786	ERS489917	TARA_064	TARA_20100707T0448Z_064_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_064_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100707T0448Z_064_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100000401	"tara_20100707t0455z_064_event_cast,tara_20100707t0919z_064_event_cast"	0.14927-3.7314	P00DT00H08M	1	0.004	0.004	0.004	0.004	0.004	0.084	0.084	0.084	0.084	0.084	0	0	0	0	0	1.7665	1.7665	1.7665	1.7665	1.7665
TARA_B000000532	SAMEA2620756	ERS489877	TARA_062	TARA_20100703T0809Z_062_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_062_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100703T0809Z_062_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B000000532	tara_20100702t1024z_061_event_cast	133.6073	P00DT21H51M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B000000557	SAMEA2620734	ERS489846	TARA_058	TARA_20100629T1500Z_058_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	66	64	68	0.22	3	TARA_058_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100629T1500Z_058_EVENT_PUMP_DCM_(66m)_SEQ-(100L)_W0.22-3_B000000557	tara_20100629t1313z_058_event_cast	3.716	P00DT01H47M	1	0.025376	0.025376	0.025376	0.025376	0.025376	0	0	0	0	0	0.063072	0.063072	0.063072	0.063072	0.063072	2.513803	2.513803	2.513803	2.513803	2.513803
TARA_B000000565	SAMEA2620672	ERS489733	TARA_057	TARA_20100627T1205Z_057_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_057_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100627T1205Z_057_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B000000565	tara_20100626t1904z_999_event_cast	104.1565	P00DT17H04M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100000378	SAMEA2620666	ERS489727	TARA_056	TARA_20100626T0713Z_056_EVENT_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	1000	990	1008	0.22	3	TARA_056_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100626T0713Z_056_EVENT_CAST_MES_(1000m)_SEQ-(100L)_W0.22-3_B100000378	tara_20100626t1904z_999_event_cast	97.2299	P00DT11H48M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B000000609	SAMEA2620651	ERS489712	TARA_056	TARA_20100626T0705Z_056_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_056_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100626T0705Z_056_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B000000609	tara_20100626t1904z_999_event_cast	96.892	P00DT11H55M	1	0.016042	0.016042	0.016042	0.016042	0.016042	0	0	0	0	0	0	0	0	0	0	2.812112	2.812112	2.812112	2.812112	2.812112
TARA_B100000214	SAMEA2620570	ERS489585	TARA_052	TARA_20100517T1142Z_052_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	75	73	77	0.22	1.6	TARA_052_DCM_0.22-1.6	SEQ-(10L-or-15min)_W0.22-1.6	TARA_20100517T1142Z_052_EVENT_PUMP_DCM_(75m)_SEQ-(10L-or-15min)_W0.22-1.6_B100000214	"tara_20100517t0945z_052_event_cast,tara_20100517t0410z_052_event_cast"	2.6965-5.0137	P00DT02H01M	2	0.029	0.029	0.032	0.035	0.035	0.155	0.155	0.159	0.163	0.163	0.453	0.453	0.4675	0.482	0.482	2.728	2.728	2.824	2.92	2.92
TARA_B100000212	SAMEA2620542	ERS489529	TARA_052	TARA_20100517T0410Z_052_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_052_SRF_0.22-1.6	SEQ-(10L-or-15min)_W0.22-1.6	TARA_20100517T0410Z_052_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-1.6_B100000212	"tara_20100517t0410z_052_event_cast,tara_20100517t0945z_052_event_cast"	0.54031-2.9085	P00DT00H13M	1	0	0	0	0	0	0.119	0.119	0.119	0.119	0.119	0	0	0	0	0	2.666	2.666	2.666	2.666	2.666
TARA_B100000242	SAMEA2620404	ERS489315	TARA_048	TARA_20100419T0756Z_048_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_048_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100419T0756Z_048_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_B100000242	"tara_20100419t0755z_048_event_cast,tara_20100419t1337z_048_event_cast"	0.087724-21.262	P00DT00H01M	2	0.001	0.001	0.0055	0.01	0.01	0.081	0.081	0.0825	0.084	0.084	0.057	0.057	0.07475	0.0925	0.0925	2.118	2.118	2.22425	2.3305	2.3305
