SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH_min	pH_first_quartile	pH_median	pH_third_quartile	pH_max	Carbon dioxide_min	Carbon dioxide_first_quartile	Carbon dioxide_median	Carbon dioxide_third_quartile	Carbon dioxide_max	"Carbon dioxide, partial pressure_min"	"Carbon dioxide, partial pressure_first_quartile"	"Carbon dioxide, partial pressure_median"	"Carbon dioxide, partial pressure_third_quartile"	"Carbon dioxide, partial pressure_max"	Fugacity of carbon dioxide in seawater_min	Fugacity of carbon dioxide in seawater_first_quartile	Fugacity of carbon dioxide in seawater_median	Fugacity of carbon dioxide in seawater_third_quartile	Fugacity of carbon dioxide in seawater_max	Bicarbonate ion_min	Bicarbonate ion_first_quartile	Bicarbonate ion_median	Bicarbonate ion_third_quartile	Bicarbonate ion_max	Carbonate ion_min	Carbonate ion_first_quartile	Carbonate ion_median	Carbonate ion_third_quartile	Carbonate ion_max	"Carbon, total_min"	"Carbon, total_first_quartile"	"Carbon, total_median"	"Carbon, total_third_quartile"	"Carbon, total_max"	"Alkalinity, total_min"	"Alkalinity, total_first_quartile"	"Alkalinity, total_median"	"Alkalinity, total_third_quartile"	"Alkalinity, total_max"	Calcite saturation state_min	Calcite saturation state_first_quartile	Calcite saturation state_median	Calcite saturation state_third_quartile	Calcite saturation state_max	Aragonite saturation state_min	Aragonite saturation state_first_quartile	Aragonite saturation state_median	Aragonite saturation state_third_quartile	Aragonite saturation state_max
TARA_B100001750	SAMEA2623756	ERS494374	TARA_148b	TARA_20120227T1532Z_148b_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	250	0.22	3	TARA_148b_MES_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120227T1532Z_148b_Combined-EVENTS_CAST_MES_(250m)_SEQ-(10L-or-15min)_W0.22-3_B100001750	tara_20120301t1156z_149_event_cast	651.1033	P02DT20H27M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001741	SAMEA2623734	ERS494332	TARA_148	TARA_20120224T1140Z_148_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	3	TARA_148_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120224T1140Z_148_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001741	tara_20120224t1148z_148_event_cast	0.22385	P00DT00H01M	1	8.107639	8.107639	8.107639	8.107639	8.107639	10.988774	10.988774	10.988774	10.988774	10.988774	346.971853	346.971853	346.971853	346.971853	346.971853	345.816106	345.816106	345.816106	345.816106	345.816106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001167	SAMEA2623693	ERS494274	TARA_146	TARA_20120216T1208Z_146_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	640	0.22	3	TARA_146_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120216T1208Z_146_Combined-EVENTS_CAST_MES_(640m)_SEQ-(100L)_W0.22-3_B100001167	tara_20120215t1302z_146_event_cast	1.6368	P00DT23H01M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001540	SAMEA2623673	ERS494236	TARA_146	TARA_20120215T1254Z_146_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	3	TARA_146_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120215T1254Z_146_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100001540	tara_20120215t1302z_146_event_cast	0.94626	P00DT00H05M	1	8.114037	8.114037	8.114037	8.114037	8.114037	11.093421	11.093421	11.093421	11.093421	11.093421	341.340207	341.340207	341.340207	341.340207	341.340207	340.19016	340.19016	340.19016	340.19016	340.19016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001146	SAMEA2623649	ERS494208	TARA_145	TARA_20120202T1839Z_145_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	590	0.22	3	TARA_145_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120202T1839Z_145_Combined-EVENTS_CAST_MES_(590m)_SEQ-(100L)_W0.22-3_B100001146	tara_20120202t1205z_145_event_cast	1.0173	P00DT06H33M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001142	SAMEA2623627	ERS494170	TARA_145	TARA_20120202T1152Z_145_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	3	TARA_145_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120202T1152Z_145_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100001142	tara_20120202t1205z_145_event_cast	0.44785	P00DT00H10M	1	7.882102	7.882102	7.882102	7.882102	7.882102	23.63622	23.63622	23.63622	23.63622	23.63622	617.113156	617.113156	617.113156	617.113156	617.113156	614.888973	614.888973	614.888973	614.888973	614.888973	0	0	0	0	0	0.025	0.025	0.0266	0.0282	0.0282	0.0991	0.0991	0.10205	0.105	0.105	0.0157	0.0157	0.0164	0.0171	0.0171	0.0312	0.0312	0.03245	0.0337	0.0337	0.008	0.008	0.00835	0.0087	0.0087
TARA_B100002049	SAMEA2623513	ERS494006	TARA_142	TARA_20120110T1451Z_142_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	640	0.22	3	TARA_142_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120110T1451Z_142_Combined-EVENTS_CAST_MES_(640m)_SEQ-(100L)_W0.22-3_B100002049	tara_20120108t2325z_142_event_cast	18.0794	P01DT15H32M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_B100002052	SAMEA2623488	ERS493981	TARA_142	TARA_20120109T2019Z_142_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	125	0.22	3	TARA_142_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120109T2019Z_142_Combined-EVENTS_CAST_DCM_(125m)_SEQ-(100L)_W0.22-3_B100002052	tara_20120108t2325z_142_event_cast	17.675	P00DT21H00M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.041	0.041	0.041	0.041	0.041	0.0189	0.0189	0.0189	0.0189	0.0189	0.001	0.001	0.001	0.001	0.001	0.0019	0.0019	0.0019	0.0019	0.0019	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04
TARA_B100002051	SAMEA2623463	ERS493938	TARA_142	TARA_20120109T1341Z_142_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	3	TARA_142_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120109T1341Z_142_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100002051	tara_20120108t2325z_142_event_cast	6.3376	P00DT14H24M	1	8.0769	8.0769	8.0769	8.0769	8.0769	10.431768	10.431768	10.431768	10.431768	10.431768	370.888929	370.888929	370.888929	370.888929	370.888929	369.721337	369.721337	369.721337	369.721337	369.721337	0	0	0	0	0	0.0392	0.0392	0.0392	0.0392	0.0392	0.018	0.018	0.018	0.018	0.018	0.001	0.001	0.001	0.001	0.001	0.0016	0.0016	0.0016	0.0016	0.0016	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04
TARA_B100001939	SAMEA2623446	ERS493914	TARA_141	TARA_20111230T1335Z_141_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	3	TARA_141_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20111230T1335Z_141_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100001939	tara_20111230t1300z_141_event_cast	0.77387	P00DT00H38M	1	8.06296	8.06296	8.06296	8.06296	8.06296	9.964816	9.964816	9.964816	9.964816	9.964816	369.57032	369.57032	369.57032	369.57032	369.57032	368.436099	368.436099	368.436099	368.436099	368.436099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
