SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_B100002003	TARA_20111124Z	TARA_138	TARA_20111211T2040Z_138_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.602965	0.786346	0.48013	0.60206	0.32027	0.433796	6404.034706	6337.648602	6.281538192	3859.97	7.296750891	20553.2	0.734761859
TARA_B100001996	TARA_20111124Z	TARA_138	TARA_20111211T1332Z_138_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.602965	0.786346	0.48013	0.60206	0.32027	0.433796	4312.041092	4146.2201	6.63935405	2984.4	7.123800616	16960.1	0.731500451
TARA_B100001989	TARA_20111124Z	TARA_138	TARA_20111210T1408Z_138_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.602965	0.786346	0.48013	0.60206	0.32027	0.433796	4305.503877	4212.183684	6.507542471	2660.5	7.118264624	17717.1	0.727668896
TARA_B100001971	TARA_20111124Z	TARA_137	TARA_20111203T1433Z_137_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	6924.430129	6801.207518	6.248980533	3901.96	7.256760501	20605.8	0.730546934
TARA_B100001964	TARA_20111124Z	TARA_137	TARA_20111202T2042Z_137_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	4996.589383	4955.630244	6.084460282	3055.24	7.211098725	17574.3	0.737769447
TARA_B100001287	TARA_20111124Z	TARA_137	TARA_20111202T1412Z_137_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	3364.714903	3220.291415	6.607743957	2329.97	7.132607743	13938.9	0.747462387
TARA_B100001105	TARA_20110928Z	TARA_133	TARA_20111019T1827Z_133_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.637497	0.750981	0.364193	0.385024	0.438297	0.44712	7460.331781	7459.919432	6.975785811	4239.44	7.16805193	21207.9	0.719530468
TARA_B100001094	TARA_20110928Z	TARA_133	TARA_20111019T0009Z_133_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.637497	0.750981	0.364193	0.385024	0.438297	0.44712	4938.639954	4773.686788	6.866581303	3369.27	7.139714037	17038.2	0.73278861
TARA_B100001093	TARA_20110928Z	TARA_133	TARA_20111018T1535Z_133_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.637497	0.750981	0.364193	0.385024	0.438297	0.44712	4003.171309	3851.639612	6.710569358	2816.49	7.151677068	15279	0.742319263
TARA_B100001245	TARA_20110928Z	TARA_132	TARA_20111005T1952Z_132_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.486663	0.671284	0.463578	0.804277	0.71775	0.607278	6356.928968	6236.956437	6.831743729	3656.22	7.210569527	19674.3	0.729293364
TARA_B100001250	TARA_20110928Z	TARA_132	TARA_20111005T0101Z_132_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.486663	0.671284	0.463578	0.804277	0.71775	0.607278	5351.604577	5076.794995	6.561389685	3384.58	7.124965977	17993.8	0.727202007
