Sample_event_ID,Archive_ID,cruise_name,station,cast,start_ ISO_DateTime,Year,Month,Day,timeutc,lon,lat,depth_max,pres_max,Date,HOT_summary_file_name,parameters,num_bottles,section,nav_code,depth_hgt,EXPOCODE,Ship,comments,CTDPRS,CTDTMP,CTDSAL,CTDOXY,CHLPIG,NUMBER,QUALT1,inferred_depth
S_E_1,SAMN07136998,HOT156,2,3, 2004-02-24T20:57:00Z,2004,2,24,2057,-157.996,22.7475,4750,1022,22404,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum,1,14,PRS2,GPS,3737, 33KI156_1, 33KI156/1, Dual T; C sensors,6,24.7398,34.8949,209.9,0.0979,60,222192,5.96224
S_E_1,SAMN07136999,HOT156,2,3, 2004-02-24T20:57:00Z,2004,2,24,2057,-157.996,22.7475,4750,1022,22404,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum,1,14,PRS2,GPS,3737, 33KI156_1, 33KI156/1, Dual T; C sensors,100,22.5912,35.3386,212.8,0.4876,60,222192,99.3481
S_E_1,SAMN07137000,HOT156,2,3, 2004-02-24T20:57:00Z,2004,2,24,2057,-157.996,22.7475,4750,1022,22404,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum,1,14,PRS2,GPS,3737, 33KI156_1, 33KI156/1, Dual T; C sensors,176,18.8987,35.0041,199.2,0.0754,84,222192,174.82
S_E_2,SAMN07137001,HOT158,2,3, 2004-04-20T21:10:00Z,2004,4,20,2110,-157.994,22.7578,4720,1020,42004,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot158.sum,1,20,PRS2,GPS,3709, 33KI158_1, 33KI158/1, Dual T; C sensors,26,23.7616,35.0179,212.3,0.0887,72,222192,25.8351
S_E_2,SAMN07137002,HOT158,2,3, 2004-04-20T21:10:00Z,2004,4,20,2110,-157.994,22.7578,4720,1020,42004,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot158.sum,1,20,PRS2,GPS,3709, 33KI158_1, 33KI158/1, Dual T; C sensors,126,22.5058,35.3301,210.2,0.608,36,222192,125.171
S_E_2,SAMN07137003,HOT158,2,3, 2004-04-20T21:10:00Z,2004,4,20,2110,-157.994,22.7578,4720,1020,42004,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot158.sum,1,20,PRS2,GPS,3709, 33KI158_1, 33KI158/1, Dual T; C sensors,176,19.7409,35.0881,194.8,0.1465,84,222192,174.82
S_E_3,SAMN07137004,HOT159,2,3, 2004-05-18T20:55:00Z,2004,5,18,2055,-157.971,22.7425,4718,1020,51804,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot159.sum,1,16,PRS2,GPS,3707, 33KI159_1, 33KI159/1, Dual T; C sensors,6,25.245,34.6959,211.3,0.0462,96,222192,5.96225
S_E_3,SAMN07137005,HOT159,2,3, 2004-05-18T20:55:00Z,2004,5,18,2055,-157.971,22.7425,4718,1020,51804,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot159.sum,1,16,PRS2,GPS,3707, 33KI159_1, 33KI159/1, Dual T; C sensors,116,22.0268,35.1246,199.1,0.7103,60,222192,115.239
S_E_3,SAMN07137006,HOT159,2,3, 2004-05-18T20:55:00Z,2004,5,18,2055,-157.971,22.7425,4718,1020,51804,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot159.sum,1,16,PRS2,GPS,3707, 33KI159_1, 33KI159/1, Dual T; C sensors,176,19.0582,35.0097,198.2,0.1238,60,222192,174.821
S_E_4,SAMN07137007,HOT160,2,4, 2004-06-15T20:57:00Z,2004,6,15,2057,-158.001,22.7487,4729,1022,61504,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot160.sum,1,14,PRS2,GPS,3716, 33KI160_1, 33KI160/1, Dual T; C sensors,6,25.7202,34.7322,207.7,0.091,120,222192,5.96224
