Sample_event_ID,Archive_ID,organism,broad-scale environmental context,local-scale environmental context,environmental medium,Station_Name,geographic location,bottle_id,sample_name,cruise_expedition,cruise_name,start_collection_date,depth_sample,latitude,longitude,filter_min 
S_E_10,SAMN07137026,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1440200906,S0529,HOT,HOT144,2003-01-17,125,22.75,-158,0.2
S_E_10,SAMN07137027,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1440200904,S0530,HOT,HOT144,2003-01-17,175,22.75,-158,0.2
S_E_11,SAMN07137028,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1450200318,S0531,HOT,HOT145,2003-02-25,5,22.75,-158,0.2
S_E_11,SAMN07137029,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1450200308,S0532,HOT,HOT145,2003-02-25,115,22.75,-158,0.2
S_E_11,SAMN07137030,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1450200305,S0533,HOT,HOT145,2003-02-25,175,22.75,-158,0.2
S_E_12,SAMN07137031,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1460200314,S0534,HOT,HOT146,2003-03-28,5,22.75,-158,0.2
S_E_12,SAMN07137032,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1460200307,S0535,HOT,HOT146,2003-03-28,125,22.75,-158,0.2
S_E_12,SAMN07137033,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1460200304,S0536,HOT,HOT146,2003-03-28,175,22.75,-158,0.2
S_E_13,SAMN07137034,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1470200314,S0537,HOT,HOT147,2003-04-23,5,22.75,-158,0.2
S_E_13,SAMN07137035,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1470200306,S0538,HOT,HOT147,2003-04-23,125,22.75,-158,0.2
S_E_13,SAMN07137036,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1470200304,S0539,HOT,HOT147,2003-04-23,175,22.75,-158,0.2
S_E_14,SAMN07137037,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1480200316,S0540,HOT,HOT148,2003-05-20,5,22.75,-158,0.2
S_E_14,SAMN07137038,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1480200307,S0541,HOT,HOT148,2003-05-20,115,22.75,-158,0.2
S_E_14,SAMN07137039,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1480200304,S0542,HOT,HOT148,2003-05-20,175,22.75,-158,0.2
