parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
SampleID_Tara	centrally registered identifier	http://purl.obolibrary.org/obo/IAO_0000578	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
BioSample	Biosample identifier assigned by the National Center for Biotechnology Information	http://purl.obolibrary.org/obo/PMO_00000122	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
Chlorophyll Sensor	concentration of chlorophyll in water	http://purl.obolibrary.org/obo/ENVO_3100036	TRUE	miligram per cubic meter	http://purl.obolibrary.org/obo/PMO_00000132				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Citation									https://www.ncbi.nlm.nih.gov/bioproject/288560		
min_Depth				meter	http://purl.obolibrary.org/obo/UO_0000008				https://www.ncbi.nlm.nih.gov/bioproject/288560		
max_Depth				meter	http://purl.obolibrary.org/obo/UO_0000008				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Description	comment on investigation	http://purl.obolibrary.org/obo/OBI_0001898	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
ENA checklist									https://www.ncbi.nlm.nih.gov/bioproject/288560		
Environment (Biome)	biome	http://purl.obolibrary.org/obo/ENVO_00000428	TRUE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
Environment (Feature)	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297	TRUE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
Environment (Material)	environmental material	http://purl.obolibrary.org/obo/ENVO_00010483	TRUE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
Environmental Package									https://www.ncbi.nlm.nih.gov/bioproject/288560		
Event Date/Time End	specimen collection time measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000009	TRUE	time unit	http://purl.obolibrary.org/obo/UO_0000003				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Event Date/Time Start	specimen collection time measurement datum start	http://purl.obolibrary.org/obo/PMO_00000008	TRUE	time unit	http://purl.obolibrary.org/obo/UO_0000003				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Event Label	centrally registered specimen collection event identifier	http://purl.obolibrary.org/obo/PMO_00000056	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
Further Details									https://www.ncbi.nlm.nih.gov/bioproject/288560		
INSDC center alias									https://www.ncbi.nlm.nih.gov/bioproject/288560		
INSDC center name									https://www.ncbi.nlm.nih.gov/bioproject/288560		
INSDC first public									https://www.ncbi.nlm.nih.gov/bioproject/288560		
INSDC last update									https://www.ncbi.nlm.nih.gov/bioproject/288560		
INSDC status									https://www.ncbi.nlm.nih.gov/bioproject/288560		
Last Update Date									https://www.ncbi.nlm.nih.gov/bioproject/288560		
Latitude End	latitude coordinate measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000079	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Latitude Start	latitude coordinate measurement datum start	http://purl.obolibrary.org/obo/PMO_00000076	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/288560		
