parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type		COMMENT
SampleID_Tara									https://doi.pangaea.de/10.1594/PANGAEA.875582			TARA_barcode#
SampleID_NCBI									https://doi.pangaea.de/10.1594/PANGAEA.875582			BioSamples accession number (SAMEA#)
SampleID_SRA									https://doi.pangaea.de/10.1594/PANGAEA.875582			ENA sample accession number (ERS#)
Station label									https://doi.pangaea.de/10.1594/PANGAEA.875582			TARA_station#
Event label									https://doi.pangaea.de/10.1594/PANGAEA.875582			TARA_event-datetime_station#_event-type
Environmental feature									https://doi.pangaea.de/10.1594/PANGAEA.875582			"[abbreviation], full name (ENVO:ID) from which this sample was collected"
"Depth, nominal"					m				https://doi.pangaea.de/10.1594/PANGAEA.875582			from which this sample was collected
"Depth, top/min"					m				https://doi.pangaea.de/10.1594/PANGAEA.875582			from which this sample was collected
"Depth, bottom/max"					m				https://doi.pangaea.de/10.1594/PANGAEA.875582			from which this sample was collected
"Size fraction, upper threshold"					_m				https://doi.pangaea.de/10.1594/PANGAEA.875582			used on board to prepare samples
Sample material									https://doi.pangaea.de/10.1594/PANGAEA.875582			TARA_station#_environmental-feature_size-fraction
Sample method									https://doi.pangaea.de/10.1594/PANGAEA.875582			"short label describing the target analysis (BGC=biogeochemistry, IMG=imaging, SEQ=sequencing) and specifics of the methodology and sampling device (N=net, W=pump/bottles/bucket, CW=concentrated by tangential filtration)"
Sample code/label									https://doi.pangaea.de/10.1594/PANGAEA.875582			TARA_event-datetime_station#_event-type_environmental-feature_(depth)_protocol-label_size-fraction_sample-barcode
Distance					m				https://doi.org/10.1594/PANGAEA.875569			interval between the location at which the sample was collected and that of the closest environmental context information
Duration									https://doi.org/10.1594/PANGAEA.875569			interval between the date/time at which the sample was collected and that of the closest environmental context information
File name									https://doi.org/10.1594/PANGAEA.875569			"of sensor profiles that meet the criteria: 10 m around the environmental feature nominal depth, distance lag <100 km and date/time lag <2 days"
Number of observations									https://doi.org/10.1594/PANGAEA.875569			"that meet the criteria: 10 m around the environmental feature nominal depth, distance lag <100 km and date/time lag <2 days"
Chlorophyll c3					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Chlorophyll c3_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Chlorophyll c3_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Chlorophyll c3_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Chlorophyll c3_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Chlorophyll c1+c2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"minimum value in the selected environmental feature around the sampling date and location, sum of Chlorophyll c1 and c2"
Chlorophyll c1+c2_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, sum of Chlorophyll c1 and c2"
Chlorophyll c1+c2_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, sum of Chlorophyll c1 and c2"
Chlorophyll c1+c2_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, sum of Chlorophyll c1 and c2"
Chlorophyll c1+c2_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			"maximum value in the selected environmental feature around the sampling date and location, sum of Chlorophyll c1 and c2"
Chlorophyllide a					µg/l				https://doi.org/10.1594/PANGAEA.875569			"minimum value in the selected environmental feature around the sampling date and location, sum of Chlorophyllid a and Chlorophyllid a-like pigments"
Chlorophyllide a_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, sum of Chlorophyllid a and Chlorophyllid a-like pigments"
Chlorophyllide a_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, sum of Chlorophyllid a and Chlorophyllid a-like pigments"
Chlorophyllide a_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, sum of Chlorophyllid a and Chlorophyllid a-like pigments"
Chlorophyllide a_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			"maximum value in the selected environmental feature around the sampling date and location, sum of Chlorophyllid a and Chlorophyllid a-like pigments"
Peridinin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Peridinin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Peridinin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Peridinin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Peridinin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Phaeophorbide a					µg/l				https://doi.org/10.1594/PANGAEA.875569			"minimum value in the selected environmental feature around the sampling date and location, sum of Phaeophorbid a and Phaeophorbid a-like pigments"
Phaeophorbide a_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, sum of Phaeophorbid a and Phaeophorbid a-like pigments"
Phaeophorbide a_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, sum of Phaeophorbid a and Phaeophorbid a-like pigments"
Phaeophorbide a_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, sum of Phaeophorbid a and Phaeophorbid a-like pigments"
Phaeophorbide a_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			"maximum value in the selected environmental feature around the sampling date and location, sum of Phaeophorbid a and Phaeophorbid a-like pigments"
19-Butanoyloxyfucoxanthin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
19-Butanoyloxyfucoxanthin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
19-Butanoyloxyfucoxanthin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
19-Butanoyloxyfucoxanthin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
19-Butanoyloxyfucoxanthin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Fucoxanthin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Fucoxanthin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Fucoxanthin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Fucoxanthin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Fucoxanthin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Neoxanthin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Neoxanthin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Neoxanthin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Neoxanthin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Neoxanthin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Prasinoxanthin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Prasinoxanthin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Prasinoxanthin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Prasinoxanthin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Prasinoxanthin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Violaxanthin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Violaxanthin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
