Exp_Omic ID	Run_ID	Archive	Archive_ID	nb of Spots	nb of Bases	Size	Published date
EO_1	R_1	SRA	SRR5720299	13333617.00	4	1.5	2018-05-01
EO_2	R_2	SRA	SRR5720300	10540927.00	3.2	1.2	2018-05-01
EO_3	R_3	SRA	SRR5720301	12242781.00	3.7	1.3	2018-05-01
EO_4	R_4	SRA	SRR5720302	41507610.00	12.5	4.9	2018-05-01
EO_5	R_5	SRA	SRR5720303	26554323.00	8	3.1	2018-05-01
EO_6	R_6	SRA	SRR5720304	20096976.00	6	2.4	2018-05-01
EO_7	R_7	SRA	SRR5720305	28122089.00	8.4	3.3	2018-05-01
EO_8	R_8	SRA	SRR5720306	21950314.00	6.6	2.6	2018-05-01
EO_9	R_9	SRA	SRR5720297	31649155.00	9.5	3.6	2018-05-01
EO_10	R_10	SRA	SRR5720298	23448593.00	7	2.7	2018-05-01
EO_11	R_11	SRA	SRR5720225	25291252.00	7.6	2.9	2018-05-01
EO_12	R_12	SRA	SRR5720226	31199129.00	9.4	3.9	2018-05-01
EO_13	R_13	SRA	SRR5720227	22370133.00	6.7	2.6	2018-05-01
EO_14	R_14	SRA	SRR5720228	31512521.00	9.5	3.6	2018-05-01
EO_15	R_15	SRA	SRR5720221	25125604.00	7.5	3.1	2018-05-01
EO_16	R_16	SRA	SRR5720222	26379124.00	7.9	3.1	2018-05-01
EO_17	R_17	SRA	SRR5720223	29188845.00	8.8	3.4	2018-05-01
EO_18	R_18	SRA	SRR5720224	19503759.00	5.9	2.3	2018-05-01
EO_19	R_19	SRA	SRR5720219	22377770.00	6.7	2.6	2018-05-01
EO_20	R_20	SRA	SRR5720220	18532257.00	5.6	2.2	2018-05-01
EO_21	R_21	SRA	SRR5720242	25512857.00	7.7	3.1	2018-05-01
EO_22	R_22	SRA	SRR5720241	32721051.00	9.8	3.9	2018-05-01
EO_23	R_23	SRA	SRR5720244	39013537.00	11.7	4.7	2018-05-01
EO_24	R_24	SRA	SRR5720243	40531155.00	12.2	4.8	2018-05-01
EO_25	R_25	SRA	SRR5720246	33468362.00	10	4	2018-05-01
EO_26	R_26	SRA	SRR5720245	31170529.00	9.4	3.8	2018-05-01
EO_27	R_27	SRA	SRR5720248	23767421.00	7.1	2.9	2018-05-01
EO_28	R_28	SRA	SRR5720247	26441873.00	7.9	3.2	2018-05-01
EO_29	R_29	SRA	SRR5720240	26191174.00	7.9	3.2	2018-05-01
EO_30	R_30	SRA	SRR5720239	34151795.00	10.2	4.1	2018-05-01
EO_31	R_31	SRA	SRR5720269	17902513.00	5.4	2.1	2018-05-01
EO_32	R_32	SRA	SRR5720270	45464228.00	13.6	5.4	2018-05-01
EO_33	R_33	SRA	SRR5720267	45638515.00	13.7	5.5	2018-05-01
EO_34	R_34	SRA	SRR5720268	17826774.00	5.3	2.1	2018-05-01
EO_35	R_35	SRA	SRR5720273	31242438.00	9.4	3.8	2018-05-01
EO_36	R_36	SRA	SRR5720274	35956418.00	10.8	4.3	2018-05-01
EO_37	R_37	SRA	SRR5720271	25313647.00	7.6	3.1	2018-05-01
EO_38	R_38	SRA	SRR5720272	31854278.00	9.6	3.8	2018-05-01
EO_39	R_39	SRA	SRR5720265	38669468.00	11.6	4.6	2018-05-01
