sampling_event_ID	BioSample	SRA	Sample name	bacterial_count	chlorophyll	collection_date	conduc	depth	diss_inorg_carb	env_biome	purl_biome	env_feature	purl_feature	env_material	purl_material	geo_loc_name	lat	lon	max_filter_size	min_filter_size	samp_volume	site_name	std_norm_factor
ANM11_07-05-2011_0.083883S51.051417W_0.46	SAMN03252801	SRS836418	RCM25	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	2	0.2	0.46	Macapa North (MCPN)	158034
ANM11_07-05-2011_0.083883S51.051417W_0.5	SAMN03252804	SRS836566	RCM28	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	297	2	0.5	Macapa North (MCPN)	2382985
ANM11_07-05-2011_0.083883S51.051417W_0.5	SAMN03252803	SRS836563	RCM27	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	2	0.2	0.5	Macapa North (MCPN)	934437
ANM11_07-05-2011_0.083883S51.051417W_0.66	SAMN03252802	SRS836421	RCM26	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	297	2	0.66	Macapa North (MCPN)	758599
ANM11_08-05-2011_0.156917S50.622550W_0.6	SAMN03252806	SRS836778	RCM30	3940000	1.99	08-05-2011	55.3	10	459	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.156917	-50.62255	297	2	0.6	Macapa South (MCPS)	2155856
ANM11_08-05-2011_0.156917S50.622550W_0.67	SAMN03252805	SRS836773	RCM29	3940000	1.99	08-05-2011	55.3	10	459	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.156917	-50.62255	2	0.2	0.67	Macapa South (MCPS)	107128
ANM11_08-05-2011_0.156917S50.622550W_0.81	SAMN03252808	SRS837379	RCM32	3940000	1.99	08-05-2011	55.3	10	459	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.156917	-50.62255	297	2	0.81	Macapa South (MCPS)	1343560
ANM11_08-05-2011_0.156917S50.622550W_0.81	SAMN03252807	SRS836936	RCM31	3940000	1.99	08-05-2011	55.3	10	459	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.156917	-50.62255	2	0.2	0.81	Macapa South (MCPS)	179176
ANM11_13-05-2011_1.519367S48.917950W_1.3	SAMN03252812	SRS837556	RCM36	3640000	2.03	13-05-2011	37.1	19	308	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-1.519367	-48.91795	297	2	1.3	Belem (BLM)	5706669
ANM11_13-05-2011_1.519367S48.917950W_1.3	SAMN03252811	SRS837532	RCM35	3640000	2.03	13-05-2011	37.1	19	308	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-1.519367	-48.91795	2	0.2	1.3	Belem (BLM)	1215522
ANM11_13-05-2011_1.519367S48.917950W_1.31	SAMN03252810	SRS837501	RCM34	3640000	2.03	13-05-2011	37.1	19	308	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-1.519367	-48.91795	297	2	1.31	Belem (BLM)	546133
