sample_event_ID	Archive_ID	Organism	collection date	depth	broad-scale environmental context	purl_biome	local-scale environmental context	purl_feature	environmental medium	purl_material	geographic location	latitude	longitude	additional metadata at	Description	Sample_name	filter_min 	filter_max 
SE_46	SAMN02798453	marine metagenome	2008-08-17T09:48:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT204_500m	0.22	1.6
SE_48	SAMN02798454	marine metagenome	2008-10-11T09:52:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT205_500m	0.22	1.6
SE_50	SAMN02798455	marine metagenome	2008-12-02T09:43:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT206_500m	0.22	1.6
SE_52	SAMN02798456	marine metagenome	2009-01-21T07:25:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT208_500m	0.22	1.6
SE_54	SAMN02798457	marine metagenome	2009-02-18T10:06:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT209_500m	0.22	1.6
SE_56	SAMN02798458	marine metagenome	2009-04-29T09:44:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT210_500m	0.22	1.6
SE_58	SAMN02798459	marine metagenome	2009-05-28T09:44:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT211_500m	0.22	1.6
SE_60	SAMN02798460	marine metagenome	2009-07-04T09:54:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT212_500m	0.22	1.6
SE_62	SAMN02798461	marine metagenome	2009-07-26T06:48:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT213_500m	0.22	1.6
SE_64	SAMN02798462	marine metagenome	2009-08-19T10:15:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT214_500m	0.22	1.6
SE_66	SAMN02798463	marine metagenome	2009-09-25T09:44:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT215_500m	0.22	1.6
SE_25	SAMN02798422	marine metagenome	2007-08-06T02:34:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT194_25m	0.22	1.6
SE_27	SAMN02798423	marine metagenome	2007-09-05T00:09:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT195_25m	0.22	1.6
SE_29	SAMN02798424	marine metagenome	2007-10-02T12:00:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT196_25m	0.22	1.6
SE_31	SAMN02798425	marine metagenome	2007-12-01T10:51:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT197_25m	0.22	1.6
SE_33	SAMN02798426	marine metagenome	2007-12-20T09:38:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT198_25m	0.22	1.6
SE_35	SAMN02798427	marine metagenome	2008-01-29T11:33:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT199_25m	0.22	1.6
SE_37	SAMN02798428	marine metagenome	2008-02-23T11:15:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT200_25m	0.22	1.6
SE_39	SAMN02798429	marine metagenome	2008-05-27T10:34:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT201_25m	0.22	1.6
SE_41	SAMN02798430	marine metagenome	2008-06-25T10:46:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT202_25m	0.22	1.6
SE_43	SAMN02798431	marine metagenome	2008-07-26T11:59:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT203_25m	0.22	1.6
