sampling_event_id	cruise_name	EXPOCODE	Ship	STNNBR	CASTNO	section	ISO_DateTime	Date	Year	Month	Day	timeutc	timecode	lon	lat	nav_code	depth_max	pres_max	depth_hgt	parameters	comments	HOT_summary_file_name	ROSETTE	CTDPRS	A_CAR	ALKALIN	ATP	B_CAR	BUT_19	CAROTEN	CHL_Plus	CHLC1_2	CHLDA_A	CHL_A	CHL_B	CHL_C3	CHL_C4	CTDOXY	CTDSAL	CTDTMP	DIADINO	DIC	DOC	DON	DOP	DV_CHLA	E_BACT	FUCO	GTP	H_BACT	H2O2	HEX_19	HPLCchl	LLN	LLP	LLSi	LUTEIN	MV_CHLA	N2O	NO2	NO2_NO3	OXYGEN	P_BACT	P13C	P15N	PC	PERID	PE_pt4u	PE_10u	PE_5u	PH	PHEO	PHSPHT	PIC	PN	PP	PRASINO	PSi	REPLICT	S_BACT	SALNITY	SIGMA	SILCAT	SPEC_SI	TD700A	TD700B	TD700C	TDN	TDP	THETA	VIOL	ZEAXAN	num_bottles	pCO2	QUALT1	QUALT2	QUALT3	QUALT4	QUALT5	QUALT6	QUALT7	QUALT8	QUALT9	QUAL10
SE_25	194	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	BE	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	17	24.9														205.7	35.0308	26.4008																																							1			22.933								26.3952			17		2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_25	194	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	BE	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	16	25														205.6	35.0306	26.4009																																							1			22.933								26.3953			17		2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_25	194	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	BE	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	15	25.1														205.4	35.0304	26.4009																																							1			22.932								26.3952			17		2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_25	194	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	BE	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	14	25.3														205.3	35.0301	26.4013																																							1			22.932								26.3956			17		2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_25	194	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	BE	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	13	25.1														205.3	35.0302	26.4015																																							1		35.0307	22.932								26.3958			17		2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_25	194	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	BE	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	12	46.5														207.7	35.078	26.0879																																							1			23.068								26.0775			17		2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_25	194	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	BE	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	11	46.6														207.7	35.078	26.0884																																							1			23.068								26.078			17		2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_25	194	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	BE	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	10	46.3														207.8	35.078	26.0897																																							1			23.067								26.0793			17		2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_25	194	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	BE	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	9	46.7														207.8	35.078	26.0889																																							1			23.068								26.0784			17		2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_25	194	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	BE	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	8	46.5														207.8	35.0774	26.0886																																							1			23.067								26.0782			17		2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
