Sampling_event_ID	BioSample	PAR	SRA	Sample name	bacteria_carb_prod	beam_atten	beam_trans	collection_date	collection_time	ISO_DateTime	corr_irradiance	density	depth	diss_inorg_carb	diss_oxy	env_biome	biome_purl	env_feature	feature_purl	env_material	material_purl	env_package	fluorescence	geo_loc_name	lat	lon	max_filter_size	min_filter_size	oxy_sat	pressure	salinity	samp_volume	sampling_cruise	sigma-theta	site_name	std_norm_factor	surf_irradiance	temp	turbidity
AN10_S25_18062010845	SAMN02628432	0.07371	SRS581882	ACM45	78.48	0.65	84.92	18-06-2010	8:45:00	18-06-2010T08:45:00	3.42	1019.66	3.93	1775	213.84	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	11.31	-56.43	156	2	108.6	3.95	31.87	10.5	"R/V Knorr, May-June 2010"	19.65	Station 25		2057.58	29.21	1.23
AN10_S27_21062010928	SAMN02628433	0.08036	SRS581884	ACM57	16.11	0.19	95.44	21-06-2010	9:28:00	21-06-2010T09:28:00	4.21	1023.05	3.89	2005	188.39	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.01	Atlantic Ocean:Western Tropical North Atlantic Ocean	12.41	-52.22	156	2	96.95	3.92	36.03	17.6	"R/V Knorr, May-June 2010"	23.04	Station 27		1621.32	28.4	1.07
AN12J_S4_180720121043	SAMN05951780	0.1773	SRS1873073	ACJ52	4886	0.51	88	18-07-2012	10:43:00	18-07-2012T10:43:00	7	1013	2			marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.62	Atlantic Ocean:Western Tropical North Atlantic Ocean	6.374	-51.398	156	2		1.2	22.92		"R/V Atlantis, July 2012"	13.03	Station 4		1226	28.99	-999
AN12J_S4_180720121043	SAMN05951779	0.1773	SRS1873079	ACJ51	4886	0.51	88	18-07-2012	10:43:00	18-07-2012T10:43:00	7	1013	2			marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.62	Atlantic Ocean:Western Tropical North Atlantic Ocean	6.374	-51.398	156	2		1.2	22.92		"R/V Atlantis, July 2012"	13.03	Station 4		1226	28.99	-999
AN12J_S6_210720120941	SAMN05951778	0.026	SRS1873075	ACJ54	1079	11.75	5.3	21-07-2012	9:41:00	21-07-2012T09:41:00	1	1020.1	2	1644	239.1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.47	Atlantic Ocean:Western Tropical North Atlantic Ocean	3.506	-50.5	156	2	115.7	1.2	31.91		"R/V Atlantis, July 2012"	20.09	Station 6		1399	27.96	-999
AN12J_S6_210720120941	SAMN05951777	0.026	SRS1873074	ACJ53	1079	11.75	5.3	21-07-2012	9:41:00	21-07-2012T09:41:00	1	1020.1	2	1644	239.1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.47	Atlantic Ocean:Western Tropical North Atlantic Ocean	3.506	-50.5	156	2	115.7	1.2	31.91		"R/V Atlantis, July 2012"	20.09	Station 6		1399	27.96	-999
AN12J_S2_150720121055	SAMN05951776	0.1221	SRS1873071	ACJ50	647	0.21	94.8	15-07-2012	10:55:00	15-07-2012T10:55:00	15	1021.4	2		112.6	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.1	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.664	-55.032	156	2	57	1.2	33.85		"R/V Atlantis, July 2012"	21.43	Station 2		900	28.33	-999
AN12J_S2_150720121055	SAMN05951775	0.1221	SRS1873076	ACJ49	647	0.21	94.8	15-07-2012	10:55:00	15-07-2012T10:55:00	15	1021.4	2		112.6	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.1	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.664	-55.032	156	2	57	1.2	33.85		"R/V Atlantis, July 2012"	21.43	Station 2		900	28.33	-999
AN12J_S10_220720161029	SAMN05951774	0.0218	SRS1873077	ACJ56	965	55.26	0	22-07-2016	10:29:00	22-07-2016T10:29:00	3	996.1	2	415	147.8	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	1.46	Atlantic Ocean:Western Tropical North Atlantic Ocean	1.338	-49.371	156	2	44.5	1.2	0.05		"R/V Atlantis, July 2012"	-3.91	Station 10		2470	28.64	-999
AN12J_S10_220720161029	SAMN05951773	0.0218	SRS1873072	ACJ55	965	55.26	0	22-07-2016	10:29:00	22-07-2016T10:29:00	3	996.1	2	415	147.8	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	1.46	Atlantic Ocean:Western Tropical North Atlantic Ocean	1.338	-49.371	156	2	44.5	1.2	0.05		"R/V Atlantis, July 2012"	-3.91	Station 10		2470	28.64	-999
AN12J_S11_230720161100	SAMN05951772	0.1757	SRS1873070	ACJ58	1693	55.23	0	23-07-2016	11:00:00	23-07-2016T11:00:00	2	1005.8	2	818	285.5	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	1.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	0.949	-48.674	156	2	111.8	1.2	13.1		"R/V Atlantis, July 2012"	5.84	Station 11		2271	28.6	-999
AN12J_S11_230720161100	SAMN05951771	0.1757	SRS1873078	ACJ57	1693	55.23	0	23-07-2016	11:00:00	23-07-2016T11:00:00	2	1005.8	2	818	285.5	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	1.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	0.949	-48.674	156	2	111.8	1.2	13.1		"R/V Atlantis, July 2012"	5.84	Station 11		2271	28.6	-999
