Parameter	PURL LABEL	PURL/TEMP PURL	pm:searchable	units label	units PURL	source category	source url	type	Frictionless Format
CTDOXY	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004	CTD BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/ctd%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/ctd.brev1%7D?parameters%20eq%201;2;3;4;5;6"	number	default
XMISS	visible spectrum stellar electromagnetic radiation opacity of water	http://purl.obolibrary.org/obo/PMO_00000015	TRUE	percent	http://purl.obolibrary.org/obo/UO_0000187	CTD BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/ctd%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/ctd.brev1%7D?parameters%20eq%201;2;3;4;5;6"	number	default
CHLPIG	concentration of chlorophyll in water	http://purl.obolibrary.org/obo/PMO_00000026	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003	CTD BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/ctd%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/ctd.brev1%7D?parameters%20eq%201;2;3;4;5;6"	number	default
NUMBER	number of observations averaged at pressure level to produce CTD measurment datum	http://purl.obolibrary.org/obo/PMO_00000017	FALSE			CTD BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/ctd%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/ctd.brev1%7D?parameters%20eq%201;2;3;4;5;6"	number	default
NITRATE	concentration of nitrate in water	http://purl.obolibrary.org/obo/PMO_00000027	FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004	CTD BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/ctd%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/ctd.brev1%7D?parameters%20eq%201;2;3;4;5;6"	number	default
NITRATE_inferred	concentration of nitrate in water	http://purl.obolibrary.org/obo/PMO_00000027	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003	inferred		number	default
FLUOR	fluorescence of water 	http://purl.obolibrary.org/obo/PMO_00000030	TRUE	millivolt	http://purl.obolibrary.org/obo/UO_0000247	CTD BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/ctd%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/ctd.brev1%7D?parameters%20eq%201;2;3;4;5;6"	number	default
inferred_depth	depth of water	http://purl.obolibrary.org/obo/PMO_00000029	TRUE	meter	http://purl.obolibrary.org/obo/UO_0000008	inferred		number	default
ROSETTE	rosette sampling device niskin position	http://purl.obolibrary.org/obo/PMO_00000012	FALSE			NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
CTDPRS	pressure of water	http://purl.obolibrary.org/obo/PMO_00000028	FALSE	decibar	http://purl.obolibrary.org/obo/PMO_00000034	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
