Sample ID	Sample label (BioSample)	Sample label (BioArchive)	Sample label (ENA)	URL file	Campaign	Site label	Site number	Event	Device	Comment OBJECTIVE	Comment PLATFORM	Comment DEVICE REPORTED	Comment DESCRIPTION	URI	Date/Time	Latitude	Longitude	Date/Time 2	Latitude 2	Longitude 2	Depth	TZ	Local time	"Country, closest"	"Country, distance"	"BG province, closest, abbrev"	"BG province, closest, desc"	"BG province, distance"	"LME, closest, desc"	"LME, distance"	"Locality, site"	"Locality, region"	URL ref	Biome	purl_biome	Env feature	purl_feature	Material	purl_material	Protocol Label	Quantity	Container	Content	"Size-fraction, upper thresh"	"Size-fraction, lower thresh"	"Treatment, chemicals"	"Treatment, storage"	Temp	Sal	pH	[PO4]3-	[NO3]-	POC	[NO2]-	DOC	Plank nano/micro	PAR	Cond	PP C	OXYGEN	PON	Plank meso/macro	Bact prod C	DON	[NH4]+	Si(OH)4	Turbidity	Fluorometer	Chl a
OSD155_2014-06-21_12.8m_NPL022	SAMEA3275496	ABOKL53	ERS667505	https://www.ebi.ac.uk/ena/data/view/ERS667505	OSD-Jun-2014	OSD155	155	OSD155_20140621T0700Z	"Bucket, plastic 5-L"	"Testing the hands OSD concept for future use with students  and pupils (KOB IIBB).Future reference and Supplementing time series at site 155 , Oslofjord, Steilene"	C4 Bombard	Water sample with  1 bucket a 5 L  deployed 2x at  1 m (HCL washed)	A sheltered location at the latitude of a realtime weather station.  In total 10 liter of sweater was sampled and filtered /subsampled( Parallels)  as follows by different groups of pupils	http://store.pangaea.de/Projects/OSD_2014/OSD155_20140621T0700Z.pdf	2014-06-21T07:00	59.81618	10.59863	2014-06-21T10:00	59.81618	10.59863	12.8	UTC+01	21-06-2014T08:00:00	NOR	1278	NECS	Coastal - NE Atlantic Shelves Province	0	North Sea	0	Steilene Oslofjord	Skaggerak	http://marineregions.org/gazetteer.php?p=details&id=2379	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	fjord	http://purl.obolibrary.org/obo/ENVO_00000039	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	0.3;0.33;0.33;0.33;0.4;1.8	Sterivex cartridge	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-78 on dry ice	18.7	30.054																				
OSD155_2014-06-21_1m_NPL022	SAMEA3275497	ABOKL52	ERS667506	https://www.ebi.ac.uk/ena/data/view/ERS667506	OSD-Jun-2014	OSD155	155	OSD155_20140621T0700Z	"Bucket, plastic 5-L"	"Testing the hands OSD concept for future use with students  and pupils (KOB IIBB).Future reference and Supplementing time series at site 155 , Oslofjord, Steilene"	C4 Bombard	Water sample with  1 bucket a 5 L  deployed 2x at  1 m (HCL washed)	A sheltered location at the latitude of a realtime weather station.  In total 10 liter of sweater was sampled and filtered /subsampled( Parallels)  as follows by different groups of pupils	http://store.pangaea.de/Projects/OSD_2014/OSD155_20140621T0700Z.pdf	2014-06-21T07:00	59.81618	10.59863	2014-06-21T10:00	59.81618	10.59863	1	UTC+01	21-06-2014T08:00:00	NOR	1278	NECS	Coastal - NE Atlantic Shelves Province	0	North Sea	0	Steilene Oslofjord	Skaggerak	http://marineregions.org/gazetteer.php?p=details&id=2379	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	fjord	http://purl.obolibrary.org/obo/ENVO_00000039	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	0.3;0.33;0.33;0.33;0.4;1.8	Sterivex cartridge	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-78 on dry ice	18.7	30.054																				
OSD156_2014-06-21_11.8m_NPL022	SAMEA3275495	ABOKL50	ERS667504	https://www.ebi.ac.uk/ena/data/view/ERS667504	OSD-Jun-2014	OSD156	156	OSD156_20140621T1000Z	"Bottle, Niskin 5-L"	Testing the hands OSD concept for future use with students  and pupils (KOB IIBBTOXmicroplasticsMonitor).Future reference and Supplementing time series at site 156 Kavringen/innerharbour  possibly status of pops and microplastics Note Due too unforeseen  logistics Kavringen was selected instead of Hvaler coral site .	OSF	1 bucket a 5 L  deployed x at  1 m	OSD156_n_1m 4.5 Liters sampled  Other paremeters will be available The site is in the middle of the fjord and there is high frequence of larger ships passing and deep turbulence /is to be expected  Total Volume 4.5 filtered in smaller volumes 6 filters used labelled   OSD_156_1_m1  OSD_156_2_m1  OSD_156_3_m1  OSD_156_4_m1  OSD_156_5_m1  OSD_156_6_m1 All filtering was done by syringe and hand	http://store.pangaea.de/Projects/OSD_2014/OSD156_20140621T1000Z.pdf	2014-06-21T10:00	59.89961	10.71999	2014-06-21T12:00	59.89961	10.71999	11.8	UTC+01	21-06-2014T11:00:00	NOR	769	NECS	Coastal - NE Atlantic Shelves Province	0.00402682	North Sea	189	KAVRINGEN ligthouse	Skaggerak	http://marineregions.org/gazetteer.php?p=details&id=2379	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	fjord	http://purl.obolibrary.org/obo/ENVO_00000039	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	0.25;0.25;0.27;0.27;0.4	Sterivex cartridge	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-78 on dry ice	17.8	30.054																				
OSD156_2014-06-21_1m_NPL022	SAMEA3275494	ABOKL51	ERS667503	https://www.ebi.ac.uk/ena/data/view/ERS667503	OSD-Jun-2014	OSD156	156	OSD156_20140621T1000Z	"Bottle, Niskin 5-L"	Testing the hands OSD concept for future use with students  and pupils (KOB IIBBTOXmicroplasticsMonitor).Future reference and Supplementing time series at site 156 Kavringen/innerharbour  possibly status of pops and microplastics Note Due too unforeseen  logistics Kavringen was selected instead of Hvaler coral site .	OSF	1 bucket a 5 L  deployed x at  1 m	OSD156_n_1m 4.5 Liters sampled  Other paremeters will be available The site is in the middle of the fjord and there is high frequence of larger ships passing and deep turbulence /is to be expected  Total Volume 4.5 filtered in smaller volumes 6 filters used labelled   OSD_156_1_m1  OSD_156_2_m1  OSD_156_3_m1  OSD_156_4_m1  OSD_156_5_m1  OSD_156_6_m1 All filtering was done by syringe and hand	http://store.pangaea.de/Projects/OSD_2014/OSD156_20140621T1000Z.pdf	2014-06-21T10:00	59.89961	10.71999	2014-06-21T12:00	59.89961	10.71999	1	UTC+01	21-06-2014T11:00:00	NOR	769	NECS	Coastal - NE Atlantic Shelves Province	0.00402682	North Sea	189	KAVRINGEN ligthouse	Skaggerak	http://marineregions.org/gazetteer.php?p=details&id=2379	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	fjord	http://purl.obolibrary.org/obo/ENVO_00000039	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	0.2;0.23;0.27;0.27;0.3	Sterivex cartridge	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-78 on dry ice	17.8	30.054																				
OSD157_2014-06-20_1m_NPL022	SAMEA3275493	ABOKL49	ERS667502	https://www.ebi.ac.uk/ena/data/view/ERS667502	OSD-Jun-2014	OSD157	157	OSD157_20140620T0900Z	"Bottle, Niskin 20-L"	Testing the hands OSD concept for future use with students  and pupils (KOB III).Future reference and Supplementing time series at site 157 ELLEIm2	Trygve Braarud	Niskin 1 bottle 20 l (80 m) and 2 x 10 l 1 m	Gloves were used in all handling steps. All 3 volumes were kept cool/dark on board until 12:30 UTC . Transport to lab was 30 minutes by car. SubVolumes were   kept at 4 C in the dark until filtration in paralell for both 1 m and 80 m	http://store.pangaea.de/Projects/OSD_2014/OSD157_20140620T0900Z.pdf	2014-06-20T09:00	59.622	10.6282	2014-06-20T11:30	59.622	10.6282	1	UTC+01	20-06-2014T10:00:00	NOR	469	NECS	Coastal - NE Atlantic Shelves Province	0	North Sea	0	"Drobak, Oslofjorden (ELLEIm2)"	Skaggerak	http://marineregions.org/gazetteer.php?p=details&id=2379	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	fjord	http://purl.obolibrary.org/obo/ENVO_00000039	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	0.5;0.5;0.5;0.5;0.5;0.5	Sterivex cartridge	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-78 on dry ice	18	26.115																				
OSD157_2014-06-20_80m_NPL022	SAMEA3275492	ABOKL48	ERS667501	https://www.ebi.ac.uk/ena/data/view/ERS667501	OSD-Jun-2014	OSD157	157	OSD157_20140620T0900Z	"Bottle, Niskin 20-L"	Testing the hands OSD concept for future use with students  and pupils (KOB III).Future reference and Supplementing time series at site 157 ELLEIm2	Trygve Braarud	Niskin 1 bottle 20 l (80 m) and 2 x 10 l 1 m	Gloves were used in all handling steps. All 3 volumes were kept cool/dark on board until 12:30 UTC . Transport to lab was 30 minutes by car. SubVolumes were   kept at 4 C in the dark until filtration in paralell for both 1 m and 80 m	http://store.pangaea.de/Projects/OSD_2014/OSD157_20140620T0900Z.pdf	2014-06-20T09:00	59.622	10.6282	2014-06-20T11:30	59.622	10.6282	80	UTC+01	20-06-2014T10:00:00	NOR	469	NECS	Coastal - NE Atlantic Shelves Province	0	North Sea	0	"Drobak, Oslofjorden (ELLEIm2)"	Skaggerak	http://marineregions.org/gazetteer.php?p=details&id=2379	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	fjord	http://purl.obolibrary.org/obo/ENVO_00000039	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	0.5;0.5;0.5;0.5;0.5;1.5	Sterivex cartridge	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-78 on dry ice	11.5	34.7																				
OSD1_2014-06-21_0m_NPL022	SAMEA3275646	ABOKM42	ERS667668	https://www.ebi.ac.uk/ena/data/view/ERS667668	OSD-Jun-2014	OSD1	1	OSD1_20140621T1110Z	"Bottle, Niskin 10-L"	To collect surface seawater on the summer solstice day from the L4 mooring in the Western English Channel (OSD1) and to filter the water using the standardized protocol NPL022. The filters will be sent to Germany and subsequently processed and analysed for the prokariotic fraction. The results will be part of the global campaign OSD data-set which will allow the scientific community to better understand the microbial diversity and function in the light of climate change assessment. The data-set so established will be used as a reference for future studies and the base for developing biotechnologies.	Research vessel - MBA SEPIA	10 L Niskin bottle	20 L of surface seawater (0-2m) were aliquoted and filtered through 5 sterivex cartridge filters using a peristaltic pump.	http://store.pangaea.de/Projects/OSD_2014/OSD1_20140621T1110Z.pdf	2014-06-21T11:10	50.151	-4.13	2014-06-21T11:25	50.151	-4.13	0	UTC+00	21-06-2014T11:10:00	GBR	17175	NECS	Coastal - NE Atlantic Shelves Province	0	Celtic-Biscay Shelf	0	L4	English Channel	http://marineregions.org/gazetteer.php?p=details&id=2389	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	marine channel	http://purl.obolibrary.org/obo/ENVO_00000396	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	2;2.5;2.5;3.2;3.2	Sterivex cartridge	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-80	16.66	35.22								734.55			245.46							0.47		
OSD188_2014-06-24_0m_NPL022	SAMEA3275468		ERS667477	https://www.ebi.ac.uk/ena/data/view/ERS667477	OSD-Jun-2014	OSD188	188	OSD188_20140624T2148Z	"Bottle, Niskin 10-L"	IMOS National Reference Stations - OSD	"Research vessel, Linnaeus"	10 L Niskin	marine surface water		2014-06-24T21:48	-32	115.4167	2014-06-24T22:24	-32	115.4167	0	UTC+08	24-06-2014T05:48:00	AUS	3972	AUSW	Coastal - Australia-Indonesia Coastal Province	0	West Central Australian Shelf	0	Rottnest Island	South Pacific Ocean	http://marineregions.org/gazetteer.php?p=details&id=1910	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022					0.22			21.7963	35.152		0.1	0.1						49.946		218.21158					0.08	1.7		0.4	
OSD190_2014-07-13_0m_NPL022	SAMEA3275466		ERS667475	https://www.ebi.ac.uk/ena/data/view/ERS667475	OSD-Jun-2014	OSD190	190	OSD190_20140713T0722Z	"Bucket, plastic 10-L"	IMOS National Reference Stations - OSD	"Research vessel, Ngerin"	10 L bucket	marine surface water		2014-07-13T07:22	-35.8372	136.4413	2014-07-13T07:40	-35.8372	136.4413	0	UTC+09:30	13-07-2014T16:52:00	AUS	9284	SSTC	Westerlies - S. Subtropical Convergence Province	0	South West Australian Shelf	0	Kangaroo Island	South Pacific Ocean	http://marineregions.org/gazetteer.php?p=details&id=1910	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022					0.22			15.9433	35.7899		0.123	0.5383						44.73163		176.197079						0.425			
OSD31_2014-06-12_1m_NPL022	SAMEA3275619		ERS667637	https://www.ebi.ac.uk/ena/data/view/ERS667637	OSD-Jun-2014	OSD31	31	OSD31_20140612T1120Z	"Bucket, plastic"	IMOS National Reference Stations - OSD	"Research vessel, Zelda Faith"	10 L bucket	marine surface water		2014-06-12T11:20	-34.0833	151.25	2014-06-12T12:36	-34.0833	151.25	1	UTC+10	12-06-2014T21:20:00	AUS	5514	AUSE	Coastal - East Australian Coastal Province	0	East Central Australian Shelf	0	Port Hacking	South Pacific Ocean	http://marineregions.org/gazetteer.php?p=details&id=1910	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022					0.22			20.1183	35.4964		0.1206	0.2451						48.64563		235.999487					0.033	0.3693		3.6457	
OSD32_2014-06-23_1m_NPL022	SAMEA3275618		ERS667636	https://www.ebi.ac.uk/ena/data/view/ERS667636	OSD-Jun-2014	OSD32	32	OSD32_20140623T1520Z	"Bottle, Niskin 10-L"	IMOS National Reference Stations - OSD	"Research vessel, Scylla"	10 L Niskin	marine surface water		2014-06-23T15:20	-27.342	153.5622	2014-06-23T15:30	-27.2	153.3373	1	UTC+10	23-06-2014T01:20:00	AUS	9573	AUSE	Coastal - East Australian Coastal Province	0	East Central Australian Shelf	0	North Stradbroke	South Pacific Ocean	http://marineregions.org/gazetteer.php?p=details&id=1910	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022					0.22			23.4	35.391		0.0693	0.0665						51.91549							0.048	0.2857		0.1933	
OSD33_2014-06-19_1m_NPL022	SAMEA3275617		ERS667635	https://www.ebi.ac.uk/ena/data/view/ERS667635	OSD-Jun-2014	OSD33	33	OSD33_20140619T1535Z	"Bottle, Niskin 5-L"	IMOS National Reference Stations - OSD	"Research vessel, South Cape"	5 L Niskin	marine surface water		2014-06-19T15:35	-42.5966	148.2333	2014-06-19T15:45	-42.5966	148.2333	1	UTC+10	19-06-2014T01:35:00	AUS	8358	SSTC	Westerlies - S. Subtropical Convergence Province	0	Southeast Australian Shelf	0	Maria Island	South Pacific Ocean	http://marineregions.org/gazetteer.php?p=details&id=1910	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022					0.22			13.9045	35.3598		0.3081	3.0343						42.29881		250.271724					0.0214	0.6984		0.1442	
OSD189_2014-06-24_0m_NPL022	SAMEA3275467		ERS667476	https://www.ebi.ac.uk/ena/data/view/ERS667476	OSD-Jun-2014	OSD189	189	OSD189_20140624T1605Z	"Bottle, Niskin 10-L"	IMOS NAtional Reference Stations - OSD	"Research vessel, Apollo"	10 L Niskin	marine surface water		2014-06-24T16:05	-19.305	147.622	2014-06-24T19:15	-19.305	147.622	0	UTC+10	24-06-2014T02:05:00	AUS	19044	AUSE	Coastal - East Australian Coastal Province	0	Northeast Australian Shelf	0	Yongala	Coral Sea	http://marineregions.org/gazetteer.php?p=details&id=4364	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022					0.22			23.6203	35.2968		0.0539	0.102						51.96143		183.8763					0.171	0.4009		0.0481	
OSD191_2014-07-02_0m_NPL022	SAMEA3275465		ERS667474	https://www.ebi.ac.uk/ena/data/view/ERS667474	OSD-Jun-2014	OSD191	191	OSD191_20140702T1433Z	"Bottle, Niskin 10-L"	IMOS National Reference Stations - OSD	"Research vessel, Westpac Rescue 1"	10 L Niskin	surface marine water for filtering		2014-07-02T14:33	-12.3382	130.6952	2014-07-02T14:55	-12.3382	130.6952	0	UTC+09:30	02-07-2014T00:03:00	AUS	7489	SUND	Coastal - Sunda-Arafura Shelves Province	0	North Australian Shelf	0	Darwin	Timor Sea	http://marineregions.org/gazetteer.php?p=details&id=4344	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022					0.22			24.76	34.19	8.03	0.3583	0.2596						51.96							0.0949	5.1682			
OSD28_2014-06-21_0.2m_NPL022	SAMEA3275621	ABOKM37	ERS667641	https://www.ebi.ac.uk/ena/data/view/ERS667641	OSD-Jun-2014	OSD28	28	OSD28_20140621T0415Z	"Bucket, plastic"	Sample microbial diversity	"wading, on foot"	acid-washed bucket	Surface water from back reef environment in close proximity to mesoamerican reef crest.	http://store.pangaea.de/Projects/OSD_2014/OSD28_20140621T0415Z.pdf	2014-06-21T04:15	16.802575	88.08165	2014-06-21T04:20	16.802575	88.08165	0.2	UTC+06	21-06-2014T10:15:00	IND	392876	MONS	Trades - Indian Monsoon Gyres Province	0	Bay of Bengal	0	Belize	Bay of Bengal	http://marineregions.org/gazetteer.php?p=details&id=4273	marine reef biome	http://purl.obolibrary.org/obo/ENVO_01000029	bay	http://purl.obolibrary.org/obo/ENVO_00000032	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	7.9;7.1;7.9;10;10	Sterivex	Particulate matter	No pre-filtration	0.22	None	frozen	29.5	35																				
OSD7_2014-06-21_0.1m_NPL022	SAMEA3275638	ABOKL89	ERS667659	https://www.ebi.ac.uk/ena/data/view/ERS667659	OSD-Jun-2014	OSD7	7	OSD7_20140621T2000Z		"Longterm coral reef monitoring programm at the Tiahura reef, Moorea, FRENCH Polynesia "	none	none	none	http://store.pangaea.de/Projects/OSD_2014/OSD7_20140621T2000Z.pdf	2014-06-21T20:00	-17.2894	-149.53985	2014-06-21T20:15	-17.2894	-149.53985	0.1	UTC-10	21-06-2014T10:00:00	PYF	23919	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	0			Moorea - Tiahura			marine reef biome	http://purl.obolibrary.org/obo/ENVO_01000029	marine reef	http://purl.obolibrary.org/obo/ENVO_01000143	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	2;2;2;2;2;2			No pre-filtration	0.22	None	-80	27	37									55.7											
OSD70_2014-06-21_0m_NPL022	SAMEA3275575	ABOKM59	ERS667593	https://www.ebi.ac.uk/ena/data/view/ERS667593	OSD-Jun-2014	OSD70	70	OSD70_20140621T1111Z	"Bottle, unknown 10-L"	OSD sampling	UNIPD Boat	10 L bottle	The Label field reflects the sample title reported on the filter itself: each filter has this label with a progressive number according to the list of filter reported here	http://store.pangaea.de/Projects/OSD_2014/OSD70_20140621T1111Z.pdf	2014-06-21T11:11	45.4142	12.4378	2014-06-21T11:13	45.4142	12.4378	0	UTC+01	21-06-2014T12:11:00	ITA	1547	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0	Mediterranean Sea	0	Lido	Adriatic Sea	http://marineregions.org/gazetteer.php?p=details&id=3314	mediterranean sea biome	http://purl.obolibrary.org/obo/ENVO_01000047	coastal inlet	http://purl.obolibrary.org/obo/ENVO_00000137	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	1;1;1;1;1;1	Sterivex	Particulate matter	No pre-filtration	0.22	None	-80	23.4	31.67	8.24	0.145	3.81		0.35						5.47					3.81	12.96			2.62
OSD48_2014-06-21_0m_NPL022	SAMEA3275602	ABOKM21	ERS667620	https://www.ebi.ac.uk/ena/data/view/ERS667620	OSD-Jun-2014	OSD48	48	OSD48_20140621T0950Z	"Bottle, unknown 10-L"	OSD sampling	UNIPD Boat	10 L bottle	The Label field reflects the sample title reported on the filter itself: each filter has this label with a progressive number according to the list of filters reported here	http://store.pangaea.de/Projects/OSD_2014/OSD48_20140621T0950Z.pdf	2014-06-21T09:50	45.4125	12.5265	2014-06-21T09:52	45.4125	12.5265	0	UTC+01	21-06-2014T10:50:00	ITA	5262	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0	Mediterranean Sea	0	Venice Gulf	Adriatic Sea	http://marineregions.org/gazetteer.php?p=details&id=3314	mediterranean sea biome	http://purl.obolibrary.org/obo/ENVO_01000047	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	1;1;1;1;1;1	Sterivex	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-80	22.2	33.14	8.28	0.09	4.89		0.17						7.31					4.92	6.33			1.5
OSD15_2014-06-21_50m_NPL022	SAMEA3275631	ABOKM50	ERS667652	https://www.ebi.ac.uk/ena/data/view/ERS667652	OSD-Jun-2014	OSD15	15	OSD15_20140621T0730Z	"Bottle, Niskin"	For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water	RV-TARA-Observatoire Oceanologique de Villefranche-Sur-Mer (OOV)	Niskin bottle and CTD	NW Mediterranea Sea-surface water sample form entreance of  Villefranche Bay	http://store.pangaea.de/Projects/OSD_2014/OSD15_20140621T0730Z.pdf	2014-06-21T07:30	43.686111	7.31567	2014-06-21T10:30	43.686111	7.31567	50	UTC+01	21-06-2014T08:30:05	FRA	529	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0	Mediterranean Sea	0	Villefranche - SOMLIT	Mediterranean Sea - Western Basin	http://marineregions.org/gazetteer.php?p=details&id=4279	mediterranean sea biome	http://purl.obolibrary.org/obo/ENVO_01000047	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	3;3;3;3;3;3			No pre-filtration	0.22	None		16.0522	37.981											5.43573								0.0936	
OSD123_2014-06-22_4m_NPL022	SAMEA3275529	ABOKL83	ERS667543	https://www.ebi.ac.uk/ena/data/view/ERS667543	OSD-Jun-2014	OSD123	123	OSD123_20140622T0900Z	"Bottle, unknown 20-L"	to characterize the bacterial dynamics at routinely offshore coastal station	Not reported	20L bottles	Sampling for OSD	http://store.pangaea.de/Projects/OSD_2014/OSD123_20140622T0900Z.pdf	2014-06-22T09:00	32.822	32.954	2014-06-22T11:00	32.822	32.954	4	UTC+02	22-06-2014T11:00:00	EGY	173306	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0	Mediterranean Sea	0	Shikmona	Mediterranean Sea - Eastern Basin	http://marineregions.org/gazetteer.php?p=details&id=4280	mediterranean sea biome	http://purl.obolibrary.org/obo/ENVO_01000047	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	9;9;9;9;9	Sterivex cartridge	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-80	27	39.4		0.02	0.34							6.7				4						
OSD14_2014-06-23_2m_NPL022	SAMEA3275633	ABOKN03	ERS667654	https://www.ebi.ac.uk/ena/data/view/ERS667654	OSD-Jun-2014	OSD14	14	OSD14_20140623T0805Z	"Bottle, Niskin 12-L"	"OSD-2014 samples were collected as part of a long term observation time series at a station labelled by SOMLIT since 1997. The Observation Service of Arago Laboratory (SOLA, OOB) focuses on overall issues directly concerning the impact of global change on coastal areas and its relative importance regarding local human activities (global vs local). The SOLA site was selected for Temporal monitoring of Mediterranean coastal ecosystem dynamics, as representative of a normal situation, whereby a typology of seasonal and interannual fluctuations could be defined via the monitoring of relevant parameters on appropriate time scales."	Not reported	Profile was performed with a SBE19 SeaCat Conductivity-Temperature Depth (CTD) system manufactured by Sea-Bird Electronics Inc. Water samples were collected with a 12L Niskin Bottle	ENVO:00000447 (Marine Biome) ENVO:00002042 (Surface Water) ENVO:00002010 ( Seawater)	http://store.pangaea.de/Projects/OSD_2014/OSD14_20140623T0805Z.pdf	2014-06-23T07:40	42.49	3.14	2014-06-23T08:10	42.49	3.14	2	UTC+01	23-06-2014T09:05:00	FRA	523	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0.004064726	Mediterranean Sea	0	Banyuls	Mediterranean Sea - Western Basin	http://marineregions.org/gazetteer.php?p=details&id=4279	mediterranean sea biome	http://purl.obolibrary.org/obo/ENVO_01000047	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	5;5;5;5	Sterivex cartridge		No pre-filtration	0.22	None	-80	20.422	37.833	8.278	0.01	0.02	1423.686	0.01				51.85		224.06	236.43		2.63		0.074	0.6	0.44	0.26	0.26
OSD15_2014-06-21_0m_NPL022	SAMEA3275632	ABOKM93	ERS667653	https://www.ebi.ac.uk/ena/data/view/ERS667653	OSD-Jun-2014	OSD15	15	OSD15_20140621T0730Z	"Bottle, Niskin"	For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water	RV-TARA-Observatoire Oceanologique de Villefranche-Sur-Mer (OOV)	Niskin bottle and CTD	NW Mediterranea Sea-surface water sample form entreance of  Villefranche Bay	http://store.pangaea.de/Projects/OSD_2014/OSD15_20140621T0730Z.pdf	2014-06-21T07:30	43.686111	7.31567	2014-06-21T10:30	43.686111	7.31567	0	UTC+01	21-06-2014T08:30:05	FRA	529	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0	Mediterranean Sea	0	Villefranche - SOMLIT	Mediterranean Sea - Western Basin	http://marineregions.org/gazetteer.php?p=details&id=4279	mediterranean sea biome	http://purl.obolibrary.org/obo/ENVO_01000047	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	3;3;3;3;3;3			No pre-filtration	0.22	None		21.778	37.9702											4.84812								0.746	
OSD18_2014-06-20_75m_NPL022	SAMEA3275629		ERS667650	https://www.ebi.ac.uk/ena/data/view/ERS667650	OSD-Jun-2014	OSD18	18	OSD18_20140620T0800Z	"Bottle, Niskin 5-L"	To collect DNA samples from the marine ecosystem	Research Vessel Teal Jr	5l Niskin bottle	Not reported	http://store.pangaea.de/Projects/OSD_2014/OSD18_20140620T0800Z.pdf	2014-06-20T08:00	35.363732	33.289649	2014-06-20T08:20	35.362826	33.287118	75	UTC+02	20-06-2014T10:00:00	CYP	2087	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0	Mediterranean Sea	0	Kyrenia	Mediterranean Sea - Eastern Basin	http://marineregions.org/gazetteer.php?p=details&id=4280	mediterranean sea biome	http://purl.obolibrary.org/obo/ENVO_01000047	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	2.5;2;1	Glass bottle	Sea water	No pre-filtration	0.22	None		20.7	38.5	8.37	0.03	0.2		0.05						8.02					0.96	1.13			
