Sample ID	Sample label (BioSample)	Sample label (BioArchive)	Sample label (ENA)	URL file	Campaign	Site label	Site number	Event	Device	Comment OBJECTIVE	Comment PLATFORM	Comment DEVICE REPORTED	Comment DESCRIPTION	URI	Date/Time	Latitude	Longitude	Date/Time 2	Latitude 2	Longitude 2	Depth	TZ	Local time	"Country, closest"	"Country, distance"	"BG province, closest, abbrev"	"BG province, closest, desc"	"BG province, distance"	"LME, closest, desc"	"LME, distance"	"Locality, site"	"Locality, region"	URL ref	Biome	purl_biome	Env feature	purl_feature	Material	purl_material	Protocol Label	Quantity	Container	Content	"Size-fraction, upper thresh"	"Size-fraction, lower thresh"	"Treatment, chemicals"	"Treatment, storage"	Temp	Sal	pH	[PO4]3-	[NO3]-	POC	[NO2]-	DOC	Plank nano/micro	PAR	Cond	PP C	OXYGEN	PON	Plank meso/macro	Bact prod C	DON	[NH4]+	Si(OH)4	Turbidity	Fluorometer	Chl a
OSD76_2014-06-20_0.5m_NPL022	SAMEA3275568	ABOKN01	ERS667586	https://www.ebi.ac.uk/ena/data/view/ERS667586	OSD-Jun-2014	OSD76	76	OSD76_20140620T0915Z	"Bucket, plastic 10-L"	Metagenomic research on seawater of the NW Adriatic Sea	Athena Research  Vessel_Urbino University_Italy	tank/CTD	Three samples	http://store.pangaea.de/Projects/OSD_2014/OSD76_20140620T0915Z.pdf	2014-06-20T09:15	43.9475	12.935	2014-06-20T10:30	43.9475	12.935	0.5	UTC+01	20-06-2014T10:15:00	ITA	2898	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0	Mediterranean Sea	0	Foglia	Adriatic Sea	http://marineregions.org/gazetteer.php?p=details&id=3314	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	1;1;1	Sterivex GP 0.22_m	Particulate matter	100	0.22	None	-80	23.61	27.78	8.4	0.31	4.8		0.08		13205333								0.22	0.68	3.8			
OSD77_2014-06-20_0.5m_NPL022	SAMEA3275567	ABOKL98	ERS667585	https://www.ebi.ac.uk/ena/data/view/ERS667585	OSD-Jun-2014	OSD77	77	OSD77_20140620T1100Z	"Bucket, plastic 10-L"	Metagenomic research on seawater of the NW Adriatic Sea	Athena Research  Vessel_Urbino University_Italy	tank/CTD	prokaryote and eukaryote protocols were performed	http://store.pangaea.de/Projects/OSD_2014/OSD77_20140620T1100Z.pdf	2014-06-20T11:00	43.8514	13.0731	2014-06-20T12:30	43.8514	13.0731	0.5	UTC+01	20-06-2014T12:00:00	ITA	2079	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0	Mediterranean Sea	0	Metauro	Adriatic Sea	http://marineregions.org/gazetteer.php?p=details&id=3314	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	0.9;1;1	Sterivex GP 0.22_m	Particulate matter	100	0.22	None	-80	24.1	26.29	8.5	0.6	7.4		0.1		540444								0.23	0.76	4.67			
OSD78_2014-06-21_0.5m_NPL022	SAMEA3275565	ABOKM68	ERS667583	https://www.ebi.ac.uk/ena/data/view/ERS667583	OSD-Jun-2014	OSD78	78	OSD78_20140621T0900Z	"Bottle, Niskin 5-L"	short abstract	CONISMA - URL ANCONA	5 L Niskin bottle	surface water sampling	http://store.pangaea.de/Projects/OSD_2014/OSD78_20140621T0900Z.pdf	2014-06-21T09:00	43.57	13.595	2014-06-21T09:30	43.57	13.595	0.5	UTC+01	21-06-2014T10:00:00	ITA	247	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0.002468515	Mediterranean Sea	47	CONISMA	Adriatic Sea	http://marineregions.org/gazetteer.php?p=details&id=3314	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	1;1;1;1;1			No pre-filtration	0.22	None		24.25	34.33																				
OSD80_2014-06-21_0m_NPL022	SAMEA3275564	ABOKM07	ERS667582	https://www.ebi.ac.uk/ena/data/view/ERS667582	OSD-Jun-2014	OSD80	80	OSD80_20140621T1930Z	"Bucket, plastic 40-L"	"As part of the Arctic Science partnership, the Young Sound campaign aims to investigate the physical, chemical, and biological interactions between atmosphere, sea ice, and ocean"	"92, ice shelf"	40L bucket	interface between sea ice and seawater formed by ice melting	http://store.pangaea.de/Projects/OSD_2014/OSD80_20140621T1930Z.pdf	2014-06-21T19:30	74.31	-20.3043	2014-06-21T20:30	74.31	-20.3043	0	UTC-03	21-06-2014T16:30:00	GRL	1666	BPLR	Polar - Boreal Polar Province (POLR)	0	Greenland Sea	0	Young Sound	Greenland Sea	http://marineregions.org/gazetteer.php?p=details&id=2356	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	5;5;5;5;5;5	Sterivex	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-80	-0.1	5																				
OSD80_2014-06-21_2m_NPL022	SAMEA3275562	ABOKL63	ERS667580	https://www.ebi.ac.uk/ena/data/view/ERS667580	OSD-Jun-2014	OSD80	80	OSD80_20140621T1730Z	"Bucket, plastic 10-L"	"As part of the Arctic Science partnership, the Young Sound campaign aims to investigate the physical, chemical, and biological interactions between atmosphere, sea ice, and ocean"	"92, ice shelf"	peristaltic pump	at a depth of 0.5m below landfast sea ice with a thickness of 1.5m	http://store.pangaea.de/Projects/OSD_2014/OSD80_20140621T1730Z.pdf	2014-06-21T17:30	74.31	-20.3043	2014-06-21T18:30	74.31	-20.3043	2	UTC-03	21-06-2014T14:30:00	GRL	1666	BPLR	Polar - Boreal Polar Province (POLR)	0	Greenland Sea	0	Young Sound	Greenland Sea	http://marineregions.org/gazetteer.php?p=details&id=2356	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	3;3;3;3;3;3	Sterivex	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-80	-1.6	32																				
OSD99_2014-06-21_1m_NPL022	SAMEA3275549	ABOKM35	ERS667567	https://www.ebi.ac.uk/ena/data/view/ERS667567	OSD-Jun-2014	OSD99	99	OSD99_20140621T1024Z	"Bottle, Niskin 5-L"	C1 is an Italian LTER site for the North Adriatic Sea (Italy). The OSD project will enrich the present time series data set with the state-of-the-art sequencing information on the microbial and eukaryotic community	Research Vessel: VF RAFF 07	"5 L Niskin Bottle, PAR, CTD"	We have collected a total of 100 liters of seawaters. It took ca.1 hr and the water was stored at RT in acid washed 20 L PC bottles in the dark until we have reached the laboratory. Eukaryotic Community filtered onto PC filters	http://store.pangaea.de/Projects/OSD_2014/OSD99_20140621T1024Z.pdf	2014-06-21T10:24	45.70092	13.71003	2014-06-21T11:31	45.70092	13.71003	1	UTC+01	21-06-2014T11:24:00	ITA	360	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0	Mediterranean Sea	0	C1	Adriatic Sea	http://marineregions.org/gazetteer.php?p=details&id=3314	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	sea	http://purl.obolibrary.org/obo/ENVO_00000016	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	5;5;5;5;6.04;5.7	Sterivex	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	N2	20.821	33.931	8.27	0.012	2.321	116.4	0.051	116.4417	1150000	1432.95	47.278		208.31	27.81	10710.86	9.37		0.547	3.496	0.29		0.49
OSD95_2014-06-21_0m_NPL022	SAMEA3275554	ABOKM49	ERS667572	https://www.ebi.ac.uk/ena/data/view/ERS667572	OSD-Jun-2014	OSD95	95	OSD95_20140621T0825Z	"Bucket, plastic"	none	none	Bucket	none	http://store.pangaea.de/Projects/OSD_2014/OSD95_20140621T0825Z.pdf	2014-06-21T08:25	1.2685	103.9168	2014-06-21T08:41	1.2726	103.9206	0	UTC+08	21-06-2014T16:25:00	SGP	3040	SUND	Coastal - Sunda-Arafura Shelves Province	0	South China Sea	0	Singapore Indigo_V	Singapore Strait	http://marineregions.org/gazetteer.php?p=details&id=4336	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	strait	http://purl.obolibrary.org/obo/ENVO_00000394	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	5;5;5;5;5;5;5	Sterivex	Filter	No pre-filtration	0.22	None	-80	31	31.03	7.9								53.3		171									
OSD105_2014-06-21_4.12m_NPL022	SAMEA3275543	ABOKM11	ERS667561	https://www.ebi.ac.uk/ena/data/view/ERS667561	OSD-Jun-2014	OSD105	105	OSD105_20140621T1839Z	High Volume Peristaltic Pump	"As part of the Arctic Science partnership, the Cambridge Bay campaign aims to investigate the physical, chemical, and biological interactions between atmosphere, sea ice, and ocean"	"92, ice shelf"	peristaltic pump	measured as depth below sea surface. ice thickness: 1.9 m	http://store.pangaea.de/Projects/OSD_2014/OSD105_20140621T1839Z.pdf	2014-06-21T18:39	69.023323	-105.34339	2014-06-21T19:00	69.023323	-105.34339	4.12	UTC-07	21-06-2014T11:39:00	CAN	7116	BPLR	Polar - Boreal Polar Province (POLR)	0	Beaufort Sea	0	"Cambridge Bay, Nunavut,"	Northwestern Passages	http://marineregions.org/gazetteer.php?p=details&id=5698	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447			sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	7.04;6.59;7.05;6.89;7.64	Sterivex	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-80	-0.72	26.91																				
OSD154_2014-06-20_1m_NPL022	SAMEA3275498	ABOKL80	ERS667507	https://www.ebi.ac.uk/ena/data/view/ERS667507	OSD-Jun-2014	OSD154	154	OSD154_20140620T1120Z	"Bottle, Niskin 30-L"	impact of global change on coastal zones and its relative importance compared with local human activities	research vessel PLANULA IV	30 liters - Niskin	surface water	http://store.pangaea.de/Projects/OSD_2014/OSD154_20140620T1120Z.pdf	2014-06-20T11:20	44.66666	-1.16666	2014-06-20T11:40	44.66666	-1.16666	1	UTC+01	20-06-2014T12:20:00	FRA	260	NECS	Coastal - NE Atlantic Shelves Province	0	Celtic-Biscay Shelf	24	Arcachon/Eyrac-SOMLIT	Bay of Biscay	http://marineregions.org/gazetteer.php?p=details&id=2359	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	bay	http://purl.obolibrary.org/obo/ENVO_00000032	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022	4.05;3.73;3.72;4.46;3.265	Sterivex cartridge	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-80	20.7	32.4	8.05	0.04	1		0.04						231.4					1.21	4.8			1.16
OSD30_2014-06-20_2m_NPL022	SAMEA3282984	ABOKL95	ERS667638	https://www.ebi.ac.uk/ena/data/view/ERS667638	OSD-Jun-2014	OSD30	30	OSD30_20140620T0815Z	LIMNOS water sampler	"The sampling site is situated in the northern Baltic Sea, and represents a marginal (enclosed, seasonally ice covered) and ecologically extreme (permanently low salinities) marine environment. It will be interesting to see this reflected in the community and metagenomic data"	small motor boat	LIMNOS water sampler	coastal water taken from a deep furrow stretching into the open Baltic	http://store.pangaea.de/Projects/OSD_2014/OSD30_20140620T0815Z.pdf	2014-06-20T08:15	59.8822	23.2538	2014-06-20T09:15	59.8822	23.2538	2	UTC+02	20-06-2014T10:15:00	FIN	1297	NECS	Coastal - NE Atlantic Shelves Province	0.030004357	Baltic Sea	0	Tvaerminne	Gulf of Finland	http://marineregions.org/gazetteer.php?p=details&id=2407	marine pelagic biome	http://purl.obolibrary.org/obo/ENVO_01000023	coastal inlet	http://purl.obolibrary.org/obo/ENVO_00000137	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	NPL022					0.22			10.5	5.63	7.85	0.2							7.203		10.46						8.1			
