Sample_event_ID	start_ISO_DateTime	end_ISO_DateTime	start_lon	start_lat	end_lon	end_lat	cruise_ID	cruise_expedition	sampling_event_type	Station_name
OSD58_20140621T1530Z	2014-06-21T15:30	2014-06-21T17:00	34.7181	-76.6707	34.7181	-76.6707	OSD-Jun-2118	OSD	cast	OSD58
OSD57_20140624T0738Z	2014-06-24T07:38	2014-06-24T07:38	21.28656	-157.84351	21.28656	-157.84351	OSD-Jun-2119	OSD	bucket	OSD57
OSD56_20140624T0720Z	2014-06-24T07:20	2014-06-24T07:20	21.2888	-156.86362	21.2888	-156.86362	OSD-Jun-2120	OSD	bucket	OSD56
OSD55_20140621T1630Z	2014-06-21T16:30	2014-06-21T17:37	43.8604	-69.5781	43.8604	-69.5781	OSD-Jun-2121	OSD	cast	OSD55
OSD54_20140621T1545Z	2014-06-21T15:45	2014-06-21T16:30	43.8444	-69.6409	43.8444	-69.6409	OSD-Jun-2122	OSD	cast	OSD54
OSD53_20140621T0843Z	2014-06-21T08:43	2014-06-21T08:50	27.04153	33.90703	27.04153	33.9082	OSD-Jun-2123	OSD	bucket	OSD53
OSD52_20140621T1007Z	2014-06-21T10:07	2014-06-21T10:14	27.02527	33.91255	27.02527	33.91253	OSD-Jun-2124	OSD	bucket	OSD52
OSD51_20140621T1556Z	2014-06-21T15:56	2014-06-21T16:02	9.3485	-82.266	9.3485	-82.266	OSD-Jun-2125	OSD	cast	OSD51
OSD50_20140620T0709Z	2014-06-20T07:09	2014-06-20T07:11	43.333333	-1.925	43.333333	-1.925	OSD-Jun-2126	OSD	cast	OSD50
OSD49_20140621T0930Z	2014-06-21T09:30	2014-06-21T10:00	45.325568	13.33189	45.325568	13.33189	OSD-Jun-2127	OSD	cast	OSD49
OSD48_20140621T0950Z	2014-06-21T09:50	2014-06-21T09:52	45.4125	12.5265	45.4125	12.5265	OSD-Jun-2128	OSD	cast	OSD48
OSD47_20140621T1256Z	2014-06-21T12:56	2014-06-21T12:57	45.502	12.4176	45.502	12.4176	OSD-Jun-2129	OSD	cast	OSD47
OSD46_20140621T2000Z	2014-06-21T20:00	2014-06-21T20:15	30.2484	-88.74825	30.2484	-88.74825	OSD-Jun-2130	OSD	bucket	OSD46
OSD45_20140622T2130Z	2014-06-22T21:30	2014-06-22T21:55	27.61578	-82.72587	27.61578	-82.72587	OSD-Jun-2131	OSD	bucket	OSD45
OSD43_20140621T1849Z	2014-06-21T18:49	2014-06-21T20:25	32.86698	-117.25725	32.86698	-117.25725	OSD-Jun-2132	OSD	bucket	OSD43
