parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type		COMMENT
Fugacity of carbon dioxide in seawater_first_quartile			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Fugacity of carbon dioxide in seawater_median			TRUE	_atm					https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Fugacity of carbon dioxide in seawater_third_quartile			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Fugacity of carbon dioxide in seawater_max			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
Bicarbonate ion_min			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
Bicarbonate ion_first_quartile			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Bicarbonate ion_median			TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Bicarbonate ion_third_quartile			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Bicarbonate ion_max			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
Carbonate ion_min			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
Carbonate ion_first_quartile			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Carbonate ion_median			TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Carbonate ion_third_quartile			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Carbonate ion_max			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
"Carbon, total_min"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
"Carbon, total_first_quartile"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
"Carbon, total_median"			TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
"Carbon, total_third_quartile"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
"Carbon, total_max"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
"Alkalinity, total_min"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
"Alkalinity, total_first_quartile"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
"Alkalinity, total_median"			TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
"Alkalinity, total_third_quartile"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
"Alkalinity, total_max"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
Calcite saturation state_min			FALSE						https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
Calcite saturation state_first_quartile			FALSE						https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Calcite saturation state_median			TRUE						https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Calcite saturation state_third_quartile			FALSE						https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Calcite saturation state_max			FALSE						https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
Aragonite saturation state_min			FALSE						https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
Aragonite saturation state_first_quartile			FALSE						https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Aragonite saturation state_median			TRUE						https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Aragonite saturation state_third_quartile			FALSE						https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Aragonite saturation state_max			FALSE						https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
