cruise_name,station,cast,ISO_DateTime,Year,Month,Day,timeutc,lon,lat,depth_max,pres_max,Date,timecode,HOT_summary_file_name,parameters,num_bottles,section,nav_code,depth_hgt,EXPOCODE,Ship,comments,CTDPRS,CTDTMP,CTDSAL,CTDOXY,XMISS,CHLPIG,NUMBER,NITRATE,FLUOR,QUALT1
214,2,3,2009-08-18T15:47:00,2009,8,18,1547,-157.9883,22.7500,4743,4806,081809,BE,cruise.summaries/hot214.sum,1;2;3;4;5;6,24,PRS2,GPS,20,33KB214_1,33KB214/1,"Dual T; C sensors",34.0,25.9999,35.2275,208.3,,0.1396,84,,,222292
214,2,3,2009-08-18T15:47:00,2009,8,18,1547,-157.9883,22.7500,4743,4806,081809,BE,cruise.summaries/hot214.sum,1;2;3;4;5;6,24,PRS2,GPS,20,33KB214_1,33KB214/1,"Dual T; C sensors",36.0,25.9984,35.2274,208.8,,0.1356,60,,,222292
214,2,3,2009-08-18T15:47:00,2009,8,18,1547,-157.9883,22.7500,4743,4806,081809,BE,cruise.summaries/hot214.sum,1;2;3;4;5;6,24,PRS2,GPS,20,33KB214_1,33KB214/1,"Dual T; C sensors",38.0,25.9919,35.2269,208.5,,0.1733,120,,,222292
214,2,3,2009-08-18T15:47:00,2009,8,18,1547,-157.9883,22.7500,4743,4806,081809,BE,cruise.summaries/hot214.sum,1;2;3;4;5;6,24,PRS2,GPS,20,33KB214_1,33KB214/1,"Dual T; C sensors",40.0,25.9857,35.2266,208.5,,0.1326,72,,,222292
214,2,3,2009-08-18T15:47:00,2009,8,18,1547,-157.9883,22.7500,4743,4806,081809,BE,cruise.summaries/hot214.sum,1;2;3;4;5;6,24,PRS2,GPS,20,33KB214_1,33KB214/1,"Dual T; C sensors",42.0,25.9730,35.2260,209.0,,0.1409,60,,,222292
214,2,3,2009-08-18T15:47:00,2009,8,18,1547,-157.9883,22.7500,4743,4806,081809,BE,cruise.summaries/hot214.sum,1;2;3;4;5;6,24,PRS2,GPS,20,33KB214_1,33KB214/1,"Dual T; C sensors",44.0,25.9521,35.2253,208.7,,0.1738,120,,,222292
214,2,3,2009-08-18T15:47:00,2009,8,18,1547,-157.9883,22.7500,4743,4806,081809,BE,cruise.summaries/hot214.sum,1;2;3;4;5;6,24,PRS2,GPS,20,33KB214_1,33KB214/1,"Dual T; C sensors",46.0,25.9211,35.2241,209.0,,0.1717,108,,,222292
214,2,3,2009-08-18T15:47:00,2009,8,18,1547,-157.9883,22.7500,4743,4806,081809,BE,cruise.summaries/hot214.sum,1;2;3;4;5;6,24,PRS2,GPS,20,33KB214_1,33KB214/1,"Dual T; C sensors",48.0,25.8776,35.2227,210.1,,0.1744,72,,,222292
214,2,3,2009-08-18T15:47:00,2009,8,18,1547,-157.9883,22.7500,4743,4806,081809,BE,cruise.summaries/hot214.sum,1;2;3;4;5;6,24,PRS2,GPS,20,33KB214_1,33KB214/1,"Dual T; C sensors",50.0,25.7868,35.2209,211.0,,0.2424,96,,,222292
214,2,3,2009-08-18T15:47:00,2009,8,18,1547,-157.9883,22.7500,4743,4806,081809,BE,cruise.summaries/hot214.sum,1;2;3;4;5;6,24,PRS2,GPS,20,33KB214_1,33KB214/1,"Dual T; C sensors",52.0,25.7394,35.2196,212.1,,0.2794,120,,,222292
