parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
Name											
Title											
Description											
URL											
Archive											
Archive_ID											
Project_Type											
Data_Type											
Submission_date											
Last_update											
