parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format																																	
SALNITY	water salinity	http://purl.obolibrary.org/obo/PMO_00000014		practical salinity unit	http://purl.obolibrary.org/obo/PMO_00000037				"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number																																		
SIGMA	potential density	http://purl.obolibrary.org/obo/PMO_00000021		kilogram per cubic meter	http://purl.obolibrary.org/obo/UO_0000083				"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number																																		
THETA	potential temperature	http://purl.obolibrary.org/obo/PMO_00000020		international temperature scale of 1990 unit	http://purl.obolibrary.org/obo/PMO_00000038			NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number																																		
num_bottles										number																																		
QUALT1																																												
QUALT2																																												
QUALT3																																												
QUALT4																																												
QUALT5																																												
QUALT6																																												
QUALT7																																												
QUALT8																																												
QUALT9																																												
QUAL10																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
sampling_event_id	cruise_name	EXPOCODE	Ship	STNNBR	CASTNO	section	start ISO_DateTime	Date	Year	Month	Day	timeutc	lon	lat	nav_code	depth_max	pres_max	depth_hgt	parameters	comments	HOT_summary_file_name	ROSETTE	CTDPRS	CTDOXY	CTDSAL	CTDTMP	OXYGEN	PP	REPLICT	S_BACT	SALNITY	SIGMA	THETA	num_bottles	QUALT1	QUALT2	QUALT3	QUALT4	QUALT5	QUALT6	QUALT7	QUALT8	QUALT9	QUAL10
