SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH	pH_1	pH_2	pH_3	pH_4	Carbon dioxide	Carbon dioxide_1	Carbon dioxide_2	Carbon dioxide_3	Carbon dioxide_4	"Carbon dioxide, partial pressure"	"Carbon dioxide, partial pressure_1"	"Carbon dioxide, partial pressure_2"	"Carbon dioxide, partial pressure_3"	"Carbon dioxide, partial pressure_4"	Fugacity of carbon dioxide in seawater	Fugacity of carbon dioxide in seawater_1	Fugacity of carbon dioxide in seawater_2	Fugacity of carbon dioxide in seawater_3	Fugacity of carbon dioxide in seawater_4	Bicarbonate ion	Bicarbonate ion_1	Bicarbonate ion_2	Bicarbonate ion_3	Bicarbonate ion_4	Carbonate ion	Carbonate ion_1	Carbonate ion_2	Carbonate ion_3	Carbonate ion_4	"Carbon, total"	"Carbon, total_1"	"Carbon, total_2"	"Carbon, total_3"	"Carbon, total_4"	"Alkalinity, total"	"Alkalinity, total_1"	"Alkalinity, total_2"	"Alkalinity, total_3"	"Alkalinity, total_4"	Calcite saturation state	Calcite saturation state_1	Calcite saturation state_2	Calcite saturation state_3	Calcite saturation state_4	Aragonite saturation state	Aragonite saturation state_1	Aragonite saturation state_2	Aragonite saturation state_3	Aragonite saturation state_4
TARA_N000002482	SAMEA2623948	ERS494660	TARA_152	TARA_20120320T2144Z_152_EVENT_PUMP	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	25	23	27	0.8		TARA_152_MIX_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20120320T2144Z_152_EVENT_PUMP_MIX_(25m)_SEQ-(100L-or-15min)_W>0.8_N000002482	tara_20120319t0817z_152_event_cast	16.4126	P01DT13H28M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002480	SAMEA2623946	ERS494658	TARA_152	TARA_20120320T2144Z_152_EVENT_PUMP	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	25	23	27	0.8		TARA_152_MIX_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20120320T2144Z_152_EVENT_PUMP_MIX_(25m)_SEQ-(100L-or-15min)_W>0.8_N000002480	tara_20120319t0817z_152_event_cast	16.4126	P01DT13H28M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002781	SAMEA2731859	ERS494612	TARA_152	TARA_20120319T1120Z_152_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_152_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20120319T1120Z_152_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000002781	tara_20120319t0817z_152_event_cast	2.0647	P00DT03H04M	1	8.094865	8.094865	8.094865	8.094865	8.094865	13.598671	13.598671	13.598671	13.598671	13.598671	358.308366	358.308366	358.308366	358.308366	358.308366	357.019421	357.019421	357.019421	357.019421	357.019421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002777	SAMEA2731672	ERS494602	TARA_152	TARA_20120319T0909Z_152_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_152_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20120319T0909Z_152_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000002777	tara_20120319t0817z_152_event_cast	0.69139	P00DT00H53M	1	8.094865	8.094865	8.094865	8.094865	8.094865	13.598671	13.598671	13.598671	13.598671	13.598671	358.308366	358.308366	358.308366	358.308366	358.308366	357.019421	357.019421	357.019421	357.019421	357.019421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002773	SAMEA2623899	ERS494592	TARA_152	TARA_20120319T0818Z_152_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8		TARA_152_SRF_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20120319T0818Z_152_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W>0.8_N000002773	tara_20120319t0817z_152_event_cast	0.036588	P00DT00H02M	1	8.094865	8.094865	8.094865	8.094865	8.094865	13.598671	13.598671	13.598671	13.598671	13.598671	358.308366	358.308366	358.308366	358.308366	358.308366	357.019421	357.019421	357.019421	357.019421	357.019421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002739	SAMEA2623881	ERS494572	TARA_151	TARA_20120309T1745Z_151_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	70	88	0.8		TARA_151_DCM_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20120309T1745Z_151_Combined-EVENTS_CAST_DCM_(80m)_SEQ-(100L-or-15min)_W>0.8_N000002739	tara_20120309t1016z_151_event_cast	7.0127	P00DT07H28M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002749	SAMEA2732056	ERS494540	TARA_151	TARA_20120309T1111Z_151_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_151_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20120309T1111Z_151_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000002749	tara_20120309t1016z_151_event_cast	1.1026	P00DT00H57M	1	8.09894	8.09894	8.09894	8.09894	8.09894	12.299755	12.299755	12.299755	12.299755	12.299755	355.079251	355.079251	355.079251	355.079251	355.079251	353.84973	353.84973	353.84973	353.84973	353.84973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002753	SAMEA2732052	ERS494536	TARA_151	TARA_20120309T0949Z_151_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_151_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20120309T0949Z_151_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000002753	tara_20120309t1016z_151_event_cast	0.94802	P00DT00H24M	1	8.09894	8.09894	8.09894	8.09894	8.09894	12.299755	12.299755	12.299755	12.299755	12.299755	355.079251	355.079251	355.079251	355.079251	355.079251	353.84973	353.84973	353.84973	353.84973	353.84973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002737	SAMEA2623859	ERS494527	TARA_151	TARA_20120309T0859Z_151_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8		TARA_151_SRF_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20120309T0859Z_151_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W>0.8_N000002737	tara_20120309t1016z_151_event_cast	2.1579	P00DT01H14M	1	8.09894	8.09894	8.09894	8.09894	8.09894	12.299755	12.299755	12.299755	12.299755	12.299755	355.079251	355.079251	355.079251	355.079251	355.079251	353.84973	353.84973	353.84973	353.84973	353.84973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002719	SAMEA2732073	ERS494508	TARA_150	TARA_20120305T1957Z_150_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	180	2000	TARA_150_DCM_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20120305T1957Z_150_EVENT_NET_DCM_(40m)_SEQ-(500mL-or-15min)_N180-2000_N000002719	tara_20120305t1105z_150_event_cast	20.286	P00DT08H54M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
