SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite_min	Nitrite_first_quartile	Nitrite_median	Nitrite_third_quartile	Nitrite_max	Phosphate_min	Phosphate_first_quartile	Phosphate_median	Phosphate_third_quartile	Phosphate_max	Nitrate and Nitrite_min	Nitrate and Nitrite_first_quartile	Nitrate and Nitrite_median	Nitrate and Nitrite_third_quartile	Nitrate and Nitrite_max	Silicate_min	Silicate_first_quartile	Silicate_median	Silicate_third_quartile	Silicate_max
TARA_N000002785	SAMEA2731676	ERS494606	TARA_152	TARA_20120319T0958Z_152_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_152_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120319T0958Z_152_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000002785	"tara_20120319t1043z_152_event_cast,tara_20120319t0817z_152_event_cast"	0.38656-1.3093	P00DT00H44M	1	0.3105	0.3105	0.3105	0.3105	0.3105	0.1595	0.1595	0.1595	0.1595	0.1595	2.159	2.159	2.159	2.159	2.159	1.236	1.236	1.236	1.236	1.236
TARA_N000002106	SAMEA2732078	ERS494323	TARA_147	TARA_20120218T2123Z_147_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_147_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120218T2123Z_147_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000002106	"tara_20120218t2054z_147_event_cast,tara_20120218t1807z_147_event_cast"	0.90236-7.3638	P00DT00H31M	1	0.218	0.218	0.218	0.218	0.218	0.001	0.001	0.001	0.001	0.001	0.4035	0.4035	0.4035	0.4035	0.4035	0.797	0.797	0.797	0.797	0.797
TARA_N000003044	SAMEA2732322	ERS493872	TARA_139	TARA_20111215T2007Z_139_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_139_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20111215T2007Z_139_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000003044	"tara_20111215t1808z_139_event_cast,tara_20111215t1423z_139_event_cast"	3.0226-10.0121	P00DT02H00M	2	0.095	0.095	0.0995	0.104	0.104	0.5305	0.5305	0.55525	0.58	0.58	4.11	4.11	4.49825	4.8865	4.8865	3.1695	3.1695	3.454	3.7385	3.7385
TARA_N000003041	SAMEA2732277	ERS493867	TARA_139	TARA_20111215T1745Z_139_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_139_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20111215T1745Z_139_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000003041	"tara_20111215t1808z_139_event_cast,tara_20111215t1423z_139_event_cast"	0.79205-6.4786	P00DT00H21M	2	0.095	0.095	0.0995	0.104	0.104	0.5305	0.5305	0.55525	0.58	0.58	4.11	4.11	4.49825	4.8865	4.8865	3.1695	3.1695	3.454	3.7385	3.7385
TARA_N000003015	SAMEA2732721	ERS493814	TARA_138	TARA_20111211T1945Z_138_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	20	180	TARA_138_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20111211T1945Z_138_EVENT_NET_DCM_(60m)_SEQ-(500mL-or-15min)_N20-180_N000003015	"tara_20111211t2040z_138_event_cast,tara_20111210t1725z_138_event_cast,tara_20111210t1401z_138_event_cast"	3.7608-10.091	P00DT00H52M	3	0.162	0.2375	0.464	0.736625	0.8275	0.459	0.62125	1.108	1.816	2.052	2.937	5.42875	12.904	23.4475	26.962	3.4765	4.625625	8.073	14.00025	15.976
TARA_N000002406	SAMEA2732910	ERS493358	TARA_132	TARA_20111005T0335Z_132_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	115	113	117	20	180	TARA_132_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20111005T0335Z_132_EVENT_NET_DCM_(115m)_SEQ-(500mL-or-15min)_N20-180_N000002406	"tara_20111004t2052z_132_event_cast,tara_20111004t1751z_132_event_cast"	3.6531-9.8961	P00DT06H44M	3	0.003	0.0065	0.017	0.161	0.209	0.0802	0.09145	0.1252	0.2152	0.2452	0	0.01175	0.047	1.34	1.771	3.9418	4.06805	4.4468	4.97405	5.1498
TARA_N000002346	SAMEA2732443	ERS493206	TARA_130	TARA_20110913T2025Z_130_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_130_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110913T2025Z_130_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000002346	"tara_20110913t2053z_130_event_cast,tara_20110913t1728z_130_event_cast"	2.0073-9.9393	P00DT00H26M	1	0.0075	0.0075	0.0075	0.0075	0.0075	0.186	0.186	0.186	0.186	0.186	NA	NA	NA	NA	NA	0.645	0.645	0.645	0.645	0.645
TARA_N000002347	SAMEA2732442	ERS493205	TARA_130	TARA_20110913T1833Z_130_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_130_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110913T1833Z_130_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000002347	"tara_20110913t1728z_130_event_cast,tara_20110913t2053z_130_event_cast"	3.4845-8.4667	P00DT01H09M	1	0.0075	0.0075	0.0075	0.0075	0.0075	0.186	0.186	0.186	0.186	0.186	NA	NA	NA	NA	NA	0.645	0.645	0.645	0.645	0.645
TARA_N000002316	SAMEA2732267	ERS493188	TARA_129	TARA_20110911T1956Z_129_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	5	20	TARA_129_DCM_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20110911T1956Z_129_EVENT_NET_DCM_(80m)_SEQ-(500mL-or-15min)_N5-20_N000002316	"tara_20110911t0502z_129_event_cast,tara_20110910t2113z_129_event_cast"	6.3797-12.55	P00DT14H56M	1	0.6895	0.6895	0.6895	0.6895	0.6895	0.332	0.332	0.332	0.332	0.332	1.1285	1.1285	1.1285	1.1285	1.1285	1.448	1.448	1.448	1.448	1.448
TARA_N000002320	SAMEA2732208	ERS493184	TARA_129	TARA_20110911T1824Z_129_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	20	180	TARA_129_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110911T1824Z_129_EVENT_NET_DCM_(80m)_SEQ-(500mL-or-15min)_N20-180_N000002320	"tara_20110911t0502z_129_event_cast,tara_20110910t2113z_129_event_cast"	3.9381-14.5939	P00DT13H24M	1	0.6895	0.6895	0.6895	0.6895	0.6895	0.332	0.332	0.332	0.332	0.332	1.1285	1.1285	1.1285	1.1285	1.1285	1.448	1.448	1.448	1.448	1.448
