campaign_expedition	expedition_URL	campaign_name	WOCE_ID	R2R_cruise_DOI	start_date	end_date	start_location	end_location	CCHDO url	BCO-DMO summary	BCO-DMO deployment	SAMOS URL	WHOI URL
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT268	PRS2	https://doi.org/10.7284/904792	2014-12-15	2014-12-19	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot268.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1428	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT269	PRS2	https://doi.org/10.7284/901832	2015-02-23	2015-02-27	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot269.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT270	PRS2	https://doi.org/10.7284/901833	2015-03-27	2015-03-31	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot270.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT271	PRS2	https://doi.org/10.7284/900798	2015-04-20	2015-04-24	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot271.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1504	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT272	PRS2	https://doi.org/10.7284/901823	2015-05-22	2015-05-26	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot272.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1508	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT273	PRS2	https://doi.org/10.7284/906351	2015-06-18	2015-06-22	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot273.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1510	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT274	PRS2	https://doi.org/10.7284/906353	2015-07-18	2015-07-22	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot274.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1512	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT275	PRS2	https://doi.org/10.7284/906363	2015-08-11	2015-08-15	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot275.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT277	PRS2	https://doi.org/10.7284/906369	2015-10-12	2015-10-16	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot277.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT278	PRS2	https://doi.org/10.7284/906359	2015-11-12	2015-11-16	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot278.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1518	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT279	PRS2	https://doi.org/10.7284/906881	2015-12-07	2015-12-11	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot279.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT280	PRS2	https://doi.org/10.7284/906869	2016-01-11	2016-01-15	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot280.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1601	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT281	PRS2	https://doi.org/10.7284/906870	2016-02-08	2016-02-12	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot281.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1602	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT282	PRS2	https://doi.org/10.7284/906871	2016-03-07	2016-03-11	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot282.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1603	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT283	PRS2	https://doi.org/10.7284/906878	2016-04-13	2016-04-17	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot283.sum			
