campaign_expedition	expedition_URL	campaign_name	WOCE_ID	R2R_cruise_DOI	start_date	end_date	start_location	end_location	CCHDO url	BCO-DMO summary	BCO-DMO deployment	SAMOS URL	WHOI URL	IEDA URL	BODC URL
GEOTRACES	http://www.geotraces.org/	KN199-04		https://doi.org/10.7284/900522	10/15/10	11/4/10	"Lisbon, Portugal"	"Porto Grande, Cape Verde"	https://cchdo.ucsd.edu/cruise/316N20101015		https://www.bco-dmo.org/deployment/58066	https://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises%5b%5d=KN199-04	https://www.dla.whoi.edu/cruise-details/KN199-04	http://www.marine-geo.org/tools/search/entry.php?id=KN199-04	https://www.bodc.ac.uk/data/documents/cruise/10482/
GEOTRACES	http://www.geotraces.org/	JC057			2/3/11	6/3/11	"Punta Arenas, Chile"	"Las Palmas, Spain"			https://www.bco-dmo.org/deployment/672215				https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/10584/
GEOTRACES	http://www.geotraces.org/	PE319			4/28/10	5/26/10	"Scrabster, United Kingdom"	"Bermuda, Bermuda"							https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/10001/
GEOTRACES	http://www.geotraces.org/	SS2011			5/13/11	6/5/11	"Hobart, Australia"	"Auckland, New Zealand"							https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/10729/
GEOTRACES	http://www.geotraces.org/	PE321			6/11/10	7/8/10	"Bermuda, Bermuda"	"Fortaleza, Brazil"							https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/10002/
GEOTRACES	http://www.geotraces.org/	KN204-01		https://doi.org/10.7284/900535	11/6/11	12/11/11	"Woods Hole, Massachusetts"	"Praia, Cape Verde"	https://cchdo.ucsd.edu/cruise/316N20111106		https://www.bco-dmo.org/deployment/58786	https://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&cruises%5b%5d=KN204-01&data=1			https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/10656/
GEOTRACES	http://www.geotraces.org/	TAN1109			6/6/11	6/30/11	"Auckland, New Zealand"	"Wellington, New Zealand"							https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/10730/
GEOTRACES	http://www.geotraces.org/	D357			10/18/10	11/22/10	"Cape Town, South Africa"	"Cape Town, South Africa"			https://www.bco-dmo.org/deployment/637790				https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/
