SamplingEvent_ID	Cruise	Station	dateTime	Longitude [degrees_east]	Latitude [degrees_north]	Sampling Device
CTD_2188_2010-10-30T08:16:27	GA03	Station 10	2010-10-30T08:16:27	339.17889	17.3538	CTD
CPUMP_2187_2010-10-30T08:16:27	GA03	Station 10	2010-10-30T08:16:27	339.17889	17.3538	CPUMP
CTD_2218_2010-11-02T13:47:25	GA03	Station 12	2010-11-02T13:47:25	335.50189	17.4018	CTD
CPUMP_2215_2010-11-02T13:47:25	GA03	Station 12	2010-11-02T13:47:25	335.50189	17.4018	CPUMP
CTD_7016_1_CTD_2011-06-17T03:05:31	GP13	7016	2011-06-17T03:05:31	200.992	-32.4798	CTD
CTD_7017_1_CTD_2011-06-17T17:05:30	GP13	7017	2011-06-17T17:05:30	201.987	-32.4969	CTD
CTD_7017_3_CTD_2011-06-17T17:05:30	GP13	7017	2011-06-17T17:05:30	201.987	-32.4969	CTD
CTD_7018_1_CTD_2011-06-18T10:43:42	GP13	7018	2011-06-18T10:43:42	202.99001	-32.4944	CTD
CTD_9_2011-05-17T19:55:38	GP13	7	2011-05-17T19:55:38	159	-29.9999	CTD
CTD_12_2011-05-19T15:42:38	GP13	11	2011-05-19T15:42:38	162.998	-30.0006	CTD
CTD_17_2011-05-21T16:06:42	GP13	15	2011-05-21T16:06:42	166.987	-30	CTD
CTD_21_2011-05-23T11:54:38	GP13	19	2011-05-23T11:54:38	171	-29.9997	CTD
CTD_35_2011-05-29T16:18:17	GP13	32	2011-05-29T16:18:17	183.97	-32.4995	CTD
CTD_6_2011-05-16T17:59:17	GP13	4	2011-05-16T17:59:17	155.98599	-30.0006	CTD
CTD_24_2011-05-24T15:11:38	GP13	22	2011-05-24T15:11:38	174.00101	-30.0013	CTD
CTD_18_02_ROS_2010-05-22T11:39:28	GA02	18	2010-05-22T11:39:28	301.9498	33.4334	CTD
CTD_2_2011-05-14T10:37:58	GP13	1	2011-05-14T10:37:58	153.50101	-29.9982	CTD
CTD_3_2011-05-15T01:28:38	GP13	2	2011-05-15T01:28:38	154.004	-30.0019	CTD
CTD_26_2011-05-25T19:16:06	GP13	24	2011-05-25T19:16:06	175.98	-30.0002	CTD
CTD_37_2011-05-31T18:10:31	GP13	38	2011-05-31T18:10:31	190	-32.5001	CTD
