SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH_min	pH_first_quartile	pH_median	pH_third_quartile	pH_max	Carbon dioxide_min	Carbon dioxide_first_quartile	Carbon dioxide_median	Carbon dioxide_third_quartile	Carbon dioxide_max	"Carbon dioxide, partial pressure_min"	"Carbon dioxide, partial pressure_first_quartile"	"Carbon dioxide, partial pressure_median"	"Carbon dioxide, partial pressure_third_quartile"	"Carbon dioxide, partial pressure_max"	Fugacity of carbon dioxide in seawater_min	Fugacity of carbon dioxide in seawater_first_quartile	Fugacity of carbon dioxide in seawater_median	Fugacity of carbon dioxide in seawater_third_quartile	Fugacity of carbon dioxide in seawater_max	Bicarbonate ion_min	Bicarbonate ion_first_quartile	Bicarbonate ion_median	Bicarbonate ion_third_quartile	Bicarbonate ion_max	Carbonate ion_min	Carbonate ion_first_quartile	Carbonate ion_median	Carbonate ion_third_quartile	Carbonate ion_max	"Carbon, total_min"	"Carbon, total_first_quartile"	"Carbon, total_median"	"Carbon, total_third_quartile"	"Carbon, total_max"	"Alkalinity, total_min"	"Alkalinity, total_first_quartile"	"Alkalinity, total_median"	"Alkalinity, total_third_quartile"	"Alkalinity, total_max"	Calcite saturation state_min	Calcite saturation state_first_quartile	Calcite saturation state_median	Calcite saturation state_third_quartile	Calcite saturation state_max	Aragonite saturation state_min	Aragonite saturation state_first_quartile	Aragonite saturation state_median	Aragonite saturation state_third_quartile	Aragonite saturation state_max
TARA_N000002755	SAMEA2732088	ERS494553	TARA_151	TARA_20120309T1617Z_151_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	20	180	TARA_151_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20120309T1617Z_151_EVENT_NET_DCM_(80m)_SEQ-(500mL-or-15min)_N20-180_N000002755	tara_20120309t1016z_151_event_cast	2.0511	P00DT06H03M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002745	SAMEA2732085	ERS494545	TARA_151	TARA_20120309T1242Z_151_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_151_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120309T1242Z_151_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000002745	tara_20120309t1016z_151_event_cast	3.9988	P00DT02H28M	1	8.09894	8.09894	8.09894	8.09894	8.09894	12.299755	12.299755	12.299755	12.299755	12.299755	355.079251	355.079251	355.079251	355.079251	355.079251	353.84973	353.84973	353.84973	353.84973	353.84973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002147	SAMEA2731999	ERS494478	TARA_150	TARA_20120305T1610Z_150_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	5	20	TARA_150_DCM_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120305T1610Z_150_EVENT_NET_DCM_(40m)_SEQ-(500mL-or-15min)_N5-20_N000002147	tara_20120305t1105z_150_event_cast	6.6243	P00DT05H07M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002695	SAMEA2623815	ERS494452	TARA_150	TARA_20120305T0925Z_150_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8		TARA_150_SRF_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20120305T0925Z_150_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W>0.8_N000002695	tara_20120305t1105z_150_event_cast	4.8813	P00DT01H37M	1	8.111959	8.111959	8.111959	8.111959	8.111959	11.76642	11.76642	11.76642	11.76642	11.76642	342.260448	342.260448	342.260448	342.260448	342.260448	341.079024	341.079024	341.079024	341.079024	341.079024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002137	SAMEA2731851	ERS494422	TARA_149	TARA_20120301T1459Z_149_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_149_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120301T1459Z_149_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000002137	tara_20120301t1156z_149_event_cast	6.974	P00DT03H03M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002139	SAMEA2731641	ERS494418	TARA_149	TARA_20120301T1422Z_149_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_149_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20120301T1422Z_149_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000002139	tara_20120301t1156z_149_event_cast	5.6056	P00DT02H26M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002141	SAMEA2731846	ERS494412	TARA_149	TARA_20120301T1301Z_149_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_149_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20120301T1301Z_149_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000002141	tara_20120301t1156z_149_event_cast	2.4939	P00DT01H05M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002115	SAMEA2731821	ERS494359	TARA_148	TARA_20120224T1543Z_148_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_148_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120224T1543Z_148_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000002115	tara_20120224t1148z_148_event_cast	16.5388	P00DT04H01M	1	8.107639	8.107639	8.107639	8.107639	8.107639	10.988774	10.988774	10.988774	10.988774	10.988774	346.971853	346.971853	346.971853	346.971853	346.971853	345.816106	345.816106	345.816106	345.816106	345.816106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002105	SAMEA2732077	ERS494322	TARA_147	TARA_20120218T2123Z_147_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_147_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120218T2123Z_147_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000002105	tara_20120218t1807z_147_event_cast	7.3638	P00DT03H17M	1	8.112692	8.112692	8.112692	8.112692	8.112692	10.914525	10.914525	10.914525	10.914525	10.914525	342.026908	342.026908	342.026908	342.026908	342.026908	340.883813	340.883813	340.883813	340.883813	340.883813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000003257	SAMEA2730877	ERS494263	TARA_146	TARA_20120215T1649Z_146_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_146_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120215T1649Z_146_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000003257	tara_20120215t1302z_146_event_cast	18.1058	P00DT03H49M	1	8.114037	8.114037	8.114037	8.114037	8.114037	11.093421	11.093421	11.093421	11.093421	11.093421	341.340207	341.340207	341.340207	341.340207	341.340207	340.19016	340.19016	340.19016	340.19016	340.19016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
