sample_event_ID	Archive_ID BioSample	cruise_name	station	cast	start_ISO_DateTime	Year	Month	Day	timeutc	lon	lat	Date	HOT_summary_file_name	parameters	num_bottles	section	nav_code	EXPOCODE	Ship	comments	CTDPRS	CTDTMP	CTDSAL	CTDOXY	CHLPIG	NUMBER	NITRATE	QUALT1	inferred_depth	cast2_cruise_name	cast2_station	cast2_cast	cast2_start_ISO_DateTime	cast2_ Year	cast2_ Month	cast2_Day	cast2_timeutc	cast2_lon	cast2_lat	cast2_Date	cast2_HOT_summary_file_name	cast2_num_bottles	cast2_section	cast2_nav_code	cast2_EXPOCODE	cast2_Ship	cast2_comments	cast2_CTDPRS	cast2_CTDTMP	cast2_CTDSAL	cast2_CTDOXY	cast2_CHLPIG	cast2_NUMBER	cast2_NITRATE	cast2_QUALT1	cast2_inferred_depth
SE_92	SAMN00003312	HOT179	2	1	 2006-03-09T07:39:00	2006	3	9	739	-158.005	22.7547	30906	 cruise.summaries/hot179.sum	 	24	 PRS2	 GPS	 33KB179_1	 33KB179/1	 Dual T; C sensors	26	23.2975	35.0896	213.4	0.1505	36	 	222192	25.8351																											
SE_93	SAMN00003311	HOT179	2	4	 2006-03-09T13:05:00	2006	3	9	1305	-157.997	22.75	30906	 cruise.summaries/hot179.sum	 	24	 PRS2	 GPS	 33KB179_1	 33KB179/1	 Dual T; C sensors	76	22.6972	35.1754	214.1	0.2585	48	 	222192	75.5089																											
SE_94	SAMN00003313	HOT179	2	5	 2006-03-09T14:34:00	2006	3	9	1434	-157.996	22.7502	30906	 cruise.summaries/hot179.sum	 	24	 PRS2	 GPS	 33KB179_1	 33KB179/1	 Dual T; C sensors	126	22.7562	35.3283	210.5	0.5553	36	 	222192	125.171																											
SE_95	SAMN00003314	HOT179	2	19	 2006-03-11T15:28:00	2006	3	11	1528	-157.999	22.747	31106	 cruise.summaries/hot179.sum	 	24	 PRS2	 GPS	 33KB179_1	 33KB179/1	 Dual T; C sensors	500	7.042	34.0454	-9	0.032	48	 	222592	496.261																											
SE_96;SE_100	SAMN00002902	HOT186	2	29	 2006-10-23T08:16:00	2006	10	23	816	-158	22.7997	102306	 cruise.summaries/hot186.sum	 	24	 PRS2	 GPS	 33KB186_1	 33KB186/1	 Dual T; C sensors	26	26.1783	35.0983	205.1	0.076	36	10.622	222112	25.835	HOT186	2	30	 2006-10-23T09:54:00	2006	10	23	954	-158	22.7997	102306	 cruise.summaries/hot186.sum	24	 PRS2	 GPS	 33KB186_1	 33KB186/1	 Dual T; C sensors	26	26.1691	35.1	205.6	0.1036	96	9.849	222112	25.835
SE_97;SE_101	SAMN00002903	HOT186	2	25	 2006-10-22T09:07:00	2006	10	22	907	-158	22.75	102206	 cruise.summaries/hot186.sum	 1;2	24	 PRS2	 GPS	 33KB186_1	 33KB186/1	 Dual T; C sensors	76	23.531	35.1615	228.9	0.2659	36	 	222292	75.5089	HOT186	2	27	 2006-10-23T02:26:00	2006	10	23	226	-157.99	22.8362	102306	 cruise.summaries/hot186.sum	24	 PRS2	 GPS	 33KB186_1	 33KB186/1	 Dual T; C sensors	76	23.5257	35.1511	225.6	0.3041	48	8.619	222112	75.5085
SE_98;SE_102	SAMN00002904	HOT186	2	10	 2006-10-20T04:58:00	2006	10	20	458	-157.999	22.7498	102006	 cruise.summaries/hot186.sum	 	24	 PRS2	 GPS	 33KB186_1	 33KB186/1	 Dual T; C sensors	110	22.0761	35.3035	216.3	0.7025	60	6.508	222112	109.28	HOT186	2	11	 2006-10-20T06:14:00	2006	10	20	614	-157.998	22.7498	102006	 cruise.summaries/hot186.sum	24	 PRS2	 GPS	 33KB186_1	 33KB186/1	 Dual T; C sensors	110	22.2331	35.2929	218.2	0.533	24	6.166	222112	109.28
SE_99;SE_103	SAMN00008877	HOT186	2	5	 2006-10-19T16:31:00	2006	10	19	1631	-157.997	22.7508	101906	 cruise.summaries/hot186.sum	 	24	 PRS2	 GPS	 33KB186_1	 33KB186/1	 Dual T; C sensors	504	8.6215	34.0883	166.4	-0.0156	84	24.675	222112	500.226	HOT186	2	6	 2006-10-19T18:26:00	2006	10	19	1826	-158.007	22.7588	101906	 cruise.summaries/hot186.sum	24	 PRS2	 GPS	 33KB186_1	 33KB186/1	 Dual T; C sensors	504	8.2769	34.0735	-9	-0.0142	60	26.2	222512	500.226
