campaign_expedition	expedition_URL	campaign_name	WOCE_ID	R2R_cruise_DOI	start_date	end_date	start_location	end_location	CCHDO url	BCO-DMO summary	BCO-DMO deployment
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT179	 PRS2	https://doi.org/10.7284/903051	2006-03-08	2006-03-12	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB179_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot179.sum	https://www.bco-dmo.org/deployment/516661
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT186	 PRS2	https://doi.org/10.7284/903056	2006-10-18	2006-10-24	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB186_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot186.sum	https://www.bco-dmo.org/deployment/516664
