sample_event_ID	cruise_name	EXPOCODE	Ship	STNNBR	CASTNO	section	ISO_DateTime	Date	Year	Month	Day	timeutc	timecode	lon	lat	nav_code	depth_max	pres_max	depth_hgt	parameters	comments	HOT_summary_file_name	ROSETTE	CTDPRS	A_CAR	ALKALIN	ATP	B_CAR	BUT_19	CAROTEN	CHL_Plus	CHLC1_2	CHLDA_A	CHL_A	CHL_B	CHL_C3	CHL_C4	CTDOXY	CTDSAL	CTDTMP	DIADINO	DIC	DOC	DON	DOP	DV_CHLA	E_BACT	FUCO	GTP	H_BACT	H2O2	HEX_19	HPLCchl	LLN	LLP	LLSi	LUTEIN	MV_CHLA	N2O	NO2	NO2_NO3	OXYGEN	P_BACT	P13C	P15N	PC	PERID	PE_pt4u	PE_10u	PE_5u	PH	PHEO	PHSPHT	PIC	PN	PP	PRASINO	PSi	REPLICT	S_BACT	SALNITY	SIGMA	SILCAT	SPEC_SI	TD700A	TD700B	TD700C	TDN	TDP	THETA	VIOL	ZEAXAN	num_bottles	pCO2	QUALT1	QUALT2	QUALT3	QUALT4	QUALT5	QUALT6	QUALT7	QUALT8	QUALT9	QUAL10
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	24	26.1														213.8	35.0905	23.288																																							1			23.92								23.2826			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	23	26.2														213.8	35.0908	23.2884																																							1			23.921								23.283			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	22	26.3														213.8	35.0906	23.2896																																							1			23.92								23.2842			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	21	26.4														213.7	35.0906	23.2896																																							1			23.92								23.2842			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	20	26.9														213.6	35.091	23.2878																																							1			23.921								23.2823			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	19	27.2														213.6	35.0909	23.2876																																							1			23.921								23.282			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	18	27.6														213.6	35.0908	23.288																																							1			23.921								23.2823			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	17	27.6														213.6	35.0906	23.2883																																							1			23.92								23.2827			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	16	27.3														213.5	35.0905	23.2887																																							1			23.92								23.283			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	15	27.2														213.5	35.0903	23.2891																																							1			23.92								23.2835			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_92	179	33KB179_1	33KB179/1	2	1	PRS2	2006-03-09T07:39:00	30906	2006	3	9	739	BE	-158.0047	22.7547	GPS	4744	104	4641		Dual T; C sensors	cruise.summaries/hot179.sum	14	27.6														213.5	35.0907	23.2876																																							1			23.921								23.2819			24		2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
