Sampling_event_ID	BioSample	PAR	SRA	Sample name	bacteria_carb_prod	beam_atten	beam_trans	collection_date	collection_time	ISO_DateTime	corr_irradiance	density	depth	diss_inorg_carb	diss_oxy	env_biome	biome_purl	env_feature	feature_purl	env_material	material_purl	env_package	fluorescence	geo_loc_name	lat	lon	max_filter_size	min_filter_size	oxy_sat	pressure	salinity	samp_voume	sampling_cruise	sigma-theta	site_name	std_norm_factor	surf_irradiance	temp	turbidity
AN10_S3_26052010823	SAMN02628387	0.06538	SRS573567	ACM32	139.68	0.3	92.69	26-05-2010	8:23:00	26-05-2010T08:23:00	2.42	1018.98	3.76	1846	188.26	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	7.29	-53	156	2	94.43	3.78	30.8	10.4	"R/V Knorr, May-June 2010"	18.97	Station 3	42790	2690.35	28.85	1.12
AN10_S23_16062010904	SAMN02628388	0.02794	SRS573867	ACM33	79.8	0.25	93.85	16-06-2010	9:04:00	16-06-2010T09:04:00	2.01	1015.64	3.64	1576	194.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.68	-54.42	2	0.2	95.39	3.66	26.49	10.3	"R/V Knorr, May-June 2010"	15.62	Station 23	654064	1449.22	29.22	1.1
AN10_S25_18062010757	SAMN02628389	0.07371	SRS582459	ACM34	78.48	0.65	84.92	18-06-2010	7:57:00	18-06-2010T07:57:00	3.42	1019.66	3.93	1775	213.84	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	11.31	-56.43	2	0.2	108.6	3.95	31.87	8	"R/V Knorr, May-June 2010"	19.65	Station 25	70399	2057.58	29.21	1.23
AN10_S25_18062010757	SAMN02628390	0.07371	SRS582720	ACM35	78.48	0.65	84.92	18-06-2010	7:57:00	18-06-2010T07:57:00	3.42	1019.66	3.93	1775	213.84	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	11.31	-56.43	156	2	108.6	3.95	31.87	8	"R/V Knorr, May-June 2010"	19.65	Station 25	45963	2057.58	29.21	1.23
AN10_S2_25052010839	SAMN02628391	0.01671	SRS581936	ACM46	112.48	0.42	90.13	25-05-2010	8:39:00	25-05-2010T08:39:00	2.09	1019.8	4.47	1802	196.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	2	0.2	98.7	4.5	31.8	10.6	"R/V Knorr, May-June 2010"	19.78	Station 2	60426	796.66	28.63	1.17
AN10_S2_25052010839	SAMN02628392	0.01671	SRS577860	ACM47	112.48	0.42	90.13	25-05-2010	8:39:00	25-05-2010T08:39:00	2.09	1019.8	4.47	1802	196.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	156	2	98.7	4.5	31.8	10.6	"R/V Knorr, May-June 2010"	19.78	Station 2	496871	796.66	28.63	1.17
AN10_S3_26052010823	SAMN02628393	0.06538	SRS577861	ACM48	139.68	0.3	92.69	26-05-2010	8:23:00	26-05-2010T08:23:00	2.42	1018.98	3.76	1846	188.26	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	7.29	-53	2	0.2	94.43	3.78	30.8	10.4	"R/V Knorr, May-June 2010"	18.97	Station 3	520152	2690.35	28.85	1.12
AN10_S3_26052010910	SAMN02628394	0.06538	SRS577862	ACM49	139.68	0.3	92.69	26-05-2010	9:10:00	26-05-2010T09:10:00	2.42	1018.98	3.76	1846	188.26	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	7.29	-53	156	2	94.43	3.78	30.8	10	"R/V Knorr, May-June 2010"	18.97	Station 3	1125329	2690.35	28.85	1.12
AN10_S23_16062010904	SAMN02628395	0.02794	SRS577863	ACM50	79.8	0.25	93.85	16-06-2010	9:04:00	16-06-2010T09:04:00	2.01	1015.64	3.64	1576	194.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.68	-54.42	2	0.2	95.39	3.66	26.49	9.9	"R/V Knorr, May-June 2010"	15.62	Station 23	412247	1449.22	29.22	1.1
AN10_S23_16062010904	SAMN02628396	0.02794	SRS581937	ACM51	79.8	0.25	93.85	16-06-2010	9:04:00	16-06-2010T09:04:00	2.01	1015.64	3.64	1576	194.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.68	-54.42	156	2	95.39	3.66	26.49	10.3	"R/V Knorr, May-June 2010"	15.62	Station 23	11031	1449.22	29.22	1.1
