SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH_min	pH_first_quartile	pH_median	pH_third_quartile	pH_max	Carbon dioxide_min	Carbon dioxide_first_quartile	Carbon dioxide_median	Carbon dioxide_third_quartile	Carbon dioxide_max	"Carbon dioxide, partial pressure_min"	"Carbon dioxide, partial pressure_first_quartile"	"Carbon dioxide, partial pressure_median"	"Carbon dioxide, partial pressure_third_quartile"	"Carbon dioxide, partial pressure_max"	Fugacity of carbon dioxide in seawater_min	Fugacity of carbon dioxide in seawater_first_quartile	Fugacity of carbon dioxide in seawater_median	Fugacity of carbon dioxide in seawater_third_quartile	Fugacity of carbon dioxide in seawater_max	Bicarbonate ion_min	Bicarbonate ion_first_quartile	Bicarbonate ion_median	Bicarbonate ion_third_quartile	Bicarbonate ion_max	Carbonate ion_min	Carbonate ion_first_quartile	Carbonate ion_median	Carbonate ion_third_quartile	Carbonate ion_max	"Carbon, total_min"	"Carbon, total_first_quartile"	"Carbon, total_median"	"Carbon, total_third_quartile"	"Carbon, total_max"	"Alkalinity, total_min"	"Alkalinity, total_first_quartile"	"Alkalinity, total_median"	"Alkalinity, total_third_quartile"	"Alkalinity, total_max"	Calcite saturation state_min	Calcite saturation state_first_quartile	Calcite saturation state_median	Calcite saturation state_third_quartile	Calcite saturation state_max	Aragonite saturation state_min	Aragonite saturation state_first_quartile	Aragonite saturation state_median	Aragonite saturation state_third_quartile	Aragonite saturation state_max
TARA_N000000238	SAMEA2620314	ERS489205	TARA_044	TARA_20100411T0354Z_044_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.8	20	TARA_044_SRF_0.8-20	SEQ-(100L-or-15min)_W0.8-20	TARA_20100411T0354Z_044_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-20_N000000238	tara_20100415t0240z_046_event_cast	426.5799	P03DT22H44M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_N000000093	SAMEA2657056	ERS489122	TARA_042	TARA_20100404T0527Z_042_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	180	2000	TARA_042_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20100404T0527Z_042_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000000093	tara_20100415t0240z_046_event_cast	745.8664	P10DT21H11M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	7.00E-04	7.00E-04	0.00085	0.001	0.001	8.00E-04	8.00E-04	0.00085	9.00E-04	9.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_N000000089	SAMEA2657089	ERS489118	TARA_042	TARA_20100404T0304Z_042_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	20	180	TARA_042_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20100404T0304Z_042_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000000089	tara_20100415t0240z_046_event_cast	745.0047	P10DT23H34M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	7.00E-04	7.00E-04	0.00085	0.001	0.001	8.00E-04	8.00E-04	0.00085	9.00E-04	9.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_N000000087	SAMEA2620251	ERS489108	TARA_042	TARA_20100404T0247Z_042_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	5	20	TARA_042_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20100404T0247Z_042_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000000087	tara_20100415t0240z_046_event_cast	744.8132	P10DT23H51M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	7.00E-04	7.00E-04	0.00085	0.001	0.001	8.00E-04	8.00E-04	0.00085	9.00E-04	9.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_N000000085	SAMEA2620249	ERS489106	TARA_042	TARA_20100404T0247Z_042_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.8	5	TARA_042_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20100404T0247Z_042_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_N000000085	tara_20100415t0240z_046_event_cast	744.8132	P10DT23H51M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	7.00E-04	7.00E-04	0.00085	0.001	0.001	8.00E-04	8.00E-04	0.00085	9.00E-04	9.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_N000000077	SAMEA2657016	ERS489065	TARA_041	TARA_20100330T0532Z_041_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	180	2000	TARA_041_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20100330T0532Z_041_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000000077	tara_20100315t0345z_038_event_cast	767.4918	P15DT01H47M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0.00075	0.0015	0.0015	7.00E-04	7.00E-04	0.001	0.0013	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_N000000073	SAMEA2620205	ERS489054	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	5	20	TARA_041_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20100330T0247Z_041_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000000073	tara_20100315t0345z_038_event_cast	763.4506	P14DT23H02M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0.00075	0.0015	0.0015	7.00E-04	7.00E-04	0.001	0.0013	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_N000000071	SAMEA2620204	ERS489053	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.8	5	TARA_041_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20100330T0247Z_041_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_N000000071	tara_20100315t0345z_038_event_cast	763.4506	P14DT23H02M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0.00075	0.0015	0.0015	7.00E-04	7.00E-04	0.001	0.0013	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_N000000076	SAMEA2657106	ERS489037	TARA_041	TARA_20100330T0245Z_041_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	20	180	TARA_041_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20100330T0245Z_041_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000000076	tara_20100315t0345z_038_event_cast	763.3842	P14DT23H00M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0.00075	0.0015	0.0015	7.00E-04	7.00E-04	0.001	0.0013	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_N000000013	SAMEA2656965	ERS488900	TARA_039	TARA_20100318T0820Z_039_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	180	2000	TARA_039_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20100318T0820Z_039_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000000013	tara_20100315t0345z_038_event_cast	217.5536	P03DT04H35M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0023	0.0023	0.0034	0.0045	0.0045	0.0027	0.0027	0.0035	0.0043	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04
