cruise_name,station,cast,ISO_DateTime,Year,Month,Day,timeutc,lon,lat,depth_max,pres_max,Date,timecode,HOT_summary_file_name,parameters,num_bottles,section,nav_code,depth_hgt,EXPOCODE,Ship,comments,CTDPRS,CTDTMP,CTDSAL,CTDOXY,XMISS,CHLPIG,NUMBER,NITRATE,FLUOR,QUALT1
204,2,8,2008-08-17T09:04:00,2008,8,17,0904,-158.0038,22.7762,4733,1022,081708,BE,cruise.summaries/hot204.sum,1,24,PRS2,GPS,3720,33KB204_1,33KB204/1,"Dual T; C sensors",0.0,26.0039,35.0606,207.3,,0.2018,0,4.537,,666666
204,2,8,2008-08-17T09:04:00,2008,8,17,0904,-158.0038,22.7762,4733,1022,081708,BE,cruise.summaries/hot204.sum,1,24,PRS2,GPS,3720,33KB204_1,33KB204/1,"Dual T; C sensors",2.0,26.0039,35.0606,207.3,,0.2018,0,4.537,,226663
204,2,8,2008-08-17T09:04:00,2008,8,17,0904,-158.0038,22.7762,4733,1022,081708,BE,cruise.summaries/hot204.sum,1,24,PRS2,GPS,3720,33KB204_1,33KB204/1,"Dual T; C sensors",4.0,26.0104,35.0606,207.3,,0.1506,48,4.537,,222122
204,2,8,2008-08-17T09:04:00,2008,8,17,0904,-158.0038,22.7762,4733,1022,081708,BE,cruise.summaries/hot204.sum,1,24,PRS2,GPS,3720,33KB204_1,33KB204/1,"Dual T; C sensors",6.0,26.0108,35.0605,207.4,,0.1523,72,4.579,,222122
204,2,8,2008-08-17T09:04:00,2008,8,17,0904,-158.0038,22.7762,4733,1022,081708,BE,cruise.summaries/hot204.sum,1,24,PRS2,GPS,3720,33KB204_1,33KB204/1,"Dual T; C sensors",8.0,26.0132,35.0608,207.6,,0.1637,132,4.564,,222122
204,2,8,2008-08-17T09:04:00,2008,8,17,0904,-158.0038,22.7762,4733,1022,081708,BE,cruise.summaries/hot204.sum,1,24,PRS2,GPS,3720,33KB204_1,33KB204/1,"Dual T; C sensors",10.0,26.0131,35.0608,208.0,,0.1572,84,4.344,,222122
204,2,8,2008-08-17T09:04:00,2008,8,17,0904,-158.0038,22.7762,4733,1022,081708,BE,cruise.summaries/hot204.sum,1,24,PRS2,GPS,3720,33KB204_1,33KB204/1,"Dual T; C sensors",12.0,26.0147,35.0614,207.9,,0.1637,84,4.313,,222122
204,2,8,2008-08-17T09:04:00,2008,8,17,0904,-158.0038,22.7762,4733,1022,081708,BE,cruise.summaries/hot204.sum,1,24,PRS2,GPS,3720,33KB204_1,33KB204/1,"Dual T; C sensors",14.0,26.0151,35.0613,207.9,,0.1618,108,4.560,,222122
204,2,8,2008-08-17T09:04:00,2008,8,17,0904,-158.0038,22.7762,4733,1022,081708,BE,cruise.summaries/hot204.sum,1,24,PRS2,GPS,3720,33KB204_1,33KB204/1,"Dual T; C sensors",16.0,26.0179,35.0624,207.7,,0.1567,60,5.066,,222122
204,2,8,2008-08-17T09:04:00,2008,8,17,0904,-158.0038,22.7762,4733,1022,081708,BE,cruise.summaries/hot204.sum,1,24,PRS2,GPS,3720,33KB204_1,33KB204/1,"Dual T; C sensors",18.0,26.0172,35.0622,207.8,,0.1631,132,4.824,,222122
