Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	MP biome	OS region	BG province	Sea ice conc	Sea ice free period start DOY	Sea Ice free period	Sea ice free period end DOY	Season at sampling date	Season (early, middle, late)	Moon phase nominal	Moon phase proportion	Time of day	SSD	PAR day at sampling date	PAR day AMODIS for a 8 days period	PAR day  GlobColour for a 8 days period	PAR day  AMODIS for a 30 days period	SST grad h	Fe tot	Fe std dev	NH4+	NH4+ std dev	NO2-	NO2- std dev	NO3-	NO3 std dev	Sea surface fluorescence, CDOM	Sea surface Chl a	Chl a conc	Sea surface phi sat	Net primary production of carbon - UQAR-TAKUVIC model	Net primary production of carbon - VGPM	Suspended matter, total	POC	PIC	Bathy depth	Latitude (of the closest geographic coordinate on a coast)	Longitude  (of the closest geographic coordinate on a coast)	Distance  (of the closest geographic coordinate on a coast)	SST grad h_1	SSM index	Geostrophic velocity, longitudinal	Geostrophic velocity, latidunal	Okubo-Weiss parameter	Maximum Lyapunov exponent	Residence time of water mass	Latitude (of the continental shelf <500m where sampled water originated)	Longitude (of the continental shelf <500m where sampled  water originated)	Age (days since water mass left continental shelf)	Latitude (of the geographic coordinate where water mass originated 45 days before sampling)	Longitude (of the geographic coordinate where water mass originated 45 days before sampling)
TARA_20131027T1016Z_210_EVENT_PUMP	SV Tara	TARA_20131020Z	TARA_210	High Volume Peristaltic Pump	2013-10-27 10:16:00	61.5427	-55.9869	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	1	365	365	autumn	middle	descending	0.45	day/night	535	4.192033	4.333452	NA	6.347443	1.590825625	0.000208521	6.328e-05	0.035179306	0.003054446	0.348001957	0.032938948	2.06166782	1.071676475	NA	NA	45.5689	1.120815054	NA	NA	NA	NA	NA	-2770	63.1316	-51.1333	41.4855	0.82664	NA	1.40349	8.462935	0.215913	0.078105	0	NA	NA	120	59.238287	-53.739373
TARA_20131023T1025Z_209_EVENT_PUMP	SV Tara	TARA_20131020Z	TARA_209	High Volume Peristaltic Pump	2013-10-23 10:25:00	64.7127	-53.0106	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	1	365	365	autumn	early	descending	0.81	day	531	3.205997	6.663158	NA	7.141685	2.08277725	0.000488831	7.2945e-05	0.029433576	0.002239061	0.29848822	0.04291254	0.505696426	0.147952451	NA	NA	14.5225	0.426086666	NA	NA	NA	NA	NA	-489	64.8667	-52.2667	15.6846	3.0908	NA	-0.604662	-2.629139	-0.050291	0	5.666667	-53.46675	64.7285	0	NA	NA
TARA_20131020T1034Z_208_EVENT_PUMP	SV Tara	TARA_20131020Z	TARA_208	High Volume Peristaltic Pump	2013-10-20 10:34:00	69.1136	-51.5086	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	123	347	225	autumn	early	descending	0.98	day	508	4.351299	3.809503	NA	4.667115	2.562271	0.000453137	3.1848e-05	0.020453628	0.001737823	0.259672788	0.045219262	0.480761975	0.237519795	NA	NA	30.485	NA	NA	NA	NA	NA	NA	-344	69.1	-51.1182	16.3515	1.5239	NA	0.367103	4.62578	-0.016382	0	0	-51.57745	69.1073	0	NA	NA
TARA_20131012T1109Z_206_EVENT_PUMP	SV Tara	TARA_20130921Z	TARA_206	High Volume Peristaltic Pump	2013-10-12 11:09:00	70.9574	-53.5989	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0.251729518	149	356	208	autumn	early	ascending	0.56	day	560	5.274638	3.669108	NA	3.474255	1.620133	0.000494336	2.713e-05	0.022793755	0.003010815	0.19323191	0.032617982	0.170150639	0.076647323	NA	NA	37.4641	NA	NA	NA	NA	NA	NA	-661	71.0291	-53.6333	7.7687	NA	NA	NA	NA	NA	0	0	-53.6219	70.93925	0	NA	NA
TARA_20131008T1215Z_205_EVENT_PUMP	SV Tara	TARA_20130921Z	TARA_205	High Volume Peristaltic Pump	2013-10-08 12:15:00	72.4693	-71.892	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	178	296	119	autumn	early	ascending	0.14	day	584	4.918207	3.226999	NA	3.16794	-1.148921	0.000596423	0.000147125	0.018947516	0.008042703	0.152390116	0.042586726	1.684819688	1.212317538	NA	NA	15.8867	NA	NA	NA	NA	NA	NA	-1053	72.0436	-74.2	9.7492	NA	NA	-1.411105	-7.393873	0.189964	0.113334	0	-71.78226	71.930605	18	NA	NA
TARA_20130930T1502Z_201_EVENT_PUMP	SV Tara	TARA_20130921Z	TARA_201	High Volume Peristaltic Pump	2013-09-30 15:02:00	74.2987	-85.7806	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0.326156803	196	278	83	autumn	early	descending	0.2	day	657	7.370618	6.623822	NA	11.915649	-1.5149495	0.000958759	3.0768e-05	0.000747411	0.000503	0.010224308	0.008135283	6.634556611	0.843956122	NA	NA	40.7346	0.319321639	NA	NA	NA	NA	NA	-536	74.4901	-85.7333	13.8345	NA	NA	NA	NA	NA	0	0	-85.7293	74.32915	0	NA	NA
TARA_20130914T1730Z_196_EVENT_PUMP	SV Tara	TARA_20130907Z	TARA_196	High Volume Peristaltic Pump	2013-09-14 17:30:00	71.8895	-154.9101	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	209	300.5	92.5	summer	late	ascending	0.7	day	822	10.532394	7.702758	9.790471077	9.864083	1.227844375	0.000241071	0.000188154	0.0284539	0.016084927	0.258621321	0.291098784	3.979379679	5.225923366	NA	NA	24.1722	NA	NA	NA	NA	NA	NA	-495	71.1778	-155.7	145.0122	1.3129	NA	NA	NA	NA	0	0	-154.9343	71.8951	0	NA	NA
TARA_20130911T2000Z_194_EVENT_PUMP	SV Tara	TARA_20130907Z	TARA_194	High Volume Peristaltic Pump	2013-09-11 20:00:00	73.3833	-168.1333	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	235	289	55	summer	late	ascending	0.37	day/night	864	12.778212	10.171419	10.75604343	8.447689	-1.56424325	0.000713809	0.000127877	0.002943427	0.003076664	0.086454551	0.022866625	12.09370343	1.980486315	NA	NA	13.8046	NA	NA	NA	NA	NA	NA	-105	71.2543	-177.5	130.4511	2.2379	NA	NA	NA	NA	0	0	-168.5182	73.3359	0	NA	NA
TARA_20130908T0245Z_193_EVENT_PUMP	SV Tara	TARA_20130907Z	TARA_193	High Volume Peristaltic Pump	2013-09-08 02:45:00	71.0704	174.9916	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	227	289	63	summer	late	ascending	0.1	day	873	9.534001	14.347429	12.67213488	12.439203	1.80960025	0.000702537	0.000348795	0.006029853	0.007836131	0.095924451	0.016331078	14.03496305	5.009082591	NA	0.620001942	15.1918	0.355414821	NA	NA	NA	132.8198166	0.000704177	-39	71.0667	178.6042	106.53	2.0072	6.2868e-05	NA	NA	NA	0	0	174.9006	71.1146	0	NA	NA
TARA_20130902T2237Z_191_EVENT_PUMP	SV Tara	TARA_20130801Z	TARA_191	High Volume Peristaltic Pump	2013-09-02 22:37:00	71.5955	160.9383	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	218	284	67	unknown	unknown	descending	0.09	day	936	3.928412	13.118738	13.37453079	8.65705	-1.3858895	0.001360622	4.793e-05	0.000260443	0.000356897	0.008790679	0.014531942	7.268763781	4.314554535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-15.12963	-0.469043	-0.089788	0	2.777778	160.9611	71.54935	0	NA	NA
