campaign_expedition	expedition_url	campaign_name	start_date	end_date	start_location	end_location	URL file	URL PANGAEA	URL ENA
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20130629Z	2013-06-29	2013-07-26	Murmansk	Dudinka	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20130629Z_report.pdf	https://www.pangaea.de/?q=TARA_20130629Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20130629Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20130519Z	2013-05-19	2013-06-14	Lorient	Tromso	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20130519Z_report.pdf	https://www.pangaea.de/?q=TARA_20130519Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20130519Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20130921Z	2013-09-21	2013-10-16	Tuktoyaktuk	Ilulissat	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20130921Z_report.pdf	https://www.pangaea.de/?q=TARA_20130921Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20130921Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20131020Z	2013-10-20	2013-11-10	Ilulissat	Quebec	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20131020Z_report.pdf	https://www.pangaea.de/?q=TARA_20131020Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20131020Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20130801Z	2013-08-01	2013-09-05	Dudinka	Pevek	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20130801Z_report.pdf	https://www.pangaea.de/?q=TARA_20130801Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20130801Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20130907Z	2013-09-07	2013-09-18	Pevek	Tuktoyaktuk	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20130907Z_report.pdf	https://www.pangaea.de/?q=TARA_20130907Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20130907Z
