SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite_min	Nitrite_first_quartile	Nitrite_median	Nitrite_third_quartile	Nitrite_max	Phosphate_min	Phosphate_first_quartile	Phosphate_median	Phosphate_third_quartile	Phosphate_max	Nitrate and Nitrite_min	Nitrate and Nitrite_first_quartile	Nitrate and Nitrite_median	Nitrate and Nitrite_third_quartile	Nitrate and Nitrite_max	Silicate_min	Silicate_first_quartile	Silicate_median	Silicate_third_quartile	Silicate_max
TARA_R110000737	SAMEA4398027	ERS1309476	TARA_201	TARA_20130930T1502Z_201_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_201_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130930T1502Z_201_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000737	tara_20130930t1932z_201_event_cast	1.521	P00DT04H28M	2	0.038	0.038	0.0775	0.117	0.117	0.497422	0.497422	0.526245	0.555068	0.555068	1.052	1.052	1.328	1.604	1.604	1.981006	1.981006	2.062045	2.143085	2.143085
TARA_R110000751	SAMEA4398001	ERS1309450	TARA_201	TARA_20130929T1637Z_201_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	441	0.22	TARA_201_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130929T1637Z_201_Combined-EVENTS_CAST_MES_(441m)_SEQ-(FeCl3)_W<0.22_R110000751	tara_20130930t1932z_201_event_cast	2.4223	P01DT02H53M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110000772	SAMEA4397948	ERS1309397	TARA_196	TARA_20130914T1730Z_196_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_196_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130914T1730Z_196_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000772	tara_20130914t1732z_196_event_cast	0.2105	P00DT00H00M	2	0.055	0.055	0.0865	0.118	0.118	0.430504	0.430504	0.430504	0.430504	0.430504	0.4235	0.4235	0.4235	0.4235	0.4235	2.633964	2.633964	2.822912	3.01186	3.01186
TARA_R110000787	SAMEA4397920	ERS1309369	TARA_194	TARA_20130912T0359Z_194_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	35	0.22	TARA_194_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130912T0359Z_194_EVENT_PUMP_DCM_(35m)_SEQ-(FeCl3)_W<0.22_R110000787	tara_20130911t2012z_194_event_cast	22.1397	P00DT07H48M	1	0.441	0.441	0.441	0.441	0.441	0.866194	0.866194	0.866194	0.866194	0.866194	1.9045	1.9045	1.9045	1.9045	1.9045	5.566842	5.566842	5.566842	5.566842	5.566842
TARA_R110000782	SAMEA4397859	ERS1309308	TARA_194	TARA_20130911T2000Z_194_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_194_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130911T2000Z_194_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000782	tara_20130911t2012z_194_event_cast	0.45478	P00DT00H10M	1	0.126	0.126	0.126	0.126	0.126	0.361653	0.361653	0.361653	0.361653	0.361653	0.2285	0.2285	0.2285	0.2285	0.2285	1.424261	1.424261	1.424261	1.424261	1.424261
TARA_R110000796	SAMEA4397815	ERS1309264	TARA_193	TARA_20130908T0245Z_193_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_193_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130908T0245Z_193_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000796	tara_20130908t0250z_193_event_cast	0.003034	P00DT00H01M	1	0.125	0.125	0.125	0.125	0.125	1.614977	1.614977	1.614977	1.614977	1.614977	6.2695	6.2695	6.2695	6.2695	6.2695	30.149509	30.149509	30.149509	30.149509	30.149509
TARA_R110000803	SAMEA4397772	ERS1309221	TARA_191	TARA_20130902T2237Z_191_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_191_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130902T2237Z_191_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000803	tara_20130902t2237z_191_event_cast	0.078049	P00DT00H01M	2	0.049	0.049	0.07525	0.1015	0.1015	1.031871	1.031871	1.195806	1.359741	1.359741	0.96	0.96	1.06325	1.1665	1.1665	15.45677	15.45677	19.646147	23.835524	23.835524
TARA_R110000824	SAMEA4397747	ERS1309196	TARA_189	TARA_20130828T0047Z_189_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	299	0.22	TARA_189_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130828T0047Z_189_Combined-EVENTS_CAST_MES_(299m)_SEQ-(FeCl3)_W<0.22_R110000824	"tara_20130827t0730z_189_event_cast,tara_20130827t0201z_189_event_cast"	20.6445-22.3862	P00DT17H18M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110000823	SAMEA4397722	ERS1309171	TARA_189	TARA_20130827T1140Z_189_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	20	0.22	TARA_189_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130827T1140Z_189_EVENT_PUMP_DCM_(20m)_SEQ-(FeCl3)_W<0.22_R110000823	"tara_20130827t0730z_189_event_cast,tara_20130827t0201z_189_event_cast"	10.934-13.0619	P00DT04H11M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110000822	SAMEA4397666	ERS1309115	TARA_189	TARA_20130827T0153Z_189_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_189_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130827T0153Z_189_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000822	"tara_20130827t0201z_189_event_cast,tara_20130827t0730z_189_event_cast"	0.55757-3.6026	P00DT00H04M	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
