parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
Chl b 	concentration of chlorophyll b in water	http://purl.obolibrary.org/obo/ENVO_3100009		microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Chl b+DV chl b 				microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
DV chl a 	concentration of divinyl chlorophyll a in water	http://purl.obolibrary.org/obo/ENVO_3100012		microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Chl a 	concentration of chlorophyll a in water	http://purl.obolibrary.org/obo/ENVO_3100008		miligram per cubic meter	http://purl.obolibrary.org/obo/PMO_00000132				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
TChl a 	concentration of chlorophyll a in water	http://purl.obolibrary.org/obo/ENVO_3100008		microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Phaeophytin a 				microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Carotene 	concentration of carotene in water	http://purl.obolibrary.org/obo/ENVO_3100007		microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
NO2- 	concentration of nitrite in water	http://purl.obolibrary.org/obo/ENVO_3100023		microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Flag # (NO2)									https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
PO4 3- 	concentration of phosphate in water	http://purl.obolibrary.org/obo/ENVO_3100026		microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Flag # (PO4)									https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
NO3- and NO2-	concentration of nitrate and nitrite in water	http://purl.obolibrary.org/obo/PMO_00000018		microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Flag # (NO2+NO3)									https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Si(OH)4 	concentration of silicic acid in water	http://purl.obolibrary.org/obo/ENVO_3100034		microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Flag # (Silicate)									https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
