parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
N**2 at depth of max Brunt VaiN**2a freq				1/s**2 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
N**2 at depth of max oxygent concentration				1/s**2 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
N**2 at depth of min oxygent concentration				1/s**2 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
N**2 at depth of nitracline				1/s**2 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Chl a at depth 10m				mg/m**3 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Chl a at the base of euphotic zone - Kd(PAR)1				mg/m**3 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Chl a at the base of euphotic zoChl a				mg/m**3 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Chl a at the base of mixed layer - sigma theta				mg/m**3 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Chl a at the depth of mixed layer - Chl aerature				mg/m**3 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Chl a at depth chl max				mg/m**3 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Chl a at depth of max BruChl aa freq				mg/m**3 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Chl a at depth of max oxygent concentration				mg/m**3 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Chl a at depth of min oxygent concentration				mg/m**3 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Chl a at depth of nitracline				mg/m**3 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Oxygen at depth 10m				µmol/kg 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Oxygen at the base of euphotic zone - Kd(PAR)1				µmol/kg 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Oxygen at the base of euphotic zoOxygen				µmol/kg 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Oxygen at the base of mixed layer - sigma theta				µmol/kg 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Oxygen at the depth of mixed layer - Oxygenerature				µmol/kg 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Oxygen at depth chl max				µmol/kg 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Oxygen at depth of max BruOxygena freq				µmol/kg 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Oxygen at depth of max oxygent concentration				µmol/kg 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Oxygen at depth of min oxygent concentration				µmol/kg 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
Oxygen at depth of nitracline				µmol/kg 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
NO3- at depth 10m				µmol/l 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
NO3- at the base of euphotic zone - Kd(PAR)1				µmol/l 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
NO3- at the base of euphotic zoNO3-				µmol/l 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
NO3- at the base of mixed layer - sigma theta				µmol/l 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
NO3- at the depth of mixed layer - NO3-erature				µmol/l 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
NO3- at depth chl max				µmol/l 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
NO3- at depth of max BruNO3-a freq				µmol/l 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
NO3- at depth of max NO3-t concentration				µmol/l 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
NO3- at depth of min NO3-t concentration				µmol/l 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
NO3- at depth of nitracline				µmol/l 					https://doi.pangaea.de/10.1594/PANGAEA.875579	
