parameter	rdf type purl label	rdf type purl	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format	COMMENT
Fugacity of carbon dioxide in seawater_third_quartile			uatm					https://doi.org/10.1594/PANGAEA.875567	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Fugacity of carbon dioxide in seawater_max			uatm					https://doi.org/10.1594/PANGAEA.875567	number		maximum value in the selected environmental feature around the sampling date and location
Bicarbonate ion_min			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		minimum value in the selected environmental feature around the sampling date and location
Bicarbonate ion_first_quartile			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Bicarbonate ion_median	concentration of hydrogencarbonate in liquid water	http://purl.obolibrary.org/obo/PMO_00000176	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567	number		"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Bicarbonate ion_third_quartile			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Bicarbonate ion_max			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		maximum value in the selected environmental feature around the sampling date and location
Carbonate ion_min			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		minimum value in the selected environmental feature around the sampling date and location
Carbonate ion_first_quartile			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Carbonate ion_median	concentration of carbonate in liquid water	http://purl.obolibrary.org/obo/PMO_00000175	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567	number		"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Carbonate ion_third_quartile			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Carbonate ion_max			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		maximum value in the selected environmental feature around the sampling date and location
"Carbon, total_min"			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		minimum value in the selected environmental feature around the sampling date and location
"Carbon, total_first_quartile"			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
"Carbon, total_median"			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
"Carbon, total_third_quartile"			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
"Carbon, total_max"			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		maximum value in the selected environmental feature around the sampling date and location
"Alkalinity, total_min"			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		minimum value in the selected environmental feature around the sampling date and location
"Alkalinity, total_first_quartile"			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
"Alkalinity, total_median"	alkalinity of water	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000139	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567	number		"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
"Alkalinity, total_third_quartile"			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
"Alkalinity, total_max"			micromole per kilogram					https://doi.org/10.1594/PANGAEA.875567	number		maximum value in the selected environmental feature around the sampling date and location
Calcite saturation state_min								https://doi.org/10.1594/PANGAEA.875567	number		minimum value in the selected environmental feature around the sampling date and location
Calcite saturation state_first_quartile								https://doi.org/10.1594/PANGAEA.875567	number		"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Calcite saturation state_median								https://doi.org/10.1594/PANGAEA.875567	number		"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Calcite saturation state_third_quartile								https://doi.org/10.1594/PANGAEA.875567	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Calcite saturation state_max								https://doi.org/10.1594/PANGAEA.875567	number		maximum value in the selected environmental feature around the sampling date and location
Aragonite saturation state_min								https://doi.org/10.1594/PANGAEA.875567	number		minimum value in the selected environmental feature around the sampling date and location
Aragonite saturation state_first_quartile								https://doi.org/10.1594/PANGAEA.875567	number		"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Aragonite saturation state_median								https://doi.org/10.1594/PANGAEA.875567	number		"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Aragonite saturation state_third_quartile								https://doi.org/10.1594/PANGAEA.875567	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Aragonite saturation state_max								https://doi.org/10.1594/PANGAEA.875567	number		maximum value in the selected environmental feature around the sampling date and location
