Sample_event_ID	ISO_DateTime	lon	lat	cruise_ID	cruise_expedition	sampling_event_type	Station_name
CDEBIMR_08082008_2644_U1301A	08-08-2008T00:00:00	-127.76	47.76	AT15-35	C-DEBI	CTD Niskin	near U1301A
CDEBIMR_08082008_2515_U1301A	08-08-2008T00:00:00	-127.76	47.76	AT15-35	C-DEBI	CTD Niskin	near U1301A
CDEBIMR_04092009_2650_U1301A	04-09-2009T00:00:00	-127.76	47.76	AT15-51	C-DEBI	CTD Niskin	near U1301A
CDEBIMR_24062010_2571_1025C	24-06-2010T00:00:00	-128.65	47.89	AT15-66	C-DEBI	large volume water sampler	near 1025C
CDEBIMR_28062010_2648_U1301A	28-06-2010T00:00:00	-127.76	47.76	AT15-66	C-DEBI	CTD Niskin	near U1301A
CDEBIMR_28062010_2575_U1301A	28-06-2010T00:00:00	-127.76	47.76	AT15-66	C-DEBI	CTD Niskin	near U1301A
CDEBIMR_29062010_2655_U1301A	29-06-2010T00:00:00	-127.76	47.76	AT15-66	C-DEBI	ROV Jason II Niskin	near U1301A
CDEBIMR_30062010_2655_U1301A	30-06-2010T00:00:00	-127.76	47.76	AT15-66	C-DEBI	ROV Jason II Niskin	near U1301A
CDEBIMR_04072011_2661_U1301A	04-07-2011T00:00:00	-127.76	47.76	AT18-07	C-DEBI	CTD Niskin	near U1301A
CDEBIMR_07072011_2661_U1301A	07-07-2011T00:00:00	-127.76	47.76	AT18-07	C-DEBI	CTD Niskin	near U1301A
CDEBIMR_07072011_2500_U1301A	07-07-2011T00:00:00	-127.76	47.76	AT18-07	C-DEBI	CTD Niskin	near U1301A
