SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_R100001530	TARA_20110401Z	TARA_100	TARA_20110416T1306Z_100_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326) & marine oxygen minimum zone (ENVO:01000065)	0.671904	0.952295	0.674752	1.038934	0.604979	0.492855	4805.282165	4685.670783	6.67828735	3171.92	7.230796663	17447.9	0.740331364
TARA_R100001443	TARA_20110401Z	TARA_100	TARA_20110415T1938Z_100_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.671904	0.952295	0.674752	1.038934	0.604979	0.492855	4404.434487	4229.796196	6.829191226	3053.3	7.247579215	18464.5	0.73777195
TARA_R100001440	TARA_20110401Z	TARA_100	TARA_20110415T1245Z_100_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.671904	0.952295	0.674752	1.038934	0.604979	0.492855	3503.551418	3458.745515	6.603491612	2411.64	7.165955562	14283	0.749042476
TARA_R100001244	TARA_20101231Z	TARA_085	TARA_20110107T1041Z_085_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0	0.037107	0	0.045695	0.613024	0.49805	6142.935974	6126.020842	6.903416858	3682.18	7.147275929	17412.9	0.731930534
TARA_R100001369	TARA_20101231Z	TARA_085	TARA_20110106T1038Z_085_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0	0.037107	0	0.045695	0.613024	0.49805	2354.620891	2343.549965	5.806473488	1645.21	7.154514828	10111.2	0.775860222
TARA_R100000935	TARA_20101231Z	TARA_084	TARA_20110103T1105Z_084_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	8.10E-05	0.216062	2.00E-06	0.200735	0.426351	0.485616	2876.10206	2791.511961	6.156097984	2029.72	7.203836398	12175	0.765784249
TARA_R100000541	TARA_20101126Z	TARA_082	TARA_20101206T1033Z_082_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.476837	0.584962	0.800841	0.848641	0.894431	0.724874	3890.121166	3744.534136	6.358772575	2666.86	7.208380499	12924	0.761434925
TARA_R100001143	TARA_20101031Z	TARA_078	TARA_20101105T1235Z_078_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.084879	0.559083	0.006772	0.461009	0.738561	0.65728	7167.611118	7219.954774	6.906904103	4477.58	7.16861862	20751.3	0.721162719
TARA_R100001163	TARA_20101031Z	TARA_078	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.084879	0.559083	0.006772	0.461009	0.738561	0.65728	NA	NA	NA	NA	NA	NA	NA
TARA_R100001132	TARA_20101003Z	TARA_076	TARA_20101017T0905Z_076_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.337256	0.398536	0.160856	0.228668	0.674899	0.578854	6449.138881	6384.750653	6.890998596	4036.94	7.292094076	21377.9	0.731395365
TARA_R100000963	TARA_20100905Z	TARA_068	TARA_20100913T1303Z_068_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.530677	0.598411	0.571469	0.723138	0.841446	0.674945	5525.554522	5351.723153	6.922447734	3396.34	7.151633092	17660.3	0.731320211
TARA_R100000306	TARA_20100624Z	TARA_064	TARA_20100707T1217Z_064_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.31965	0.685618	0.05078	0.542281	0.842944	0.714446	6277.084116	6068.215831	6.789891982	3639.59	7.181453512	19650.8	0.726436041
TARA_R100000329	TARA_20100624Z	TARA_062	TARA_20100703T0809Z_062_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	NA	NA	NA	NA	NA	NA	3426.68185	3298.138397	6.642943018	2348.2	7.107339239	13749.9	0.745880872
TARA_R100000278	TARA_20100624Z	TARA_058	TARA_20100629T1500Z_058_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.210375	0.229305	0.253793	0.278616	0.645785	0.715193	3562.085507	3483.530669	6.639076129	2496.42	7.124782538	15237.9	0.739734701
TARA_R100000365	TARA_20100624Z	TARA_056	TARA_20100626T0713Z_056_EVENT_CAST	MES	mesopelagic zone (ENVO:00000213)	NA	NA	NA	NA	NA	NA	6418.191431	6273.14013	6.934209534	4208.68	7.369322794	20379.9	0.7427029
