SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH	pH_1	pH_2	pH_3	pH_4	Carbon dioxide	Carbon dioxide_1	Carbon dioxide_2	Carbon dioxide_3	Carbon dioxide_4	"Carbon dioxide, partial pressure"	"Carbon dioxide, partial pressure_1"	"Carbon dioxide, partial pressure_2"	"Carbon dioxide, partial pressure_3"	"Carbon dioxide, partial pressure_4"	Fugacity of carbon dioxide in seawater	Fugacity of carbon dioxide in seawater_1	Fugacity of carbon dioxide in seawater_2	Fugacity of carbon dioxide in seawater_3	Fugacity of carbon dioxide in seawater_4	Bicarbonate ion	Bicarbonate ion_1	Bicarbonate ion_2	Bicarbonate ion_3	Bicarbonate ion_4	Carbonate ion	Carbonate ion_1	Carbonate ion_2	Carbonate ion_3	Carbonate ion_4	"Carbon, total"	"Carbon, total_1"	"Carbon, total_2"	"Carbon, total_3"	"Carbon, total_4"	"Alkalinity, total"	"Alkalinity, total_1"	"Alkalinity, total_2"	"Alkalinity, total_3"	"Alkalinity, total_4"	Calcite saturation state	Calcite saturation state_1	Calcite saturation state_2	Calcite saturation state_3	Calcite saturation state_4	Aragonite saturation state	Aragonite saturation state_1	Aragonite saturation state_2	Aragonite saturation state_3	Aragonite saturation state_4
TARA_R100001594	SAMEA2622752	ERS492797	TARA_123	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	150	148	152	0.22	TARA_123_MIX_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MIX_(150m)_SEQ-(FeCl3)_W<0.22_R100001594	tara_20110731t1725z_123_event_cast	0.48628	P01DT00H27M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002	0.002	0.002	0.002	0.002	0.00605	0.00605	0.006175	0.0063	0.0063	0.00085	0.00085	0.000925	0.001	0.001	0.00245	0.00245	0.0025	0.00255	0.00255	0	0	0	0	0	0.00035	0.00035	0.00035	0.00035	0.00035
TARA_R100001591	SAMEA2622725	ERS492748	TARA_123	TARA_20110731T1720Z_123_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_123_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110731T1720Z_123_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001591	tara_20110731t1725z_123_event_cast	0.11502	P00DT00H04M	1	8.012428	8.012428	8.012428	8.012428	8.012428	11.921045	11.921045	11.921045	11.921045	11.921045	439.081584	439.081584	439.081584	439.081584	439.081584	437.725871	437.725871	437.725871	437.725871	437.725871	0.0036	0.0036	0.0036	0.0036	0.0036	0.01	0.01	0.01	0.01	0.01	0.0092	0.0092	0.0092	0.0092	0.0092	0.0023	0.0023	0.0023	0.0023	0.0023	0.00155	0.00155	0.00155	0.00155	0.00155	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04
TARA_R100000664	SAMEA2622705	ERS492714	TARA_122	TARA_20110728T1718Z_122_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	115	112	117	0.22	TARA_122_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110728T1718Z_122_Combined-EVENTS_CAST_DCM_(115m)_SEQ-(FeCl3)_W<0.22_R100000664	tara_20110726t1739z_122_event_cast	8.2893	P01DT23H40M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0107	0.0107	0.0107	0.0107	0.0107	0.0026	0.0026	0.0028	0.003	0.003	0.0093	0.0093	0.0093	0.0093	0.0093	0	0	0	0	0	0.0016	0.0016	0.00165	0.0017	0.0017
TARA_R100000687	SAMEA2622685	ERS492692	TARA_122	TARA_20110727T1932Z_122_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	600	598	602	0.22	TARA_122_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MES_(600m)_SEQ-(FeCl3)_W<0.22_R100000687	tara_20110726t1739z_122_event_cast	3.4432	P01DT01H53M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000657	SAMEA2622667	ERS492657	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_122_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110726T1710Z_122_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000657	tara_20110726t1739z_122_event_cast	2.0075	P00DT00H24M	1	7.470711	7.470711	7.470711	7.470711	7.470711	48.966505	48.966505	48.966505	48.966505	48.966505	1801.446465	1801.446465	1801.446465	1801.446465	1801.446465	1795.880934	1795.880934	1795.880934	1795.880934	1795.880934	0	0	0	0	0	0.0045	0.0045	0.0045	0.0045	0.0045	0.0041	0.0041	0.0041	0.0041	0.0041	0.003	0.003	0.003	0.003	0.003	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012
TARA_R100000656	SAMEA2622517	ERS492399	TARA_111	TARA_20110601T1603Z_111_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	350	346	355	0.22	TARA_111_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110601T1603Z_111_Combined-EVENTS_CAST_MES_(350m)_SEQ-(FeCl3)_W<0.22_R100000656	tara_20110531t1416z_111_event_cast	4.5814	P01DT01H47M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_R100000655	SAMEA2622497	ERS492376	TARA_111	TARA_20110531T2030Z_111_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	90	86	95	0.22	TARA_111_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110531T2030Z_111_Combined-EVENTS_CAST_DCM_(90m)_SEQ-(FeCl3)_W<0.22_R100000655	tara_20110531t1416z_111_event_cast	4.776	P00DT06H15M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0123	0.01275	0.0141	0.021075	0.0234	0.0026	0.002825	0.0035	0.006125	0.007	0.0033	0.00365	0.0047	0.0062	0.0067	0	0	0	0	0	7.00E-04	0.000725	8.00E-04	0.001025	0.0011
TARA_R100000654	SAMEA2622473	ERS492342	TARA_111	TARA_20110531T1425Z_111_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_111_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110531T1425Z_111_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000654	tara_20110531t1416z_111_event_cast	0.35233	P00DT00H12M	1	8.049736	8.049736	8.049736	8.049736	8.049736	12.099805	12.099805	12.099805	12.099805	12.099805	405.640381	405.640381	405.640381	405.640381	405.640381	404.327962	404.327962	404.327962	404.327962	404.327962	0	0	0	0	0	0.0041	0.0041	0.0041	0.0041	0.0041	0.0027	0.0027	0.0027	0.0027	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_R100001463	SAMEA2622242	ERS492035	TARA_102	TARA_20110422T2113Z_102_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	0.22	TARA_102_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110422T2113Z_102_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R100001463	tara_20110421t2019z_102_event_cast	12.5221	P01DT00H56M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.038	0.038	0.038	0.038	0.038	0.018	0.018	0.018	0.018	0.018	0.0334	0.0334	0.0334	0.0334	0.0334	0.0036	0.0036	0.0036	0.0036	0.0036	0.0123	0.0123	0.0123	0.0123	0.0123
TARA_R100001480	SAMEA2622212	ERS491995	TARA_102	TARA_20110422T1210Z_102_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	480	478	482	0.22	TARA_102_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110422T1210Z_102_Combined-EVENTS_CAST_MES_(480m)_SEQ-(FeCl3)_W<0.22_R100001480	tara_20110421t2019z_102_event_cast	1.2233	P00DT15H51M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
