SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite	Nitrite_1	Nitrite_2	Nitrite_3	Nitrite_4	Phosphate	Phosphate_1	Phosphate_2	Phosphate_3	Phosphate_4	Nitrate and Nitrite	Nitrate and Nitrite_1	Nitrate and Nitrite_2	Nitrate and Nitrite_3	Nitrate and Nitrite_4	Silicate	Silicate_1	Silicate_2	Silicate_3	Silicate_4
TARA_R100000789	SAMEA2623403	ERS493835	TARA_138	TARA_20111211T2040Z_138_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	450	440	458	0.22	TARA_138_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111211T2040Z_138_Combined-EVENTS_CAST_MES_(450m)_SEQ-(FeCl3)_W<0.22_R100000789	"tara_20111211t2040z_138_event_cast,tara_20111210t1725z_138_event_cast,tara_20111210t1401z_138_event_cast"	0.39271-13.1202	P00DT00H00M	1	0.0078	0.0078	0.0078	0.0078	0.0078	3.155	3.155	3.155	3.155	3.155	36.219	36.219	36.219	36.219	36.219	52.9225	52.9225	52.9225	52.9225	52.9225
TARA_R100000781	SAMEA2623385	ERS493803	TARA_138	TARA_20111211T1332Z_138_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	55	64	0.22	TARA_138_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111211T1332Z_138_Combined-EVENTS_CAST_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000781	"tara_20111211t2040z_138_event_cast,tara_20111210t1725z_138_event_cast,tara_20111210t1401z_138_event_cast"	1.2757-12.2623	P00DT07H10M	3	0.162	0.2375	0.464	0.736625	0.8275	0.459	0.62125	1.108	1.816	2.052	2.937	5.42875	12.904	23.4475	26.962	3.4765	4.625625	8.073	14.00025	15.976
TARA_R100000773	SAMEA2623365	ERS493767	TARA_138	TARA_20111210T1408Z_138_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_138_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111210T1408Z_138_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000773	"tara_20111210t1401z_138_event_cast,tara_20111210t1725z_138_event_cast,tara_20111211t2040z_138_event_cast"	0.001841-13.5079	P00DT00H09M	1	0.003	0.003	0.003	0.003	0.003	0.1575	0.1575	0.1575	0.1575	0.1575	0.002	0.002	0.002	0.002	0.002	1.1855	1.1855	1.1855	1.1855	1.1855
TARA_R100000750	SAMEA2623327	ERS493718	TARA_137	TARA_20111203T1433Z_137_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	375	370	379	0.22	TARA_137_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MES_(375m)_SEQ-(FeCl3)_W<0.22_R100000750	"tara_20111203t1433z_137_event_cast,tara_20111202t1746z_137_event_cast,tara_20111202t1412z_137_event_cast"	0.003704-7.5264	P00DT00H00M	1	0.0093	0.0093	0.0093	0.0093	0.0093	2.9545	2.9545	2.9545	2.9545	2.9545	34.551	34.551	34.551	34.551	34.551	46.6245	46.6245	46.6245	46.6245	46.6245
TARA_R100000742	SAMEA2623309	ERS493684	TARA_137	TARA_20111202T2042Z_137_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	0.22	TARA_137_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111202T2042Z_137_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R100000742	"tara_20111202t1746z_137_event_cast,tara_20111202t1412z_137_event_cast,tara_20111203t1433z_137_event_cast"	0.67452-7.4378	P00DT02H57M	3	0.083	0.138625	0.3055	0.7405	0.8855	0.5125	0.605375	0.884	1.437125	1.6215	2.0305	3.03475	6.0475	14.777125	17.687	2.3565	2.932625	4.661	10.122875	11.9435
TARA_R100000734	SAMEA2623290	ERS493651	TARA_137	TARA_20111202T1412Z_137_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_137_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111202T1412Z_137_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000734	"tara_20111202t1412z_137_event_cast,tara_20111202t1746z_137_event_cast,tara_20111203t1433z_137_event_cast"	0.35071-9.2868	P00DT00H01M	1	0.067	0.067	0.067	0.067	0.067	0.456	0.456	0.456	0.456	0.456	2.444	2.444	2.444	2.444	2.444	2.538	2.538	2.538	2.538	2.538
TARA_R100000808	SAMEA2622852	ERS492941	TARA_125	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	140	138	142	0.22	TARA_125_MIX_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MIX_(140m)_SEQ-(FeCl3)_W<0.22_R100000808	"tara_20110808t2118z_125_event_cast,tara_20110808t1739z_125_event_cast"	1.7355-7.41	P00DT19H48M	2	0.045	0.045	0.05475	0.0645	0.0645	0.55825	0.55825	0.566	0.57375	0.57375	3.153	3.153	3.47525	3.7975	3.7975	1.15125	1.15125	1.24575	1.34025	1.34025
TARA_R100000805	SAMEA2622832	ERS492903	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_125_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000805	"tara_20110808t1739z_125_event_cast,tara_20110808t2118z_125_event_cast"	0.004131-6.7594	P00DT00H05M	1	0.1945	0.1945	0.1945	0.1945	0.1945	0.55725	0.55725	0.55725	0.55725	0.55725	3.7335	3.7335	3.7335	3.7335	3.7335	1.80475	1.80475	1.80475	1.80475	1.80475
TARA_R100000700	SAMEA2622810	ERS492877	TARA_124	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	120	118	122	0.22	TARA_124_MIX_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MIX_(120m)_SEQ-(FeCl3)_W<0.22_R100000700	"tara_20110805t0045z_124_event_cast,tara_20110804t1836z_124_event_cast"	12.1418-14.7404	P00DT16H47M	2	0.353	0.353	0.3535	0.354	0.354	0.48575	0.48575	0.4885	0.49125	0.49125	1.1845	1.1845	1.19925	1.214	1.214	1.46775	1.46775	1.469	1.47025	1.47025
TARA_R100000697	SAMEA2622788	ERS492843	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_124_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110804T1833Z_124_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000697	"tara_20110804t1836z_124_event_cast,tara_20110805t0045z_124_event_cast"	0.42481-3.5601	P00DT00H01M	2	0.161	0.161	0.1665	0.172	0.172	0.62975	0.62975	0.63025	0.63075	0.63075	6.1755	6.1755	6.2015	6.2275	6.2275	2.51675	2.51675	2.53325	2.54975	2.54975
