Sample ID	Sample label (BioSample)	Sample label (BioArchive)	Sample label (ENA)	URL file	Campaign	Site label	Site number	Event	Device	Comment	URI	Date/Time	Latitude	Longitude	Date/Time 2	Latitude 2	Longitude 2	Depth	TZ	Local time	Country, closest	Country, distance	BG province, closest, abbrev	BG province, closest, desc	BG province, distance	LME, closest, desc	LME, distance	Locality, site	Locality, region	URL ref	Biome	Env feature	Material	Protocol Label	Quantity	Container	Content	Size-fraction, upper thresh	Size-fraction, lower thresh	Treatment, chemicals	Treatment, storage	Temp	Sal	pH	[PO4]3-	[NO3]-	POC	[NO2]-	DOC	Plank nano/micro	PAR	Cond	PP C	OXYGEN	PON	Plank meso/macro	Bact prod C	DON	[NH4]+	Si(OH)4	Turbidity	Fluorometer	Chl a
OSD107_2014-06-20_0m_NPL022	SAMEA3275540	ABOKL57	ERS667558	https://www.ebi.ac.uk/ena/data/view/ERS667558	OSD-Jun-2014	OSD107	107	OSD107_20140620T0950Z	Bucket, plastic	[OBJECTIVE: OSD2014 PORTUGAL MAINLAND][PLATFORM: Ground][DEVICE REPORTED: ACID WASHED RECIPIENT][DESCRIPTION: OSD107-LISBOA]	http://store.pangaea.de/Projects/OSD_2014/OSD107_20140620T0950Z.pdf	2014-06-20T09:50	39.14039	-9.38011	2014-06-20T10:10	39.14039	-9.38011	0	UTC+00	20-06-2014T09:50:00	PRT	243	CNRY	Coastal - Canary Coastal Province (EACB)	0.000490717	Iberian Coastal	193	Lisboa	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome (ENVO:1000020)	surface water (ENVO:2042)	coastal sea water (ENVO:2150)	NPL022	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	20.2	30																				
OSD108_2014-06-20_0m_NPL022	SAMEA3275539	ABOKM08	ERS667557	https://www.ebi.ac.uk/ena/data/view/ERS667557	OSD-Jun-2014	OSD108	108	OSD108_20140620T1140Z	Bucket, plastic	[OBJECTIVE: OSD2014 PORTUGAL MAINLAND][PLATFORM: Ground][DEVICE REPORTED: ACID WASHED RECIPIENT][DESCRIPTION: OSD108-ALCOCHETE]	http://store.pangaea.de/Projects/OSD_2014/OSD108_20140620T1140Z.pdf	2014-06-20T11:40	38.757283	-8.966333	2014-06-20T11:50	38.757283	-8.966333	0	UTC+00	20-06-2014T11:40:00	PRT	508	CNRY	Coastal - Canary Coastal Province (EACB)	0	Iberian Coastal	0	Alcochete	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome (ENVO:1000020)	surface water (ENVO:2042)	coastal sea water (ENVO:2150)	NPL022	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	20.1	30																				
OSD109_2014-06-20_0m_NPL022	SAMEA3275538	ABOKL46	ERS667556	https://www.ebi.ac.uk/ena/data/view/ERS667556	OSD-Jun-2014	OSD109	109	OSD109_20140620T1100Z	Bucket, plastic	[OBJECTIVE: OSD2014 at PT MAINLAND][PLATFORM: Ground][DEVICE REPORTED: ACID WASHED RECIPIENT][DESCRIPTION: OSD109-ROSARIO]	http://store.pangaea.de/Projects/OSD_2014/OSD109_20140620T1100Z.pdf	2014-06-20T11:00	38.67694	-9.01239	2014-06-20T11:10	38.67694	-9.01239	0	UTC+00	20-06-2014T11:00:00	PRT	33	CNRY	Coastal - Canary Coastal Province (EACB)	0.025869444	Iberian Coastal	0	Rosa Rio	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome (ENVO:1000020)	surface water (ENVO:2042)	coastal sea water (ENVO:2150)	NPL022	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	20.5	30																				
OSD11_2014-06-17_15m_NPL022	SAMEA3275635		ERS667656	https://www.ebi.ac.uk/ena/data/view/ERS667656	OSD-Jun-2014	OSD11	11	OSD11_20140617T1503Z	Bottle, Niskin 2-L	[OBJECTIVE: Taken as part of the RaTS long term monitoring series][PLATFORM: RIB][DEVICE REPORTED: 2l Niskin Bottle][DESCRIPTION: Rothera base Antarctica 15m ]	http://store.pangaea.de/Projects/OSD_2014/OSD11_20140617T1503Z.pdf	2014-06-17T15:03	-67.344	-68.135	2014-06-17T15:10	-67.344	-68.135	15	UTC-03	17-06-2014T12:03:00	ATA	2681	APLR	Polar - Austral Polar Province	0	Antarctica	0	Rothera	South Pacific Ocean	http://marineregions.org/gazetteer.php?p=details&id=1910	marine biome (ENVO:447)	water (ENVO:2006)	sea water (ENVO:2149)	NPL022	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	-1.62	33.47																				
OSD110_2014-06-21_0m_NPL022	SAMEA3275537	ABOKL58	ERS667555	https://www.ebi.ac.uk/ena/data/view/ERS667555	OSD-Jun-2014	OSD110	110	OSD110_20140621T1030Z	Bucket, plastic	[OBJECTIVE: OSD2014 at PT MAINLAND][PLATFORM: Ground][DEVICE REPORTED: ACID WASHED RECIPIENT][DESCRIPTION: OSD110-FIGUEIRA DA FOZ]	http://store.pangaea.de/Projects/OSD_2014/OSD110_20140621T1030Z.pdf	2014-06-21T10:30	40.145122	-8.869328	2014-06-21T10:50	40.145122	-8.869328	0	UTC+00	21-06-2014T10:30:00	PRT	618	CNRY	Coastal - Canary Coastal Province (EACB)	0	Iberian Coastal	0	Figueira da Foz	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome (ENVO:1000020)	surface water (ENVO:2042)	coastal sea water (ENVO:2150)	NPL022	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	23	22.5																				
OSD111_2014-06-21_0m_NPL022	SAMEA3275536	ABOKL54	ERS667554	https://www.ebi.ac.uk/ena/data/view/ERS667554	OSD-Jun-2014	OSD111	111	OSD111_20140621T0830Z	Bucket, plastic	[OBJECTIVE: OSD2014 at PT MAINLAND][PLATFORM: Ground][DEVICE REPORTED: ACID WASHED RECIPIENT][DESCRIPTION: OSD111-RIA DE AVEIRO_1]	http://store.pangaea.de/Projects/OSD_2014/OSD111_20140621T0830Z.pdf	2014-06-21T08:30	40.659875	-8.703761	2014-06-21T08:50	40.659875	-8.703761	0	UTC+00	21-06-2014T08:30:00	PRT	238	CNRY	Coastal - Canary Coastal Province (EACB)	0	Iberian Coastal	0	Ria de Aveiro_1	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome (ENVO:1000020)	surface water (ENVO:2042)	coastal sea water (ENVO:2150)	NPL022	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	25.2	30																				
OSD113_2014-06-21_39m_NPL022		ABOKL76	ERS667553	https://www.ebi.ac.uk/ena/data/view/ERS667553	OSD-Jun-2014	OSD113	113	OSD113_20140621T1125Z	Bottle, Niskin 8-L	[OBJECTIVE: Water sampling for the Ocean Sampling Day 2014 and zooplankton sampling for the monitoring station of the time-series CASCAIS-WATCH, the oceanographic observation programme of the Oceanography and Plankton Group of IPMA][PLATFORM: Research vessel][DEVICE REPORTED: Sterilized 8L-Niskin bottle, Seabird SBE 911p CTD][DESCRIPTION: Ocean water sample]	http://store.pangaea.de/Projects/OSD_2014/OSD113_20140621T1125Z.pdf	2014-06-21T11:25	38.6667	-9.4367	2014-06-21T12:00	38.6667	-9.4367	39	UTC+00	21-06-2014T11:25:00	PRT	2464	CNRY	Coastal - Canary Coastal Province (EACB)	0	Iberian Coastal	0	CascaisWatch	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	marine biome (ENVO:447)	pelagic isothermal surface (ENVO:1000080)	mesotrophic water (ENVO:2225)	NPL022	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	18	35.27	8.5	0.65	1.4225		0.055											3.515	6.135			
OSD114_2014-06-21_1m_NPL022	SAMEA3275535	ABOKL85	ERS667552	https://www.ebi.ac.uk/ena/data/view/ERS667552	OSD-Jun-2014	OSD114	114	OSD114_20140621T1005Z	Bottle, Niskin 8-L	[OBJECTIVE: Water sampling for the Ocean Sampling Day 2014 and zooplankton sampling for the monitoring station of the time-series BERLENGAS-WATCH, the oceanographic observation programme of the Oceanography and Plankton Group of IPMA, with the collaboration of the Marine Resources Research Group (GIRM) of Polytechnic Institute of Leiria][PLATFORM: Vessel][DEVICE REPORTED: Sterilized 8L-Niskin Bottle][DESCRIPTION: Ocean Water sample]	http://store.pangaea.de/Projects/OSD_2014/OSD114_20140621T1005Z.pdf	2014-06-21T10:05	34.41	-9.51	2014-06-21T10:30	34.41	-9.51	1	UTC+00	21-06-2014T10:05:00	MAR	156897	NASE	Westerlies - N. Atlantic Subtropical Gyral Province (East) (STGE)	0	Canary Current	0	BerlengasWatch	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	marine biome (ENVO:447)	surface water (ENVO:2042)	mesotrophic water (ENVO:2225)	NPL022	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	18.5	33.57	8.14	0.1275	0.8675		0.02						8.33					1.305	1.6225			
OSD115_2014-06-21_0m_NPL022	SAMEA3275534	ABOKL47	ERS667551	https://www.ebi.ac.uk/ena/data/view/ERS667551	OSD-Jun-2014	OSD115	115	OSD115_20140621T1430Z	Bucket, plastic	[OBJECTIVE: OSD2014 at PT MAINLAND][PLATFORM: Ground][DEVICE REPORTED: ACID WASHED RECIPIENT][DESCRIPTION: OSD115-SANTA CRUZ]	http://store.pangaea.de/Projects/OSD_2014/OSD115_20140621T1430Z.pdf	2014-06-21T14:30	39.134347	-9.384778	2014-06-21T14:45	39.134347	-9.384778	0	UTC+00	21-06-2014T14:30:00	PRT	309	CNRY	Coastal - Canary Coastal Province (EACB)	0.000159673	Iberian Coastal	357	Santa Cruz	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	marine biome (ENVO:447)	surface water (ENVO:2042)	coastal sea water (ENVO:2150)	NPL022	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	20.3	40																				
OSD116_2014-06-21_0m_NPL022	SAMEA3275533	ABOKL59	ERS667550	https://www.ebi.ac.uk/ena/data/view/ERS667550	OSD-Jun-2014	OSD116	116	OSD116_20140621T1330Z	Bucket, plastic	[OBJECTIVE: OSD2014 at PT MAINLAND][PLATFORM: Ground][DEVICE REPORTED: ACID WASHED RECIPIENT][DESCRIPTION: OSD116-LAGOA DE ABIDOS]	http://store.pangaea.de/Projects/OSD_2014/OSD116_20140621T1330Z.pdf	2014-06-21T13:30	39.415067	-9.218828	2014-06-21T13:40	39.415067	-9.218828	0	UTC+00	21-06-2014T13:30:00	PRT	613	CNRY	Coastal - Canary Coastal Province (EACB)	0.021473765	Iberian Coastal	0	Lagoa de Obidos	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome (ENVO:1000020)	surface water (ENVO:2042)	coastal sea water (ENVO:2150)	NPL022	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	24.7	22.5																				
