parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
BioProject										
BioSample										
SRA										
Sample name										
bacterial_count										
chlorophyll										
collection_date				dd-mm-yyyy						
conduc										
depth										
diss_inorg_carb				umol C/kg						
env_biome										
purl_biome										
env_feature										
purl_feature										
env_material										
purl_material										
geo_loc_name										
lat										
lon										
max_filter_size				um						
min_filter_size				um						
samp_volume				L						
site_name										
std_norm_factor										
