parameter	rdf type purl label	rdf type purl	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
sampling_event_ID								https://www.bco-dmo.org/dataset/3918		
BioSample								https://www.bco-dmo.org/dataset/3918		
Conductivity			Siemens per meter (S/m)					https://www.bco-dmo.org/dataset/3918		
Depth			meters (m)					https://www.bco-dmo.org/dataset/3918		
Dissolved_Oxygen			micromole per kilogram (umol/kg)					https://www.bco-dmo.org/dataset/3918		
Latitude			decimal degrees					https://www.bco-dmo.org/dataset/3918		
Longitude			decimal degrees					https://www.bco-dmo.org/dataset/3918		
Pressure			decibar (dbar)					https://www.bco-dmo.org/dataset/3918		
Salinity			PSS-78					https://www.bco-dmo.org/dataset/3918		
Temperature			degrees Celsius					https://www.bco-dmo.org/dataset/3918		
cast_ID			unitless					https://www.bco-dmo.org/dataset/3918		
decimal_year			year					https://www.bco-dmo.org/dataset/3918		
filename			unitless					https://www.bco-dmo.org/dataset/3918		
Decimal_date_deployed			unitless					https://www.bco-dmo.org/dataset/3918		
Decimal_date_recovered			unitless					https://www.bco-dmo.org/dataset/3918		
Decimal_day_deployed			unitless					https://www.bco-dmo.org/dataset/3918		
Latitude_CTD_deployed			decimal degrees					https://www.bco-dmo.org/dataset/3918		
Longitude_CTD_deployed			decimal degrees					https://www.bco-dmo.org/dataset/3918		
info_filename			unitless					https://www.bco-dmo.org/dataset/3918		
ISO_datetime_deployed			unitless					https://www.bco-dmo.org/dataset/3918		
ISO_datetime_recovered			unitless					https://www.bco-dmo.org/dataset/3918		
cruise_type			unitless					https://www.bco-dmo.org/dataset/3918		
cruise_number			unitless					https://www.bco-dmo.org/dataset/3918		
cast_number			unitless					https://www.bco-dmo.org/dataset/3918		
cruise_type_text			unitless					https://www.bco-dmo.org/dataset/3918		
