SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	Depth, nominal	Depth, top/min	Depth, bottom/max	Size fraction, lower threshold	Size fraction, upper threshold	Sample material	Sample method	Sample code/label	Distance	Duration	File name	Number of observations	Chlorophyll c3_min	Chlorophyll c3_first_quartile	Chlorophyll c3_median	Chlorophyll c3_third_quartile	Chlorophyll c3_max	Chlorophyll c1+c2_min	Chlorophyll c1+c2_first_quartile	Chlorophyll c1+c2_median	Chlorophyll c1+c2_third_quartile	Chlorophyll c1+c2_max	Chlorophyllide a_min	Chlorophyllide a_first_quartile	Chlorophyllide a_median	Chlorophyllide a_third_quartile	Chlorophyllide a_max	Peridinin_min	Peridinin_first_quartile	Peridinin_median	Peridinin_third_quartile	Peridinin_max	Phaeophorbide a_min	Phaeophorbide a_first_quartile	Phaeophorbide a_median	Phaeophorbide a_third_quartile	Phaeophorbide a_max	19-Butanoyloxyfucoxanthin_min	19-Butanoyloxyfucoxanthin_first_quartile	19-Butanoyloxyfucoxanthin_median	19-Butanoyloxyfucoxanthin_third_quartile	19-Butanoyloxyfucoxanthin_max	Fucoxanthin_min	Fucoxanthin_first_quartile	Fucoxanthin_median	Fucoxanthin_third_quartile	Fucoxanthin_max	Neoxanthin_min	Neoxanthin_first_quartile	Neoxanthin_median	Neoxanthin_third_quartile	Neoxanthin_max	Prasinoxanthin_min	Prasinoxanthin_first_quartile	Prasinoxanthin_median	Prasinoxanthin_third_quartile	Prasinoxanthin_max	Violaxanthin_min	Violaxanthin_first_quartile	Violaxanthin_median	Violaxanthin_third_quartile	Violaxanthin_max	19-Hexanoyloxyfucoxanthin_min	19-Hexanoyloxyfucoxanthin_first_quartile	19-Hexanoyloxyfucoxanthin_median	19-Hexanoyloxyfucoxanthin_third_quartile	19-Hexanoyloxyfucoxanthin_max	Diadinoxanthin_min	Diadinoxanthin_first_quartile	Diadinoxanthin_median	Diadinoxanthin_third_quartile	Diadinoxanthin_max	Alloxanthin_min	Alloxanthin_first_quartile	Alloxanthin_median	Alloxanthin_third_quartile	Alloxanthin_max	Diatoxanthin_min	Diatoxanthin_first_quartile	Diatoxanthin_median	Diatoxanthin_third_quartile	Diatoxanthin_max	Zeaxanthin_min	Zeaxanthin_first_quartile	Zeaxanthin_median	Zeaxanthin_third_quartile	Zeaxanthin_max	Lutein_min	Lutein_first_quartile	Lutein_median	Lutein_third_quartile	Lutein_max	Bacteriochlorophyll a_min	Bacteriochlorophyll a_first_quartile	Bacteriochlorophyll a_median	Bacteriochlorophyll a_third_quartile	Bacteriochlorophyll a_max	Divinyl chlorophyll b_min	Divinyl chlorophyll b_first_quartile	Divinyl chlorophyll b_median	Divinyl chlorophyll b_third_quartile	Divinyl chlorophyll b_max	Chlorophyll b_min	Chlorophyll b_first_quartile	Chlorophyll b_median	Chlorophyll b_third_quartile	Chlorophyll b_max	Chlorophyll b plus divinyl chlorophyll b_min	Chlorophyll b plus divinyl chlorophyll b_first_quartile	Chlorophyll b plus divinyl chlorophyll b_median	Chlorophyll b plus divinyl chlorophyll b_third_quartile	Chlorophyll b plus divinyl chlorophyll b_max	Divinyl chlorophyll a_min	Divinyl chlorophyll a_first_quartile	Divinyl chlorophyll a_median	Divinyl chlorophyll a_third_quartile	Divinyl chlorophyll a_max	Chlorophyll a_min	Chlorophyll a_first_quartile	Chlorophyll a_median	Chlorophyll a_third_quartile	Chlorophyll a_max	"Chlorophyll a, total_min"	"Chlorophyll a, total_first_quartile"	"Chlorophyll a, total_median"	"Chlorophyll a, total_third_quartile"	"Chlorophyll a, total_max"	Phaeophytin a_min	Phaeophytin a_first_quartile	Phaeophytin a_median	Phaeophytin a_third_quartile	Phaeophytin a_max	Carotene_min	Carotene_first_quartile	Carotene_median	Carotene_third_quartile	Carotene_max
TARA_X100000009	SAMEA3905024	ERS1092158	TARA_011	TARA_20091004T0830Z_011_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.22	1.6	TARA_011_SRF_0.22-1.6	SEQ-(10L-or-15min)_W0.22-1.6	TARA_20091004T0830Z_011_EVENT_PUMP_SRF_(9m)_SEQ-(10L-or-15min)_W0.22-1.6_X100000009	113.3345	P04DT00H00M	tara_20090930t0829z_010_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001565	SAMEA2623851	ERS494519	TARA_151	TARA_20120309T0859Z_151_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_151_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120309T0859Z_151_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001565	3622.1006	P04DT17H47M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100000091	SAMEA2620085	ERS488920	TARA_039	TARA_20100318T1133Z_039_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	25	23	27	0.22	1.6	TARA_039_DCM_0.22-1.6	SEQ-(10L-or-15min)_W0.22-1.6	TARA_20100318T1133Z_039_EVENT_PUMP_DCM_(25m)_SEQ-(10L-or-15min)_W0.22-1.6_B100000091	2.0758	P00DT01H40M	"tara_20100318t0956z_039_event_cast,tara_20100320t0817z_039_event_cast"	2	0.0074	0.0074	0.01255	0.0177	0.0177	0.0097	0.0097	0.0144	0.0191	0.0191	0	0	0	0	0	0.0033	0.0033	0.00495	0.0066	0.0066	0	0	0	0	0	0.0047	0.0047	0.00925	0.0138	0.0138	0.003	0.003	0.00545	0.0079	0.0079	0	0	0.00115	0.0023	0.0023	0	0	0.00095	0.0019	0.0019	6.00E-04	6.00E-04	0.00095	0.0013	0.0013	0.0221	0.0221	0.03505	0.048	0.048	0.0027	0.0027	0.00375	0.0048	0.0048	0	0	0	0	0	0	0	0	0	0	0.0777	0.0777	0.0962	0.1147	0.1147	0	0	0	0	0	9.00E-04	9.00E-04	0.001	0.0011	0.0011	0	0	0	0	0	0.0199	0.0199	0.02985	0.0398	0.0398	0.0199	0.0199	0.02985	0.0398	0.0398	0.0601	0.0601	0.0775	0.0949	0.0949	0.118	0.118	0.1504	0.1828	0.1828	0.1781	0.1781	0.2279	0.2777	0.2777	0	0	0	0	0	0.0115	0.0115	0.0153	0.0191	0.0191
TARA_B100001564	SAMEA2623850	ERS494518	TARA_151	TARA_20120309T0859Z_151_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_151_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120309T0859Z_151_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001564	3622.1006	P04DT17H47M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100000524	SAMEA2621254	ERS490659	TARA_078	TARA_20101104T1015Z_078_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_078_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20101104T1015Z_078_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100000524	1.1323	P00DT06H42M	"tara_20101104t1708z_078_event_cast,tara_20101105t1235z_078_event_cast"	2	0.0017	0.0017	0.00175	0.0018	0.0018	0.002	0.002	0.0021	0.0022	0.0022	0	0	0	0	0	7.00E-04	7.00E-04	8.00E-04	9.00E-04	9.00E-04	0	0	0	0	0	0.0027	0.0027	0.0027	0.0027	0.0027	0.0053	0.0053	0.0054	0.0055	0.0055	0	0	0	0	0	0	0	0	0	0	3.00E-04	3.00E-04	3.00E-04	3.00E-04	3.00E-04	0.0047	0.0047	0.00485	0.005	0.005	0.0029	0.0029	0.00325	0.0036	0.0036	0	0	0	0	0	0.0033	0.0033	0.00415	0.005	0.005	0.0221	0.0221	0.02225	0.0224	0.0224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0.0019	0.002	0.0021	0.0021	0.0019	0.0019	0.002	0.0021	0.0021	0.015	0.015	0.01505	0.0151	0.0151	0.0295	0.0295	0.0305	0.0315	0.0315	0.0445	0.0445	0.04555	0.0466	0.0466	0	0	0	0	0	0.003	0.003	0.00315	0.0033	0.0033
TARA_B100000513	SAMEA2621198	ERS490542	TARA_076	TARA_20101016T0955Z_076_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_076_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20101016T0955Z_076_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100000513	0.51536	P00DT04H18M	"tara_20101016t1415z_076_event_cast,tara_20101017t0905z_076_event_cast"	1	0.0011	0.0011	0.0011	0.0011	0.0011	0.0012	0.0012	0.0012	0.0012	0.0012	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0	0	0	0	0	0.0016	0.0016	0.0016	0.0016	0.0016	0.0019	0.0019	0.0019	0.0019	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0.0042	0.0042	0.0042	0.0042	0.0022	0.0022	0.0022	0.0022	0.0022	0	0	0	0	0	0.0016	0.0016	0.0016	0.0016	0.0016	0.0223	0.0223	0.0223	0.0223	0.0223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0.0115	0.0115	0.0115	0.0115	0.0115	0.0164	0.0164	0.0164	0.0164	0.0164	0.0278	0.0278	0.0278	0.0278	0.0278	0	0	0	0	0	0.0022	0.0022	0.0022	0.0022	0.0022
