sampling_event_ID	ISO_datetime_deployed	cruise_number	cast_number	Conductivity	Depth	Dissolved_Oxygen	Fluorescence	Latitude	Longitude	Pressure	Salinity	Temperature	cast_ID	decimal_year	filename	Decimal_date_deployed	Decimal_date_recovered	Decimal_day_deployed	Latitude_CTD_deployed	Latitude_CTD_recovered	Longitude_CTD_deployed	Longitude_CTD_recovered	info_filename	ISO_datetime_recovered	cruise_type	cruise_type_text
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9958	41.7	227.74	0.114	31.7	-64.139	42	36.641	20.025	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9927	43.7	227.59	0.115	31.7	-64.139	44	36.644	19.991	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9894	45.7	226.03	0.124	31.7	-64.139	46	36.644	19.959	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9916	47.7	223.65	0.16	31.7	-64.139	48	36.666	19.954	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9933	49.6	221.45	0.246	31.7	-64.139	50	36.684	19.948	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9875	51.6	221.33	0.341	31.7	-64.139	52	36.681	19.897	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9835	53.6	220.99	0.43	31.7	-64.139	54	36.679	19.86	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9816	55.6	220.73	0.455	31.7	-64.139	56	36.678	19.842	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9788	57.6	220.51	0.505	31.7	-64.139	58	36.677	19.816	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.975	59.6	220.44	0.601	31.7	-64.139	60	36.675	19.782	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9701	61.6	220.5	0.709	31.7	-64.139	62	36.671	19.739	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9655	63.5	220.61	0.805	31.7	-64.139	64	36.667	19.698	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.963	65.5	220.13	0.837	31.7	-64.139	66	36.666	19.676	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.961	67.5	219.56	0.822	31.7	-64.139	68	36.665	19.658	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	175	4	4.9574	69.5	219.27	0.776	31.7	-64.139	70	36.661	19.627	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	31.679	-64.139	-64.134	b10175_info.txt	2003-04-22T20:43:00Z	1	BATS_core
