sampling_event_ID	cruise_number	cast_number	Id	cruise_type	niskin_number	decy	lat	lon	Depth	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	Chl	Phae	p18	p19	p20	p21	filename	Temp	CTD_S	Sal1	SigTh	O2	OxFix	Anom1	CO2	Alk	NO31	NO21	PO41
BATS_181_4_2003-10-07_17:33:00	181	4	1018100401	1	1	2003.76639	31.626	-64.177	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	26.36	36.387	NA	23.969	NA	26	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100402	1	2	2003.76639	31.626	-64.177	10.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	26.352	36.387	NA	23.972	NA	26	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100403	1	3	2003.76639	31.626	-64.177	20.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	26.355	36.387	NA	23.972	NA	26	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100404	1	4	2003.76639	31.626	-64.177	40.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	26.327	36.385	NA	23.981	NA	26	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100405	1	5	2003.76639	31.626	-64.177	60.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	23.037	36.62	NA	25.157	NA	23.3	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100406	1	6	2003.76639	31.626	-64.177	81.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	21.324	36.633	NA	25.654	NA	21.7	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100407	1	7	2003.76639	31.626	-64.177	101.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.426	36.633	NA	25.9	NA	20.9	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100408	1	8	2003.76639	31.626	-64.177	120.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.822	36.628	NA	26.059	NA	20.4	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100409	1	9	2003.76639	31.626	-64.177	140.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.351	36.619	NA	26.176	NA	19.9	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100410	1	10	2003.76639	31.626	-64.177	162.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.058	36.609	NA	26.246	NA	19.7	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100411	1	11	2003.76639	31.626	-64.177	178.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.867	36.604	NA	26.291	NA	19.5	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100412	1	12	2003.76639	31.626	-64.177	202.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.71	36.594	NA	26.325	NA	19.3	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100413	1	13	2003.76639	31.626	-64.177	249.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.488	36.572	NA	26.367	NA	19.1	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100414	1	14	2003.76639	31.626	-64.177	300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.239	36.544	NA	26.41	NA	18.9	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100415	1	15	2003.76639	31.626	-64.177	400.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	17.541	36.446	NA	26.511	NA	18.3	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100416	1	16	2003.76639	31.626	-64.177	504.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	16.356	36.244	NA	26.642	NA	17.2	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100417	1	17	2003.76639	31.626	-64.177	555.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	15.7	36.125	NA	26.703	NA	16.6	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100418	1	18	2003.76639	31.626	-64.177	703.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	12.592	35.615	NA	26.972	NA	14.1	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100419	1	19	2003.76639	31.626	-64.177	800.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	10.191	35.313	NA	27.181	NA	12.4	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100420	1	20	2003.76639	31.626	-64.177	899.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	8.069	35.138	NA	27.387	NA	11.1	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100421	1	21	2003.76639	31.626	-64.177	1002.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	6.615	35.096	NA	27.561	NA	10.5	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	1018400401	1	1	2004.07317	31.69	-64.13	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.336	36.694	36.693	25.965	220	20.4	-1.3	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	1018400402	1	2	2004.07317	31.69	-64.13	8.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.336	36.694	36.694	25.966	220.3	20.5	-1	NA	NA	0.1	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400403	1	3	2004.07317	31.69	-64.13	14.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.336	36.694	36.694	25.967	220.1	20.5	-1.2	NA	NA	0.1	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400404	1	4	2004.07317	31.69	-64.13	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.337	36.694	36.694	25.967	220.1	20.5	-1.2	NA	NA	0.1	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400405	1	5	2004.07317	31.69	-64.13	23.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.323	36.693	36.693	25.97	219.9	20.5	-1.4	NA	NA	0.1	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400406	1	6	2004.07317	31.69	-64.13	29.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.326	36.693	36.694	25.97	219.8	20.5	-1.5	NA	NA	0.09	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400407	1	7	2004.07317	31.69	-64.13	35.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.321	36.693	36.694	25.971	219.9	20.4	-1.5	NA	NA	0.09	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400408	1	8	2004.07317	31.69	-64.13	39.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.315	36.693	36.693	25.972	219.8	20.4	-1.5	NA	NA	0.1	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400409	1	9	2004.07317	31.69	-64.13	49.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.306	36.693	36.694	25.976	220.2	20.4	-1.2	NA	NA	0.1	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400410	1	10	2004.07317	31.69	-64.13	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.289	36.693	36.694	25.981	219	20.3	-2.5	NA	NA	0.1	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400411	1	11	2004.07317	31.69	-64.13	71.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.285	36.694	36.694	25.983	219	20.3	-2.5	NA	NA	0.14	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400412	1	12	2004.07317	31.69	-64.13	78.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.28	36.693	36.694	25.985	218.8	20.3	-2.7	NA	NA	0.12	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400413	1	13	2004.07317	31.69	-64.13	90.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.276	36.693	36.693	25.985	218.6	20.3	-2.9	NA	NA	0.17	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400414	1	14	2004.07317	31.69	-64.13	98.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.273	36.693	36.693	25.987	218.6	20.3	-2.9	NA	NA	0.18	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400415	1	15	2004.07317	31.69	-64.13	121.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.194	36.687	NA	26.005	216.3	20.3	-5.6	NA	NA	0.18	NA	0
