Sample_event_ID	Archive_ID	cruise_name	EXPOCODE	Ship	STNNBR	CASTNO	section	start_ISO_DateTime	Date	Year	Month	Day	timeutc	lon	lat	nav_code	parameters	comments	HOT_summary_file_name	ROSETTE	CTDPRS	CTDOXY	CTDSAL	CTDTMP	NO2_NO3	OXYGEN	PHSPHT	REPLICT	SALNITY	SIGMA	SILCAT	THETA	num_bottles	QUALT1	QUALT2	QUALT3	QUALT4	QUALT5	QUALT6	QUALT7	QUALT8	QUALT9	QUAL10
SE_5	SAMN07137010	HOT162	33KI162_1	33KI162/1	2	4	PRS2	2004-08-15T21:24:00Z	81504	2004	8	15	2124	-158.0035	22.7517	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot162.sum	14	4.8	203.6	34.8515	26.8551				1	34.8515	22.652		26.854	18	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_5	SAMN07137011	HOT162	33KI162_1	33KI162/1	2	4	PRS2	2004-08-15T21:24:00Z	81504	2004	8	15	2124	-158.0035	22.7517	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot162.sum	8	99.8	212.3	35.2848	21.5412				1	35.2966	24.567		21.5218	18	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_5	SAMN07137012	HOT162	33KI162_1	33KI162/1	2	4	PRS2	2004-08-15T21:24:00Z	81504	2004	8	15	2124	-158.0035	22.7517	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot162.sum	4	175.4	189.6	34.776	17.47				1	34.7791	25.237		17.4405	18	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_6	SAMN07137013	HOT163	33KI163_1	33KI163/1	2	4	PRS2	2004-09-28T21:26:00Z	92804	2004	9	28	2126	-157.9995	22.7493	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot163.sum	14	4.6	200.8	34.8988	27.4349				1	34.8971	22.502		27.4338	18	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_6	SAMN07137014	HOT163	33KI163_1	33KI163/1	2	4	PRS2	2004-09-28T21:26:00Z	92804	2004	9	28	2126	-157.9995	22.7493	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot163.sum	7	114.5	212.1	35.3422	21.9209				1	35.3413	24.506		21.8983	18	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_6	SAMN07137015	HOT163	33KI163_1	33KI163/1	2	4	PRS2	2004-09-28T21:26:00Z	92804	2004	9	28	2126	-157.9995	22.7493	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot163.sum	4	176.4	199.4	34.9601	18.5946				1	34.962	25.101		18.5636	18	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_7	SAMN07137016	HOT164	33KI164_1	33KI164/1	2	11	PRS2	2004-10-31T20:57:00Z	103104	2004	10	31	2057	-157.9588	22.7203	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot164.sum	17	4.3	203.7	35.1356	26.0955				1	35.1341	23.106		26.0946	22	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_7	SAMN07137017	HOT164	33KI164_1	33KI164/1	2	11	PRS2	2004-10-31T20:57:00Z	103104	2004	10	31	2057	-157.9588	22.7203	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot164.sum	8	116.4	209.9	35.3034	21.5205				1	35.3051	24.588		21.4978	22	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_7	SAMN07137018	HOT164	33KI164_1	33KI164/1	2	11	PRS2	2004-10-31T20:57:00Z	103104	2004	10	31	2057	-157.9588	22.7203	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot164.sum	4	174.7	199.7	34.9979	18.8695				1	35.0134	25.061		18.8385	22	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_8	SAMN07137019	HOT165	33KI165_1	33KI165/1	2	4	PRS2	2004-11-27T20:58:00Z	112704	2004	11	27	2058	-157.9768	22.7527	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot165.sum	19	4.9	202.5	34.918	26.5187				1	34.9172	22.809		26.5176	20	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_8	SAMN07137020	HOT165	33KI165_1	33KI165/1	2	4	PRS2	2004-11-27T20:58:00Z	112704	2004	11	27	2058	-157.9768	22.7527	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot165.sum	9	100.2	206.4	35.2897	21.5099				1	35.32	24.58		21.4904	20	2149999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_8	SAMN07137021	HOT165	33KI165_1	33KI165/1	2	4	PRS2	2004-11-27T20:58:00Z	112704	2004	11	27	2058	-157.9768	22.7527	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot165.sum	4	173	195.9	34.9117	18.3604				1	34.9142	25.123		18.3303	20	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_9	SAMN07137022	HOT166	33KI166_1	33KI166/1	2	5	PRS2	2004-12-20T20:55:00Z	122004	2004	12	20	2055	-157.9827	22.7533	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot166.sum	14	4.9	205.1	34.9633	25.2637				1	34.9648	23.233		25.2627	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_9	SAMN07137023	HOT166	33KI166_1	33KI166/1	2	5	PRS2	2004-12-20T20:55:00Z	122004	2004	12	20	2055	-157.9827	22.7533	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot166.sum	8	98.5	201.5	35.1506	23.5076				1	35.1504	23.906		23.4871	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_9	SAMN07137024	HOT166	33KI166_1	33KI166/1	2	5	PRS2	2004-12-20T20:55:00Z	122004	2004	12	20	2055	-157.9827	22.7533	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot166.sum	4	174.2	185.9	34.927	18.8705				1	34.9227	25.006		18.8396	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
