sampling_event_id	cruise_name	EXPOCODE	Ship	STNNBR	CASTNO	section	start_ISO_DateTime	Date	Year	Month	Day	timeutc	lon	lat	nav_code	depth_max	pres_max	depth_hgt	parameters	comments	HOT_summary_file_name	ROSETTE	CTDPRS	ALKALIN	CTDOXY	CTDSAL	CTDTMP	DIC	DOC	NO2_NO3	OXYGEN	PH	PHSPHT	REPLICT	SALNITY	SIGMA	SILCAT	THETA	num_bottles	QUALT1	QUALT2	QUALT3	QUALT4	QUALT5	QUALT6	QUALT7	QUALT8	QUALT9	QUAL10
SE_1	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	4750	1022	3737	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	14	4		210.5	34.833	24.5454							1	34.8943	23.353		24.5445	14	4129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	4750	1022	3737	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	13	24.4		214	35.2219	23.7523							1	35.2875	23.884		23.7472	14	4139999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	4750	1022	3737	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	12	44.6		215.1	35.3171	23.6039							1	35.3283	24.001		23.5947	14	4129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	4750	1022	3737	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	11	59		215.6	35.3248	23.4323							1	35.324	24.058		23.42	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	4750	1022	3737	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	10	72.8		215.5	35.3259	23.3562							1	35.3267	24.082		23.3412	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	4750	1022	3737	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	9	83.8		215.5	35.3312	23.2065							1	35.3297	24.13		23.1893	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	4750	1022	3737	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	8	98.7		213.3	35.3383	22.6252							1	35.3344	24.304		22.6053	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	4750	1022	3737	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	7	114.5		201.1	35.2801	21.8277							1	35.2875	24.485		21.8051	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	4750	1022	3737	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	6	125		209.6	35.2886	21.5614							1	35.2909	24.566		21.537	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	4750	1022	3737	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	5	148.8		200.1	35.1862	20.3501							1	35.189	24.818		20.3222	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
