campaign_expedition	expedition_URL	campaign_name	WOCE_ID	R2R_cruise_DOI	start_date	end_date	start_location	end_location	CCHDO url	BCO-DMO summary	BCO-DMO deployment
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT154	 PRS2	https://doi.org/10.7284/903037	12/18/03	12/22/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB154_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot154.sum	https://www.bco-dmo.org/dataset-deployment/516944
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT155	 PRS2	https://doi.org/10.7284/907078	1/20/04	1/24/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI155_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot155.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT156	 PRS2	https://doi.org/10.7284/904261	2/23/04	2/27/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI156_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT157	 PRS2	https://doi.org/10.7284/903038	3/18/04	3/22/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB157_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot157.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT158	 PRS2	https://doi.org/10.7284/904262	4/19/04	4/23/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI158_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot158.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT159	 PRS2	https://doi.org/10.7284/904263	5/17/04	5/21/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI159_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot159.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT160	 PRS2	https://doi.org/10.7284/904264	6/14/04	6/18/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI160_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot160.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT162	 PRS2	https://doi.org/10.7284/904266	8/14/04	8/18/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI162_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot162.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT163	 PRS2	https://doi.org/10.7284/904267	9/27/04	10/1/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI163_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot163.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT164	 PRS2	https://doi.org/10.7284/904306	10/29/04	11/2/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI164_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot164.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT165	 PRS2	https://doi.org/10.7284/904307	11/26/04	11/30/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI165_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot165.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT166	 PRS2	https://doi.org/10.7284/904308	12/19/04	12/24/04	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot166.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT214	 PRS2	https://doi.org/10.7284/903646	8/17/09	8/21/09	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB20090817	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot214.sum	https://www.bco-dmo.org/deployment/59014
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT216	 PRS2	https://doi.org/10.7284/904279	11/2/09	11/6/09	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI20091102	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot216.sum	https://www.bco-dmo.org/deployment/59016
