campaign_expedition	expedition_URL	campaign_name	WOCE_ID	R2R_cruise_DOI	start_date	end_date	start_location	end_location	CCHDO url	BCO-DMO summary	BCO-DMO deployment
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT144	 PRS2	https://doi.org/10.7284/904254	1/15/03	1/19/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI144_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot144.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT145	 PRS2	https://doi.org/10.7284/904255	2/24/03	2/28/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI145_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot145.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT146	 PRS2	https://doi.org/10.7284/901680	3/27/03	3/31/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB146_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot146.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT147	 PRS2	https://doi.org/10.7284/904256	4/22/03	4/26/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI147_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot147.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT148	 PRS2	https://doi.org/10.7284/904257	5/19/03	5/23/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI148_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot148.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT149	 PRS2	https://doi.org/10.7284/904595	6/18/03	6/22/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33RR149_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot149.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT150	 PRS2	https://doi.org/10.7284/904259	7/18/03	7/22/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI150_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot150.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT151	 PRS2	https://doi.org/10.7284/904260	8/19/03	8/23/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI151_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot151.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT152	 PRS2	https://doi.org/10.7284/903098	10/13/03	10/17/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB152_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot152.sum	
Hawaiian Ocean Time-series	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT153	 PRS2	https://doi.org/10.7284/903036	11/8/03	11/12/03	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB153_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot153.sum	
