Sample_event_ID	Archive_ID	organism	broad-scale environmental context	purl_biome	local-scale environmental context	purl_feature	environmental medium	purl_material	Station_Name	geographic location	bottle_id	sample_name	cruise_expedition	cruise_name	start_collection_date	depth_sample	latitude	longitude	filter_min 
S_E_4	SAMN07137008	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1600200406	S0511	HOT	HOT160	6/15/04	125	22.75	-158	0.2
S_E_4	SAMN07137009	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1600200404	S0512	HOT	HOT160	6/15/04	175	22.75	-158	0.2
S_E_5	SAMN07137010	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1620200414	S0513	HOT	HOT162	8/15/04	5	22.75	-158	0.2
S_E_5	SAMN07137011	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1620200408	S0514	HOT	HOT162	8/15/04	100	22.75	-158	0.2
S_E_5	SAMN07137012	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1620200404	S0515	HOT	HOT162	8/15/04	175	22.75	-158	0.2
S_E_6	SAMN07137013	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1630200414	S0516	HOT	HOT163	9/28/04	5	22.75	-158	0.2
S_E_6	SAMN07137014	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1630200407	S0517	HOT	HOT163	9/28/04	115	22.75	-158	0.2
S_E_6	SAMN07137015	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1630200404	S0518	HOT	HOT163	9/28/04	175	22.75	-158	0.2
S_E_7	SAMN07137016	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1640201117	S0519	HOT	HOT164	10/10/04	5	22.75	-158	0.2
S_E_7	SAMN07137017	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1640201108	S0520	HOT	HOT164	10/10/04	115	22.75	-158	0.2
S_E_7	SAMN07137018	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1640201104	S0521	HOT	HOT164	10/10/04	175	22.75	-158	0.2
